drug,side_effect,label,query
methylprednisolone,optic neuritis,1,Is optic neuritis an adverse effect of methylprednisolone?
methylprednisolone,latent tuberculosis,1,Is latent tuberculosis an adverse effect of methylprednisolone?
methylprednisolone,ill-defined disorder,1,Is ill-defined disorder an adverse effect of methylprednisolone?
methylprednisolone,hypernatraemia,1,Is hypernatraemia an adverse effect of methylprednisolone?
methylprednisolone,thrombophlebitis,1,Is thrombophlebitis an adverse effect of methylprednisolone?
methylprednisolone,alkalosis hypokalaemic,1,Is alkalosis hypokalaemic an adverse effect of methylprednisolone?
methylprednisolone,hypertension,1,Is hypertension an adverse effect of methylprednisolone?
methylprednisolone,euphoric mood,1,Is euphoric mood an adverse effect of methylprednisolone?
methylprednisolone,muscular weakness,1,Is muscular weakness an adverse effect of methylprednisolone?
methylprednisolone,limb reduction defect,0,Is limb reduction defect an adverse effect of methylprednisolone?
methylprednisolone,renal vein thrombosis,0,Is renal vein thrombosis an adverse effect of methylprednisolone?
methylprednisolone,hyperviscosity syndrome,0,Is hyperviscosity syndrome an adverse effect of methylprednisolone?
methylprednisolone,ejaculation delayed,0,Is ejaculation delayed an adverse effect of methylprednisolone?
methylprednisolone,pectus excavatum,0,Is pectus excavatum an adverse effect of methylprednisolone?
methylprednisolone,cryptococcosis,0,Is cryptococcosis an adverse effect of methylprednisolone?
methylprednisolone,pancreatic disorder,0,Is pancreatic disorder an adverse effect of methylprednisolone?
methylprednisolone,injection site joint pain,0,Is injection site joint pain an adverse effect of methylprednisolone?
methylprednisolone,metastatic malignant melanoma,0,Is metastatic malignant melanoma an adverse effect of methylprednisolone?
methylprednisolone,trigger finger,0,Is trigger finger an adverse effect of methylprednisolone?
levonorgestrel,hypomenorrhoea,1,Is hypomenorrhoea an adverse effect of levonorgestrel?
levonorgestrel,vascular purpura,1,Is vascular purpura an adverse effect of levonorgestrel?
levonorgestrel,hypoaesthesia,1,Is hypoaesthesia an adverse effect of levonorgestrel?
levonorgestrel,tooth disorder,1,Is tooth disorder an adverse effect of levonorgestrel?
levonorgestrel,upper respiratory tract infection,1,Is upper respiratory tract infection an adverse effect of levonorgestrel?
levonorgestrel,dyspareunia,1,Is dyspareunia an adverse effect of levonorgestrel?
levonorgestrel,sciatica,1,Is sciatica an adverse effect of levonorgestrel?
levonorgestrel,migraine,1,Is migraine an adverse effect of levonorgestrel?
levonorgestrel,polymenorrhoea,1,Is polymenorrhoea an adverse effect of levonorgestrel?
levonorgestrel,infection,1,Is infection an adverse effect of levonorgestrel?
levonorgestrel,alveolitis allergic,0,Is alveolitis allergic an adverse effect of levonorgestrel?
levonorgestrel,mania,0,Is mania an adverse effect of levonorgestrel?
levonorgestrel,sensorimotor disorder,0,Is sensorimotor disorder an adverse effect of levonorgestrel?
levonorgestrel,subcutaneous abscess,0,Is subcutaneous abscess an adverse effect of levonorgestrel?
levonorgestrel,marrow hyperplasia,0,Is marrow hyperplasia an adverse effect of levonorgestrel?
levonorgestrel,peripheral artery aneurysm,0,Is peripheral artery aneurysm an adverse effect of levonorgestrel?
levonorgestrel,prurigo,0,Is prurigo an adverse effect of levonorgestrel?
levonorgestrel,accommodation disorder,0,Is accommodation disorder an adverse effect of levonorgestrel?
levonorgestrel,depression suicidal,0,Is depression suicidal an adverse effect of levonorgestrel?
levonorgestrel,oligohydramnios,0,Is oligohydramnios an adverse effect of levonorgestrel?
pilocarpine,pruritus,1,Is pruritus an adverse effect of pilocarpine?
pilocarpine,migraine,1,Is migraine an adverse effect of pilocarpine?
pilocarpine,eye pain,1,Is eye pain an adverse effect of pilocarpine?
pilocarpine,thrombocytosis,1,Is thrombocytosis an adverse effect of pilocarpine?
pilocarpine,dermatitis exfoliative,1,Is dermatitis exfoliative an adverse effect of pilocarpine?
pilocarpine,stomatitis,1,Is stomatitis an adverse effect of pilocarpine?
pilocarpine,alopecia,1,Is alopecia an adverse effect of pilocarpine?
pilocarpine,epistaxis,1,Is epistaxis an adverse effect of pilocarpine?
pilocarpine,gingivitis,1,Is gingivitis an adverse effect of pilocarpine?
pilocarpine,thinking abnormal,1,Is thinking abnormal an adverse effect of pilocarpine?
pilocarpine,pericardial rub,0,Is pericardial rub an adverse effect of pilocarpine?
pilocarpine,venoocclusive liver disease,0,Is venoocclusive liver disease an adverse effect of pilocarpine?
pilocarpine,blood fibrinogen decreased,0,Is blood fibrinogen decreased an adverse effect of pilocarpine?
pilocarpine,penile haemorrhage,0,Is penile haemorrhage an adverse effect of pilocarpine?
pilocarpine,post thrombotic syndrome,0,Is post thrombotic syndrome an adverse effect of pilocarpine?
pilocarpine,jessner's lymphocytic infiltration,0,Is jessner's lymphocytic infiltration an adverse effect of pilocarpine?
pilocarpine,autonomic neuropathy,0,Is autonomic neuropathy an adverse effect of pilocarpine?
pilocarpine,premature delivery,0,Is premature delivery an adverse effect of pilocarpine?
pilocarpine,glossodynia,0,Is glossodynia an adverse effect of pilocarpine?
pilocarpine,glomerulonephropathy,0,Is glomerulonephropathy an adverse effect of pilocarpine?
fenofibrate,gout,1,Is gout an adverse effect of fenofibrate?
fenofibrate,diarrhoea,1,Is diarrhoea an adverse effect of fenofibrate?
fenofibrate,flatulence,1,Is flatulence an adverse effect of fenofibrate?
fenofibrate,otitis media,1,Is otitis media an adverse effect of fenofibrate?
fenofibrate,myositis,1,Is myositis an adverse effect of fenofibrate?
fenofibrate,blood creatine phosphokinase increased,1,Is blood creatine phosphokinase increased an adverse effect of fenofibrate?
fenofibrate,influenza,1,Is influenza an adverse effect of fenofibrate?
fenofibrate,chest pain,1,Is chest pain an adverse effect of fenofibrate?
fenofibrate,cystitis noninfective,1,Is cystitis noninfective an adverse effect of fenofibrate?
fenofibrate,arteriosclerosis,1,Is arteriosclerosis an adverse effect of fenofibrate?
fenofibrate,glabellar reflex abnormal,0,Is glabellar reflex abnormal an adverse effect of fenofibrate?
fenofibrate,upper motor neurone lesion,0,Is upper motor neurone lesion an adverse effect of fenofibrate?
fenofibrate,atrial tachycardia,0,Is atrial tachycardia an adverse effect of fenofibrate?
fenofibrate,flank pain,0,Is flank pain an adverse effect of fenofibrate?
fenofibrate,dermatitis diaper,0,Is dermatitis diaper an adverse effect of fenofibrate?
fenofibrate,pulmonary veno-occlusive disease,0,Is pulmonary veno-occlusive disease an adverse effect of fenofibrate?
fenofibrate,hepatitis a,0,Is hepatitis a an adverse effect of fenofibrate?
fenofibrate,post procedural constipation,0,Is post procedural constipation an adverse effect of fenofibrate?
fenofibrate,myocarditis,0,Is myocarditis an adverse effect of fenofibrate?
fenofibrate,therapeutic response increased,0,Is therapeutic response increased an adverse effect of fenofibrate?
tamoxifen,uterine leiomyoma,1,Is uterine leiomyoma an adverse effect of tamoxifen?
tamoxifen,weight decreased,1,Is weight decreased an adverse effect of tamoxifen?
tamoxifen,dermatitis,1,Is dermatitis an adverse effect of tamoxifen?
tamoxifen,aspartate aminotransferase increased,1,Is aspartate aminotransferase increased an adverse effect of tamoxifen?
tamoxifen,loss of libido,1,Is loss of libido an adverse effect of tamoxifen?
tamoxifen,hepatitis,1,Is hepatitis an adverse effect of tamoxifen?
tamoxifen,metastatic neoplasm,1,Is metastatic neoplasm an adverse effect of tamoxifen?
tamoxifen,gait disturbance,1,Is gait disturbance an adverse effect of tamoxifen?
tamoxifen,dysphagia,1,Is dysphagia an adverse effect of tamoxifen?
tamoxifen,blister,1,Is blister an adverse effect of tamoxifen?
tamoxifen,ophthalmic herpes simplex,0,Is ophthalmic herpes simplex an adverse effect of tamoxifen?
tamoxifen,injury associated with device,0,Is injury associated with device an adverse effect of tamoxifen?
tamoxifen,megacolon,0,Is megacolon an adverse effect of tamoxifen?
tamoxifen,laryngeal oedema,0,Is laryngeal oedema an adverse effect of tamoxifen?
tamoxifen,opisthotonus,0,Is opisthotonus an adverse effect of tamoxifen?
tamoxifen,faecaloma,0,Is faecaloma an adverse effect of tamoxifen?
tamoxifen,muscle twitching,0,Is muscle twitching an adverse effect of tamoxifen?
tamoxifen,diet refusal,0,Is diet refusal an adverse effect of tamoxifen?
tamoxifen,rheumatic disorder,0,Is rheumatic disorder an adverse effect of tamoxifen?
tamoxifen,focal segmental glomerulosclerosis,0,Is focal segmental glomerulosclerosis an adverse effect of tamoxifen?
lamivudine,hepatobiliary disease,1,Is hepatobiliary disease an adverse effect of lamivudine?
lamivudine,autoimmune disorder,1,Is autoimmune disorder an adverse effect of lamivudine?
lamivudine,sinusitis,1,Is sinusitis an adverse effect of lamivudine?
lamivudine,vasodilation procedure,1,Is vasodilation procedure an adverse effect of lamivudine?
lamivudine,dysphagia,1,Is dysphagia an adverse effect of lamivudine?
lamivudine,amblyopia,1,Is amblyopia an adverse effect of lamivudine?
lamivudine,dehydration,1,Is dehydration an adverse effect of lamivudine?
lamivudine,hypoxia,1,Is hypoxia an adverse effect of lamivudine?
lamivudine,erythema,1,Is erythema an adverse effect of lamivudine?
lamivudine,gingival bleeding,1,Is gingival bleeding an adverse effect of lamivudine?
lamivudine,vasoconstriction,0,Is vasoconstriction an adverse effect of lamivudine?
lamivudine,acne fulminans,0,Is acne fulminans an adverse effect of lamivudine?
lamivudine,post procedural discharge,0,Is post procedural discharge an adverse effect of lamivudine?
lamivudine,gastrointestinal ulcer haemorrhage,0,Is gastrointestinal ulcer haemorrhage an adverse effect of lamivudine?
lamivudine,colour blindness,0,Is colour blindness an adverse effect of lamivudine?
lamivudine,haematemesis,0,Is haematemesis an adverse effect of lamivudine?
lamivudine,ketosis,0,Is ketosis an adverse effect of lamivudine?
lamivudine,arrhythmia,0,Is arrhythmia an adverse effect of lamivudine?
lamivudine,accident at home,0,Is accident at home an adverse effect of lamivudine?
lamivudine,radiculitis,0,Is radiculitis an adverse effect of lamivudine?
modafinil,oedema,1,Is oedema an adverse effect of modafinil?
modafinil,suicide attempt,1,Is suicide attempt an adverse effect of modafinil?
modafinil,gingivitis,1,Is gingivitis an adverse effect of modafinil?
modafinil,ill-defined disorder,1,Is ill-defined disorder an adverse effect of modafinil?
modafinil,eye pain,1,Is eye pain an adverse effect of modafinil?
modafinil,urine output increased,1,Is urine output increased an adverse effect of modafinil?
modafinil,vomiting,1,Is vomiting an adverse effect of modafinil?
modafinil,tremor,1,Is tremor an adverse effect of modafinil?
modafinil,feeling abnormal,1,Is feeling abnormal an adverse effect of modafinil?
modafinil,pharyngitis,1,Is pharyngitis an adverse effect of modafinil?
modafinil,gravitational oedema,0,Is gravitational oedema an adverse effect of modafinil?
modafinil,phantom pain,0,Is phantom pain an adverse effect of modafinil?
modafinil,melanoderma,0,Is melanoderma an adverse effect of modafinil?
modafinil,injection site induration,0,Is injection site induration an adverse effect of modafinil?
modafinil,nasal septum ulceration,0,Is nasal septum ulceration an adverse effect of modafinil?
modafinil,tumour cell mobilisation,0,Is tumour cell mobilisation an adverse effect of modafinil?
modafinil,clavicle fracture,0,Is clavicle fracture an adverse effect of modafinil?
modafinil,wound secretion,0,Is wound secretion an adverse effect of modafinil?
modafinil,hypoproteinaemia,0,Is hypoproteinaemia an adverse effect of modafinil?
modafinil,cervix carcinoma stage 0,0,Is cervix carcinoma stage 0 an adverse effect of modafinil?
gadoversetamide,loss of consciousness,1,Is loss of consciousness an adverse effect of gadoversetamide?
gadoversetamide,hyperacusis,1,Is hyperacusis an adverse effect of gadoversetamide?
gadoversetamide,tongue disorder,1,Is tongue disorder an adverse effect of gadoversetamide?
gadoversetamide,arrhythmia,1,Is arrhythmia an adverse effect of gadoversetamide?
gadoversetamide,agitation,1,Is agitation an adverse effect of gadoversetamide?
gadoversetamide,oliguria,1,Is oliguria an adverse effect of gadoversetamide?
gadoversetamide,hypertension,1,Is hypertension an adverse effect of gadoversetamide?
gadoversetamide,urinary tract infection,1,Is urinary tract infection an adverse effect of gadoversetamide?
gadoversetamide,vertigo,1,Is vertigo an adverse effect of gadoversetamide?
gadoversetamide,discomfort,1,Is discomfort an adverse effect of gadoversetamide?
gadoversetamide,tracheo-oesophageal fistula,0,Is tracheo-oesophageal fistula an adverse effect of gadoversetamide?
gadoversetamide,type 2 diabetes mellitus,0,Is type 2 diabetes mellitus an adverse effect of gadoversetamide?
gadoversetamide,drug ineffective,0,Is drug ineffective an adverse effect of gadoversetamide?
gadoversetamide,diastolic hypertension,0,Is diastolic hypertension an adverse effect of gadoversetamide?
gadoversetamide,pneumopericardium,0,Is pneumopericardium an adverse effect of gadoversetamide?
gadoversetamide,erysipelas,0,Is erysipelas an adverse effect of gadoversetamide?
gadoversetamide,hypoalbuminaemia,0,Is hypoalbuminaemia an adverse effect of gadoversetamide?
gadoversetamide,graft complication,0,Is graft complication an adverse effect of gadoversetamide?
gadoversetamide,toxic dilatation of intestine,0,Is toxic dilatation of intestine an adverse effect of gadoversetamide?
gadoversetamide,premature baby,0,Is premature baby an adverse effect of gadoversetamide?
ketorolac,extrapyramidal disorder,1,Is extrapyramidal disorder an adverse effect of ketorolac?
ketorolac,jaundice,1,Is jaundice an adverse effect of ketorolac?
ketorolac,stomatitis,1,Is stomatitis an adverse effect of ketorolac?
ketorolac,cystitis,1,Is cystitis an adverse effect of ketorolac?
ketorolac,alopecia,1,Is alopecia an adverse effect of ketorolac?
ketorolac,polyuria,1,Is polyuria an adverse effect of ketorolac?
ketorolac,colitis ulcerative,1,Is colitis ulcerative an adverse effect of ketorolac?
ketorolac,gastrointestinal haemorrhage,1,Is gastrointestinal haemorrhage an adverse effect of ketorolac?
ketorolac,urticaria,1,Is urticaria an adverse effect of ketorolac?
ketorolac,renal impairment,1,Is renal impairment an adverse effect of ketorolac?
ketorolac,vascular pseudoaneurysm,0,Is vascular pseudoaneurysm an adverse effect of ketorolac?
ketorolac,water intoxication,0,Is water intoxication an adverse effect of ketorolac?
ketorolac,endocarditis,0,Is endocarditis an adverse effect of ketorolac?
ketorolac,urine flow decreased,0,Is urine flow decreased an adverse effect of ketorolac?
ketorolac,epidural lipomatosis,0,Is epidural lipomatosis an adverse effect of ketorolac?
ketorolac,lung adenocarcinoma stage i,0,Is lung adenocarcinoma stage i an adverse effect of ketorolac?
ketorolac,thyrotoxic crisis,0,Is thyrotoxic crisis an adverse effect of ketorolac?
ketorolac,diaphragmatic hernia,0,Is diaphragmatic hernia an adverse effect of ketorolac?
ketorolac,leukoplakia,0,Is leukoplakia an adverse effect of ketorolac?
ketorolac,blood oestrogen increased,0,Is blood oestrogen increased an adverse effect of ketorolac?
bupivacaine,dyspnoea,1,Is dyspnoea an adverse effect of bupivacaine?
bupivacaine,tachycardia,1,Is tachycardia an adverse effect of bupivacaine?
bupivacaine,body temperature increased,1,Is body temperature increased an adverse effect of bupivacaine?
bupivacaine,infection,1,Is infection an adverse effect of bupivacaine?
bupivacaine,horner's syndrome,1,Is horner's syndrome an adverse effect of bupivacaine?
bupivacaine,bradycardia,1,Is bradycardia an adverse effect of bupivacaine?
bupivacaine,dizziness,1,Is dizziness an adverse effect of bupivacaine?
bupivacaine,peripheral nerve injury,1,Is peripheral nerve injury an adverse effect of bupivacaine?
bupivacaine,hyperhidrosis,1,Is hyperhidrosis an adverse effect of bupivacaine?
bupivacaine,ventricular extrasystoles,1,Is ventricular extrasystoles an adverse effect of bupivacaine?
bupivacaine,gastrointestinal ulcer haemorrhage,0,Is gastrointestinal ulcer haemorrhage an adverse effect of bupivacaine?
bupivacaine,corneal erosion,0,Is corneal erosion an adverse effect of bupivacaine?
bupivacaine,urine output,0,Is urine output an adverse effect of bupivacaine?
bupivacaine,proteinuria,0,Is proteinuria an adverse effect of bupivacaine?
bupivacaine,palmar-plantar erythrodysaesthesia syndrome,0,Is palmar-plantar erythrodysaesthesia syndrome an adverse effect of bupivacaine?
bupivacaine,nocturnal dyspnoea,0,Is nocturnal dyspnoea an adverse effect of bupivacaine?
bupivacaine,muscle relaxant therapy,0,Is muscle relaxant therapy an adverse effect of bupivacaine?
bupivacaine,oesophageal irritation,0,Is oesophageal irritation an adverse effect of bupivacaine?
bupivacaine,pharyngeal disorder,0,Is pharyngeal disorder an adverse effect of bupivacaine?
bupivacaine,device capturing issue,0,Is device capturing issue an adverse effect of bupivacaine?
cas,thrombocytopenia,1,Is thrombocytopenia an adverse effect of cas?
cas,dry skin,1,Is dry skin an adverse effect of cas?
cas,serositis,1,Is serositis an adverse effect of cas?
cas,polyuria,1,Is polyuria an adverse effect of cas?
cas,bronchitis,1,Is bronchitis an adverse effect of cas?
cas,flank pain,1,Is flank pain an adverse effect of cas?
cas,flushing,1,Is flushing an adverse effect of cas?
cas,cough,1,Is cough an adverse effect of cas?
cas,musculoskeletal discomfort,1,Is musculoskeletal discomfort an adverse effect of cas?
cas,contusion,1,Is contusion an adverse effect of cas?
cas,injection site injury,0,Is injection site injury an adverse effect of cas?
cas,polycystic ovaries,0,Is polycystic ovaries an adverse effect of cas?
cas,staphylococcal scalded skin syndrome,0,Is staphylococcal scalded skin syndrome an adverse effect of cas?
cas,uterovaginal prolapse,0,Is uterovaginal prolapse an adverse effect of cas?
cas,haemarthrosis,0,Is haemarthrosis an adverse effect of cas?
cas,application site papules,0,Is application site papules an adverse effect of cas?
cas,infusion site extravasation,0,Is infusion site extravasation an adverse effect of cas?
cas,blood gastrin increased,0,Is blood gastrin increased an adverse effect of cas?
cas,haemorrhage intracranial,0,Is haemorrhage intracranial an adverse effect of cas?
cas,candida infection,0,Is candida infection an adverse effect of cas?
ge-132,respiratory arrest,1,Is respiratory arrest an adverse effect of ge-132?
ge-132,viral infection,1,Is viral infection an adverse effect of ge-132?
ge-132,breath sounds abnormal,1,Is breath sounds abnormal an adverse effect of ge-132?
ge-132,musculoskeletal discomfort,1,Is musculoskeletal discomfort an adverse effect of ge-132?
ge-132,hypoxia,1,Is hypoxia an adverse effect of ge-132?
ge-132,aspartate aminotransferase increased,1,Is aspartate aminotransferase increased an adverse effect of ge-132?
ge-132,hypertension,1,Is hypertension an adverse effect of ge-132?
ge-132,nephropathy,1,Is nephropathy an adverse effect of ge-132?
ge-132,skin exfoliation,1,Is skin exfoliation an adverse effect of ge-132?
ge-132,thrombocytopenia,1,Is thrombocytopenia an adverse effect of ge-132?
ge-132,blood pressure diastolic increased,0,Is blood pressure diastolic increased an adverse effect of ge-132?
ge-132,red man syndrome,0,Is red man syndrome an adverse effect of ge-132?
ge-132,medical device complication,0,Is medical device complication an adverse effect of ge-132?
ge-132,renovascular hypertension,0,Is renovascular hypertension an adverse effect of ge-132?
ge-132,kaposi's sarcoma,0,Is kaposi's sarcoma an adverse effect of ge-132?
ge-132,coagulation factor decreased,0,Is coagulation factor decreased an adverse effect of ge-132?
ge-132,substance abuse,0,Is substance abuse an adverse effect of ge-132?
ge-132,catheter site cellulitis,0,Is catheter site cellulitis an adverse effect of ge-132?
ge-132,oral papilloma,0,Is oral papilloma an adverse effect of ge-132?
ge-132,pancreatic enzymes abnormal,0,Is pancreatic enzymes abnormal an adverse effect of ge-132?
lomefloxacin,hyperglycaemia,1,Is hyperglycaemia an adverse effect of lomefloxacin?
lomefloxacin,dermatitis exfoliative,1,Is dermatitis exfoliative an adverse effect of lomefloxacin?
lomefloxacin,anaphylactic shock,1,Is anaphylactic shock an adverse effect of lomefloxacin?
lomefloxacin,leukocytosis,1,Is leukocytosis an adverse effect of lomefloxacin?
lomefloxacin,chills,1,Is chills an adverse effect of lomefloxacin?
lomefloxacin,pseudomembranous colitis,1,Is pseudomembranous colitis an adverse effect of lomefloxacin?
lomefloxacin,viral infection,1,Is viral infection an adverse effect of lomefloxacin?
lomefloxacin,vomiting,1,Is vomiting an adverse effect of lomefloxacin?
lomefloxacin,arthralgia,1,Is arthralgia an adverse effect of lomefloxacin?
lomefloxacin,shock,1,Is shock an adverse effect of lomefloxacin?
lomefloxacin,septic shock,0,Is septic shock an adverse effect of lomefloxacin?
lomefloxacin,ventricular extrasystoles,0,Is ventricular extrasystoles an adverse effect of lomefloxacin?
lomefloxacin,thermal burn,0,Is thermal burn an adverse effect of lomefloxacin?
lomefloxacin,oral toxicity,0,Is oral toxicity an adverse effect of lomefloxacin?
lomefloxacin,sinusitis bacterial,0,Is sinusitis bacterial an adverse effect of lomefloxacin?
lomefloxacin,varicocele,0,Is varicocele an adverse effect of lomefloxacin?
lomefloxacin,tibial torsion,0,Is tibial torsion an adverse effect of lomefloxacin?
lomefloxacin,laryngospasm,0,Is laryngospasm an adverse effect of lomefloxacin?
lomefloxacin,gallbladder cancer,0,Is gallbladder cancer an adverse effect of lomefloxacin?
lomefloxacin,ear haemorrhage,0,Is ear haemorrhage an adverse effect of lomefloxacin?
naratriptan,ketonuria,1,Is ketonuria an adverse effect of naratriptan?
naratriptan,parathyroid tumour,1,Is parathyroid tumour an adverse effect of naratriptan?
naratriptan,aphasia,1,Is aphasia an adverse effect of naratriptan?
naratriptan,asthma,1,Is asthma an adverse effect of naratriptan?
naratriptan,immune system disorder,1,Is immune system disorder an adverse effect of naratriptan?
naratriptan,rhinitis allergic,1,Is rhinitis allergic an adverse effect of naratriptan?
naratriptan,anaemia,1,Is anaemia an adverse effect of naratriptan?
naratriptan,medication overuse headache,1,Is medication overuse headache an adverse effect of naratriptan?
naratriptan,pleurisy,1,Is pleurisy an adverse effect of naratriptan?
naratriptan,purpura,1,Is purpura an adverse effect of naratriptan?
naratriptan,oral mucosal discolouration,0,Is oral mucosal discolouration an adverse effect of naratriptan?
naratriptan,blood alkaline phosphatase increased,0,Is blood alkaline phosphatase increased an adverse effect of naratriptan?
naratriptan,systemic mycosis,0,Is systemic mycosis an adverse effect of naratriptan?
naratriptan,oedema due to cardiac disease,0,Is oedema due to cardiac disease an adverse effect of naratriptan?
naratriptan,renal failure,0,Is renal failure an adverse effect of naratriptan?
naratriptan,somatoform disorder,0,Is somatoform disorder an adverse effect of naratriptan?
naratriptan,spinal cord disorder,0,Is spinal cord disorder an adverse effect of naratriptan?
naratriptan,duodenal perforation,0,Is duodenal perforation an adverse effect of naratriptan?
naratriptan,blood bicarbonate,0,Is blood bicarbonate an adverse effect of naratriptan?
naratriptan,urinary tract infection fungal,0,Is urinary tract infection fungal an adverse effect of naratriptan?
temsirolimus,oedema,1,Is oedema an adverse effect of temsirolimus?
temsirolimus,angiopathy,1,Is angiopathy an adverse effect of temsirolimus?
temsirolimus,rash generalised,1,Is rash generalised an adverse effect of temsirolimus?
temsirolimus,gastritis,1,Is gastritis an adverse effect of temsirolimus?
temsirolimus,haematuria,1,Is haematuria an adverse effect of temsirolimus?
temsirolimus,exfoliative rash,1,Is exfoliative rash an adverse effect of temsirolimus?
temsirolimus,rhabdomyolysis,1,Is rhabdomyolysis an adverse effect of temsirolimus?
temsirolimus,dermatitis exfoliative,1,Is dermatitis exfoliative an adverse effect of temsirolimus?
temsirolimus,thrombophlebitis,1,Is thrombophlebitis an adverse effect of temsirolimus?
temsirolimus,viral infection,1,Is viral infection an adverse effect of temsirolimus?
temsirolimus,neurological examination abnormal,0,Is neurological examination abnormal an adverse effect of temsirolimus?
temsirolimus,device related sepsis,0,Is device related sepsis an adverse effect of temsirolimus?
temsirolimus,mitral valve disease,0,Is mitral valve disease an adverse effect of temsirolimus?
temsirolimus,akinaesthesia,0,Is akinaesthesia an adverse effect of temsirolimus?
temsirolimus,sinus congestion,0,Is sinus congestion an adverse effect of temsirolimus?
temsirolimus,immunology test,0,Is immunology test an adverse effect of temsirolimus?
temsirolimus,distractibility,0,Is distractibility an adverse effect of temsirolimus?
temsirolimus,bipolar disorder,0,Is bipolar disorder an adverse effect of temsirolimus?
temsirolimus,upper respiratory tract congestion,0,Is upper respiratory tract congestion an adverse effect of temsirolimus?
temsirolimus,beta 2 microglobulin increased,0,Is beta 2 microglobulin increased an adverse effect of temsirolimus?
trandolapril,arthritis,1,Is arthritis an adverse effect of trandolapril?
trandolapril,stevens-johnson syndrome,1,Is stevens-johnson syndrome an adverse effect of trandolapril?
trandolapril,arthralgia,1,Is arthralgia an adverse effect of trandolapril?
trandolapril,antinuclear antibody positive,1,Is antinuclear antibody positive an adverse effect of trandolapril?
trandolapril,blood alkaline phosphatase increased,1,Is blood alkaline phosphatase increased an adverse effect of trandolapril?
trandolapril,upper respiratory tract congestion,1,Is upper respiratory tract congestion an adverse effect of trandolapril?
trandolapril,cardiac failure,1,Is cardiac failure an adverse effect of trandolapril?
trandolapril,conjunctival oedema,1,Is conjunctival oedema an adverse effect of trandolapril?
trandolapril,angiopathy,1,Is angiopathy an adverse effect of trandolapril?
trandolapril,shock,1,Is shock an adverse effect of trandolapril?
trandolapril,drug abuse,0,Is drug abuse an adverse effect of trandolapril?
trandolapril,fanconi syndrome acquired,0,Is fanconi syndrome acquired an adverse effect of trandolapril?
trandolapril,mental disorder due to a general medical condition,0,Is mental disorder due to a general medical condition an adverse effect of trandolapril?
trandolapril,rebound effect,0,Is rebound effect an adverse effect of trandolapril?
trandolapril,graft thrombosis,0,Is graft thrombosis an adverse effect of trandolapril?
trandolapril,endometrial hyperplasia,0,Is endometrial hyperplasia an adverse effect of trandolapril?
trandolapril,blood gastrin increased,0,Is blood gastrin increased an adverse effect of trandolapril?
trandolapril,ovarian hyperstimulation syndrome,0,Is ovarian hyperstimulation syndrome an adverse effect of trandolapril?
trandolapril,sensitivity of teeth,0,Is sensitivity of teeth an adverse effect of trandolapril?
trandolapril,parathyroid tumour,0,Is parathyroid tumour an adverse effect of trandolapril?
ramipril,leukopenia,1,Is leukopenia an adverse effect of ramipril?
ramipril,anxiety,1,Is anxiety an adverse effect of ramipril?
ramipril,orthostatic hypotension,1,Is orthostatic hypotension an adverse effect of ramipril?
ramipril,onycholysis,1,Is onycholysis an adverse effect of ramipril?
ramipril,weight increased,1,Is weight increased an adverse effect of ramipril?
ramipril,upper respiratory tract infection,1,Is upper respiratory tract infection an adverse effect of ramipril?
ramipril,eosinophilia,1,Is eosinophilia an adverse effect of ramipril?
ramipril,oedema,1,Is oedema an adverse effect of ramipril?
ramipril,hepatobiliary disease,1,Is hepatobiliary disease an adverse effect of ramipril?
ramipril,stomatitis,1,Is stomatitis an adverse effect of ramipril?
ramipril,prostatic dysplasia,0,Is prostatic dysplasia an adverse effect of ramipril?
ramipril,bacterial test positive,0,Is bacterial test positive an adverse effect of ramipril?
ramipril,incision site haemorrhage,0,Is incision site haemorrhage an adverse effect of ramipril?
ramipril,vulvovaginal disorder,0,Is vulvovaginal disorder an adverse effect of ramipril?
ramipril,stereotypy,0,Is stereotypy an adverse effect of ramipril?
ramipril,folliculitis,0,Is folliculitis an adverse effect of ramipril?
ramipril,pseudomonal sepsis,0,Is pseudomonal sepsis an adverse effect of ramipril?
ramipril,neoplasm,0,Is neoplasm an adverse effect of ramipril?
ramipril,ectopic pregnancy,0,Is ectopic pregnancy an adverse effect of ramipril?
ramipril,renal infarct,0,Is renal infarct an adverse effect of ramipril?
salbutamol,glossitis,1,Is glossitis an adverse effect of salbutamol?
salbutamol,dysuria,1,Is dysuria an adverse effect of salbutamol?
salbutamol,hypoglycaemia,1,Is hypoglycaemia an adverse effect of salbutamol?
salbutamol,hypotension,1,Is hypotension an adverse effect of salbutamol?
salbutamol,nasopharyngitis,1,Is nasopharyngitis an adverse effect of salbutamol?
salbutamol,dyspepsia,1,Is dyspepsia an adverse effect of salbutamol?
salbutamol,ill-defined disorder,1,Is ill-defined disorder an adverse effect of salbutamol?
salbutamol,feeling hot,1,Is feeling hot an adverse effect of salbutamol?
salbutamol,angiopathy,1,Is angiopathy an adverse effect of salbutamol?
salbutamol,electrocardiogram abnormal,1,Is electrocardiogram abnormal an adverse effect of salbutamol?
salbutamol,osteochondrosis,0,Is osteochondrosis an adverse effect of salbutamol?
salbutamol,fructose intolerance,0,Is fructose intolerance an adverse effect of salbutamol?
salbutamol,monoparesis,0,Is monoparesis an adverse effect of salbutamol?
salbutamol,gaze palsy,0,Is gaze palsy an adverse effect of salbutamol?
