query,query_type,drug,ground_truth_side_effects,num_side_effects,side_effect,ground_truth_drugs,num_drugs,organ_system
Show me side effects associated with sitagliptin,reverse,sitagliptin,"['somnolence', 'muscle tightness', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'blood glucose decreased', 'abdominal discomfort', 'gastrointestinal disorder', 'cough', 'dermatitis', 'sciatica', 'migraine', 'toothache', 'pancreatitis necrotising', 'arthralgia', 'renal failure', 'weight increased', 'contusion', 'decreased appetite', 'eczema', 'headache', 'serum creatinine increased', 'helicobacter gastritis', 'cellulitis', 'angiopathy', 'pain in extremity', 'neuropathy peripheral', 'renal impairment', 'acute bronchitis', 'non-cardiac chest pain', 'vertigo', 'hypertension', 'stevens-johnson syndrome', 'upper respiratory tract infection', 'diarrhoea', 'pain', 'pancreatitis', 'anaphylactic shock', 'viral diarrhoea', 'discomfort', 'mediastinal disorder', 'reflux esophagitis', 'gastrooesophageal reflux disease', 'vision blurred', 'neck pain', 'herpes zoster', 'anxiety', 'pharyngitis', 'immune system disorder', 'depression', 'blood creatinine increased', 'lung disorder', 'musculoskeletal discomfort', 'skin disorder', 'flatulence', 'unspecified disorder of skin and subcutaneous tissue', 'laryngeal pain', 'constipation', 'fatigue', 'pharyngolaryngeal pain', 'hypersensitivity', 'respiratory tract infection', 'ill-defined disorder', 'retching', 'vomiting', 'pneumonia', 'pancreatitis acute', 'cardiac disorder', 'asthenia', 'muscle spasms', 'nausea', 'tracheobronchitis', 'dry mouth', 'dysmenorrhoea', 'dyspepsia', 'erythema multiforme', 'sinus congestion', 'angioedema', 'eye disorder', 'nephrolithiasis', 'urethral disorder', 'hepatic steatosis', 'fungal skin infection', 'dizziness', 'blood glucose increased', 'urticaria', 'nervousness', 'bundle branch block', 'breast disorder', 'ear and labyrinth disorders', 'abdominal pain', 'hypoglycaemia', 'osteoarthritis', 'shoulder pain', 'face oedema', 'hepatobiliary disease', 'tooth infection', 'insomnia', 'malnutrition', 'influenza', 'mental disorder', 'gastroenteritis', 'nervous system disorder', 'parosmia', 'sinusitis', 'tension', 'sinus headache', 'cutaneous vasculitis', 'feeling abnormal', 'gastric ulcer helicobacter', 'rash', 'connective tissue disorder', 'infection', 'hypoaesthesia', 'oedema peripheral', 'renal failure acute', 'orthostatic hypotension', 'urinary tract infection', 'erectile dysfunction', 'malaise', 'urinary tract disorder', 'abdominal pain upper', 'bronchitis', 'back pain', 'nasopharyngitis', 'anaphylactic responses', 'infestation nos', 'infestation', 'musculoskeletal pain']",129.0,,,,
What are the side effects of latanoprost?,reverse,latanoprost,"['eyelid oedema', 'pain', 'nervous system disorder', 'asthma', 'discomfort', 'mediastinal disorder', 'diplopia', 'vision blurred', 'skin reaction', 'lacrimation increased', 'macular oedema', 'dermatitis', 'localised skin reaction', 'rash', 'iris hyperpigmentation', 'corneal oedema', 'embolus', 'connective tissue disorder', 'eye pain', 'asthmatic attack', 'allergic skin reaction', 'chest pain', 'arthralgia', 'embolism', 'keratopathy', 'conjunctival hyperaemia', 'hyperaemia', 'erythema', 'exacerbation of asthma', 'dyspnoea', 'musculoskeletal discomfort', 'inflammation', 'uveitis', 'photophobia', 'scab', 'dizziness', 'eczema', 'angina pectoris', 'sensation of foreign body', 'headache', 'urinary tract infection', 'ophthalmic herpes simplex', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'retinal detachment', 'dry eye', 'periorbital oedema', 'bronchitis', 'hepatic function abnormal', 'eye irritation', 'diabetic retinopathy', 'back pain', 'conjunctivitis', 'blepharitis', 'pruritus', 'vitreous haemorrhage', 'dermatitis atopic', 'iritis', 'cystoid macular oedema', 'toxic epidermal necrolysis', 'keratitis', 'oedema', 'stinging', 'upper respiratory tract infection']",64.0,,,,
What adverse events does demethyl cause?,reverse,demethyl,"['gastrointestinal pain', 'malaise and fatigue', 'myalgia', 'peptic ulcer', 'personality change', 'erythema facial', 'menstruation irregular', 'gastrointestinal disorder', 'urine calcium increased', 'blood potassium decreased', 'hypopituitarism', 'nitrogen balance negative', 'dermatitis', 'psychotic disorder', 'fluid retention', 'atrophy', 'abscess sterile', 'intraocular pressure increased', 'arthralgia', 'weight increased', 'hypernatraemia', 'hyperhidrosis', 'diplegia', 'muscle mass', 'headache', 'benign intracranial hypertension', 'angiopathy', 'mania', 'irritability', 'chorioretinopathy', 'monoplegia', 'peptic ulcer perforation', 'pruritus', 'alanine aminotransferase increased', 'vertigo', 'blindness', 'visual impairment', 'hypertension', 'candida infection', 'diarrhoea', 'affective disorder', 'schizophrenia', 'pancreatitis', 'injection site abscess', 'aseptic necrosis', 'anaphylactic shock', 'spinal compression fracture', 'injection site exfoliation', 'discomfort', 'leukocytosis', 'mediastinal disorder', 'papilloedema', 'osteonecrosis', 'skin hyperpigmentation', 'diabetic', 'anxiety', 'psychotic behaviour', 'amnesia', 'immune system disorder', 'diabetes mellitus', 'ecchymosis', 'hallucination', 'latent tuberculosis', 'anaphylactoid reaction', 'mood swings', 'affect lability', 'increased insulin requirement', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'haemoglobin', 'intracranial pressure increased', 'blood alkaline phosphatase increased', 'fatigue', 'bladder dysfunction', 'hirsutism', 'skin atrophy', 'ca++ increased', 'gastric haemorrhage', 'hypersensitivity', 'sweating increased', 'neuropathic arthropathy', 'delusion', 'blood urea increased', 'ill-defined disorder', 'oesophagitis', 'epidural lipomatosis', 'dyslipidaemia', 'administration site infection', 'leukoderma', 'abnormal behaviour', 'cardiac disorder', 'hiccups', 'asthenia', 'glucose tolerance impaired', 'tendon rupture', 'scleral thinning', 'nausea', 'injection site reaction', 'euphoric mood', 'convulsion', 'alkalosis hypokalaemic', 'dyspepsia', 'aspartate aminotransferase increased', 'angioedema', 'osteoporosis', 'glaucoma', 'eye disorder', 'metabolic acidosis', 'petechiae', 'arachnoiditis', 'dizziness', 'opportunistic infection', 'myopathy', 'paraplegia', 'steroid withdrawal syndrome', 'functional gastrointestinal disorder', 'acne', 'oesophagitis ulcerative', 'suicidal ideation', 'muscle atrophy', 'haemorrhage', 'increased appetite', 'breast disorder', 'ear and labyrinth disorders', 'abdominal pain', 'paraparesis', 'osteoarthritis', 'steroid myopathy', 'telangiectasia', 'carbohydrate tolerance decreased', 'insomnia', 'drug dependence', 'pancreatitis haemorrhagic', 'malnutrition', 'slough injection site', 'confusional state', 'mental disorder', 'nervous system disorder', 'cardiac failure congestive', 'feeling abnormal', 'optic neuritis', 'muscular weakness', 'arthropathy', 'rash', 'connective tissue disorder', 'abdominal distension', 'infection', 'oedema peripheral', 'peritonitis', 'depressed mood', 'cataract subcapsular', 'growth retardation', 'amenorrhoea', 'cataract', 'erythema', 'meningitis', 'lipomatosis', 'malaise', 'central serous retinopathy', 'skin striae', 'fungal infection', 'cognitive disorder', 'exophthalmos', 'impaired healing', 'hypercalcaemia', 'infestation nos', 'infestation', 'intestinal perforation', 'dependence psychological', 'endocrine disorder']",172.0,,,,
What adverse events does tranylcypromine cause?,reverse,tranylcypromine,"['somnolence', 'gastrointestinal pain', 'tremor', 'dermatitis', 'memory loss', 'agitation', 'paraesthesia', 'syncope', 'hypertensive crisis', 'sensory loss', 'acne cystic', 'palpitations', 'hyperhidrosis', 'stiffness', 'chills', 'decreased appetite', 'inappropriate antidiuretic hormone secretion', 'headache', 'anorexia', 'tinnitus', 'hypertension', 'neck stiffness', 'oedema', 'shock', 'anaemia', 'diarrhoea', 'pain', 'blood disorder', 'vision blurred', 'anxiety', 'hypertensive', 'frequent headaches', 'amnesia', 'alopecia', 'urinary incontinence', 'mydriasis', 'hypotension', 'occipital headache', 'haemoglobin', 'pollakiuria', 'constipation', 'blood pressure increased', 'flushing', 'hypertension paroxysmal', 'ataxia', 'vomiting', 'hepatitis', 'body temperature increased', 'asthenia', 'muscle spasms', 'nausea', 'dry mouth', 'hypotensive', 'numbness', 'loss of consciousness', 'dizziness', 'urticaria', 'subarachnoid haemorrhage', 'haemorrhage', 'abdominal pain', 'morphoea', 'insomnia', 'akinesia', 'nuchal rigidity', 'pallor', 'sweating', 'tachycardia', 'musculoskeletal stiffness', 'confusional state', 'leukopenia', 'urinary retention', 'feeling abnormal', 'rash', 'hypoaesthesia', 'haemorrhage intracranial', 'tenderness', 'agranulocytosis', 'drowsiness', 'thrombocytopenia', 'bradycardia', 'disorientation', 'erectile dysfunction', 'circumscribed scleroderma', 'myoclonus']",84.0,,,,
List all side effects of ketamine,reverse,ketamine,"['cystitis', 'pain', 'anaphylactic shock', 'diplopia', 'vision blurred', 'nausea', 'dermatitis', 'convulsion', 'rash', 'salivary hypersecretion', 'apnoea', 'laryngospasm', 'clonic movements', 'airway obstruction nos', 'rash morbilliform', 'cystitis noninfective', 'decreased appetite', 'erythema', 'pulmonary function test decreased', 'bradycardia', 'clonus', 'respiratory depression', 'hypotension', 'arrhythmia', 'anorexia', 'muscle twitching', 'obstructive airways disorder', 'bladder pain', 'nystagmus', 'epilepsy', 'shock', 'vomiting']",32.0,,,,
Show me side effects associated with ethosuximide,reverse,ethosuximide,"['diarrhoea', 'libido increased', 'mental disorder', 'vomiting', 'somnolence', 'disturbance in sexual arousal', 'lethargy', 'nervous system disorder', 'blood and lymphatic system disorders', 'gastrointestinal pain', 'myopia', 'leukopenia', 'hiccups', 'asthenia', 'mediastinal disorder', 'gastrointestinal disorder', 'cramp muscle', 'muscle spasms', 'abdominal discomfort', 'disturbance in attention', 'nausea', 'euphoric mood', 'swollen tongue', 'dermatitis', 'psychotic disorder', 'paranoia', 'pancytopenia', 'rash', 'agitation', 'connective tissue disorder', 'erythema multiforme', 'aggression', 'immune system disorder', 'tongue oedema', 'cerebration impaired', 'eye disorder', 'agranulocytosis', 'drowsiness', 'eosinophilia', 'haematuria', 'decreased appetite', 'urethral disorder', 'skin disorder', 'headache', 'dizziness', 'systemic lupus erythematosus', 'unspecified disorder of skin and subcutaneous tissue', 'mental disability', 'gastrointestinal symptom nos', 'urinary tract disorder', 'urticaria', 'vaginal haemorrhage', 'abdominal pain upper', 'drug eruption', 'irritability', 'weight decreased', 'tongue disorder', 'suicidal ideation', 'fatigue', 'breast disorder', 'microscopic hematuria', 'abdominal pain', 'anorexia', 'hirsutism', 'hyperkinesia', 'aplastic anaemia', 'rash erythematous', 'hypersensitivity', 'upset stomach', 'sleep terror', 'ataxia', 'sleep disorder', 'malnutrition', 'stevens-johnson syndrome', 'gingival hypertrophy']",75.0,,,,
What adverse events does bretylium cause?,reverse,bretylium,"['diarrhoea', 'supine hypotension', 'confusional state', 'lethargy', 'body temperature increased', 'gastrointestinal pain', 'hiccups', 'anginal attack', 'paranoia', 'nausea', 'lightheadedness', 'anxiety', 'feeling abnormal', 'psychotic disorder', 'inferior vena cava syndrome', 'syncope', 'loss of consciousness', 'tenderness', 'hyperhidrosis', 'mood swings', 'affect lability', 'dyspnoea', 'bradycardia', 'dizziness', 'orthostatic hypotension', 'ventricular extrasystoles', 'angina pectoris', 'conjunctivitis', 'abdominal pain', 'flushing', 'vertigo', 'sweating increased', 'rash macular', 'nasal congestion', 'hypertension', 'shock', 'vomiting']",37.0,,,,
Show me side effects associated with cimetidine,reverse,cimetidine,"['sickness', 'somnolence', 'myalgia', 'hepatic fibrosis', 'polymyositis', 'dermatitis', 'psychotic disorder', 'agitation', 'arthralgia', 'renal failure', 'headache', 'renal impairment', 'sinus bradycardia', 'hepatic insufficiency', 'stevens-johnson syndrome', 'nephritis interstitial', 'diarrhoea', 'mental disorder due to a general medical condition', 'pancreatitis', 'anaphylactic shock', 'plasma creatinine increased', 'anxiety', 'pancytopenia', 'bone marrow depression', 'white blood cell count low', 'alopecia', 'hallucination', 'blood creatinine increased', 'block heart', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis', 'musculoskeletal discomfort', 'flatulence', 'gynaecomastia', 'constipation', 'fatigue', 'hepatic failure', 'liver injury', 'hypersensitivity', 'anaemias haemolytic immune', 'traumatic liver injury', 'vomiting', 'immunodeficiency', 'hepatitis', 'strongyloidiasis', 'body temperature increased', 'pneumonia', 'asthenia', 'nausea', 'erythema multiforme', 'fatal outcomes', 'hepatotoxicity', 'dizziness', 'tubulointerstitial nephritis', 'immunocompromised', 'organic brain syndrome', 'aplastic anaemia', 'atrioventricular block', 'tachycardia', 'neutropenia', 'confusional state', 'white blood cell count decreased', 'dermatitis exfoliative', 'leukopenia', 'urinary retention', 'necrolysis epidermal', 'feeling abnormal', 'rash', 'agranulocytosis', 'drowsiness', 'alopecia reversible', 'thrombocytopenia', 'bradycardia', 'disorientation', 'galactorrhoea', 'erectile dysfunction', 'malaise', 'toxic epidermal necrolysis', 'musculoskeletal pain']",79.0,,,,
What adverse events does linaclotide cause?,reverse,linaclotide,"['diarrhoea', 'nervous system disorder', 'viral diarrhoea', 'gastrointestinal pain', 'faecal incontinence', 'sinusitis', 'asthenia', 'rectal haemorrhage', 'gastrointestinal disorder', 'gastrooesophageal reflux disease', 'dermatitis', 'hypokalaemia', 'rash', 'abdominal distension', 'dyspepsia', 'infection', 'dehydration', 'melaena', 'haematochezia', 'decreased appetite', 'skin disorder', 'flatulence', 'dizziness', 'headache', 'orthostatic hypotension', 'unspecified disorder of skin and subcutaneous tissue', 'blood bicarbonate decreased', 'angiopathy', 'urticaria', 'fatigue', 'abdominal pain', 'hypersensitivity', 'defaecation urgency', 'infestation nos', 'infestation', 'malnutrition', 'vomiting', 'upper respiratory tract infection']",38.0,,,,
What are the side effects of homatropine?,reverse,homatropine,"['confusional state', 'mental disorder', 'somnolence', 'pain', 'nervous system disorder', 'brain injury', 'body temperature increased', 'endophthalmitis', 'eye oedema', 'trisomy 21', 'cardiac disorder', 'follicular conjunctivitis', 'urinary retention', 'bladder distension', 'vision blurred', 'heart rate irregular', 'mental aberration', 'dermatitis', 'feeling abnormal', 'psychotic disorder', 'convulsion', 'agitation', 'rash', 'retrograde amnesia', 'bladder dilatation', 'spastic paralysis', 'abdominal distension', 'eye pain', 'vasodilation procedure', 'hallucination', 'glaucoma', 'eye disorder', 'intraocular pressure increased', 'pulse irregular', 'drowsiness', 'pulmonary function test decreased', 'eczema', 'incoherent', 'disorientation', 'respiratory depression', 'photophobia', 'hypotension', 'thirst', 'anhidrosis', 'eye irritation', 'hyperpyrexia', 'ataxic gait', 'vasodilation', 'conjunctivitis', 'ocular hyperaemia', 'hyperkinesia', 'flushing', 'eye discharge', 'ataxia', 'oedema', 'drug effect prolonged', 'tachycardia', 'stinging']",58.0,,,,
What adverse events does mupirocin cause?,reverse,mupirocin,"['diarrhoea', 'pain', 'mouth ulceration', 'anaphylactic shock', 'gastrointestinal pain', 'dermatitis exfoliative', 'rash generalised', 'wound infection', 'cough', 'nausea', 'dermatitis', 'dry mouth', 'rash', 'pharyngitis', 'immune system disorder', 'swelling', 'dry skin', 'angioedema', 'furunculosis', 'tenderness', 'erythema', 'eczema', 'skin disorder', 'ear pain', 'dizziness', 'headache', 'cellulitis', 'unspecified disorder of skin and subcutaneous tissue', 'haemoglobin', 'application site pain', 'urticaria', 'stinging', 'haemorrhage', 'upper respiratory tract congestion', 'dermatitis contact', 'rhinitis', 'abdominal pain', 'ulcerative stomatitis', 'blepharitis', 'pruritus', 'sensitisation', 'hypersensitivity', 'furuncle', 'application site burn', 'epistaxis', 'dysgeusia']",46.0,,,,
What adverse events does dabigatran cause?,reverse,dabigatran,"['haemoptysis', 'gastrointestinal pain', 'embolic stroke', 'abdominal discomfort', 'gastrointestinal disorder', 'cough', 'dermatitis', 'epigastric discomfort', 'syncope', 'arthralgia', 'contusion', 'palpitations', 'cerebral haemorrhage', 'hyperbilirubinaemia', 'headache', 'dysphagia', 'liver function test abnormal', 'retroperitoneal haemorrhage', 'angiopathy', 'pain in extremity', 'spinal cord haemorrhage', 'urogenital haemorrhage', 'gastrointestinal haemorrhage', 'blood urine present', 'pruritus', 'alanine aminotransferase increased', 'catheter site haemorrhage', 'gout', 'hypertension', 'shock', 'epistaxis', 'anaemia', 'upper respiratory tract infection', 'diarrhoea', 'gastritis', 'post procedural haematoma', 'anaphylactic shock', 'mediastinal disorder', 'gastrooesophageal reflux disease', 'thrombosis', 'chest discomfort', 'bloody discharge', 'immune system disorder', 'ecchymosis', 'traumatic haemorrhage', 'wound', 'post procedural discharge', 'haematuria', 'musculoskeletal discomfort', 'bronchospasm', 'flatulence', 'skin disorder', 'wound secretion', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angina pectoris', 'haemoglobin', 'gastritis erosive', 'constipation', 'haematoma', 'fatigue', 'injection site haemorrhage', 'haemarthrosis', 'haemorrhagic stroke', 'acute coronary syndrome', 'haemorrhagic erosive gastritis', 'gastric haemorrhage', 'hypersensitivity', 'incision site haemorrhage', 'vomiting', 'oesophagitis', 'haematocrit decreased', 'pneumonia', 'bone disorder', 'cardiac disorder', 'asthenia', 'rectal haemorrhage', 'nausea', 'anaemia postoperative', 'dyspepsia', 'aspartate aminotransferase increased', 'post procedural haemorrhage', 'fatal outcomes', 'angioedema', 'loss of consciousness', 'oesophageal ulcer', 'urethral disorder', 'blood bilirubin increased', 'dyspnoea', 'intraspinal bleeding', 'dizziness', 'hepatitis viral', 'major bleed', 'subarachnoid haemorrhage', 'urticaria', 'surgical intervention', 'hepatic function abnormal', 'haemorrhage', 'abdominal pain', 'osteoarthritis', 'cardiac failure', 'hepatobiliary disease', 'myocardial infarction', 'malnutrition', 'influenza', 'gastrooesophagitis', 'blood and lymphatic system disorders', 'gastritis haemorrhagic', 'nervous system disorder', 'cardiac failure congestive', 'sinusitis', 'gastrointestinal ulcer', 'skin haemorrhage', 'hepatic enzyme increased', 'rash', 'connective tissue disorder', 'infection', 'oedema peripheral', 'occult blood positive', 'haemorrhage intracranial', 'chest pain', 'haemorrhoidal haemorrhage', 'allergic oedema', 'thrombocytopenia', 'compartment syndrome', 'surgery', 'urinary tract infection', 'urinary tract disorder', 'transaminases increased', 'abdominal pain upper', 'bronchitis', 'back pain', 'drug hypersensitivity', 'nasopharyngitis', 'hemorrhage symptom', 'haemoglobin decreased', 'infestation nos', 'dyspnoea exertional', 'pericardial haemorrhage', 'thromboembolic stroke', 'infestation', 'musculoskeletal pain', 'wound haemorrhage']",143.0,,,,
Show me side effects associated with oxytocin,reverse,oxytocin,"['vomiting', 'effusion', 'blood and lymphatic system disorders', 'neonatal hyponatraemia', 'nervous system disorder', 'brain injury', 'foetal death', 'anaphylactic shock', 'apgar score low', 'water intoxication', 'cardiac disorder', 'mediastinal disorder', 'reflex tachycardia', 'gastrointestinal disorder', 'muscle spasms', 'hypertensive episode', 'nausea', 'dermatitis', 'coma', 'convulsion', 'pelvic haematoma', 'rash', 'foetal distress syndrome', 'immune system disorder', 'anaphylactoid reaction', 'jaundice neonatal', 'dyspnoea', 'headache', 'skin disorder', 'bradycardia', 'unspecified disorder of skin and subcutaneous tissue', 'ventricular extrasystoles', 'hypotension', 'angiopathy', 'myocardial ischaemia', 'hypertonicity', 'asphyxia', 'fluid overload', 'subarachnoid haemorrhage', 'arrhythmia', 'hypertonia', 'convulsion neonatal', 'disseminated intravascular coagulation', 'acute pulmonary oedema', 'flushing', 'electrocardiogram qt prolonged', 'hypersensitivity', 'retinal haemorrhage', 'hypertension', 'hyponatraemia', 'malnutrition', 'shock', 'electrocardiogram qt corrected interval prolonged', 'tachycardia', 'factor i deficiency']",55.0,,,,
List all side effects of pyridostigmine,reverse,pyridostigmine,"['somnolence', 'gastrointestinal pain', 'myalgia', 'faecal incontinence', 'dermatitis', 'agitation', 'salivary hypersecretion', 'nicotinic effects', 'paraesthesia', 'cardiac arrest', 'dry skin', 'thrombophlebitis', 'stiffness', 'hyperhidrosis', 'vermiculation', 'headache', 'acute bronchitis', 'vertigo', 'gastrointestinal sounds abnormal', 'hallucination, visual', 'epistaxis', 'hypoesthesia tongue', 'diarrhoea', 'tingling of extremity', 'abdominal cramps', 'cholinergic crisis', 'increased bronchial secretion', 'neck pain', 'chest discomfort', 'eye pain', 'alopecia', 'lacrimation', 'urinary incontinence', 'sputum increased', 'cholinergic syndrome', 'musculoskeletal discomfort', 'flatulence', 'hypotension', 'pollakiuria', 'blood pressure increased', 'respiratory paralysis', 'miosis', 'sweating increased', 'muscle twitching', 'hypersensitivity', 'delusion', 'vomiting', 'lethargy', 'abnormal behaviour', 'asthma', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'tracheobronchitis', 'numbness of tongue', 'dysmenorrhoea', 'convulsion', 'amblyopia', 'loss of consciousness', 'fasciculation', 'chest tightness', 'urticaria', 'abdominal pain', 'muscle contractions involuntary', 'pallor', 'musculoskeletal stiffness', 'confusional state', 'pallor of skin', 'lacrimation increased', 'feeling abnormal', 'borborygmi', 'rash', 'abdominal distension', 'hypoaesthesia', 'depressed mood', 'drowsiness', 'abdominal bloating', 'bradycardia', 'paranoid delusions', 'hypertonia', 'pulmonary oedema', 'bronchitis', 'hypoaesthesia oral']",84.0,,,,
What are the side effects of lutalyse?,reverse,lutalyse,"['diarrhoea', 'vomiting', 'somnolence', 'body temperature increased', 'pain', 'tachycardia', 'uterine rupture', 'ventricular arrhythmia', 'hypovolaemic shock', 'cardiac failure congestive', 'discomfort', 'cyanosis', 'hiccups', 'asthenia', 'cough', 'diplopia', 'muscle spasms', 'nausea', 'ill-defined disorder', 'dermatitis', 'feeling abnormal', 'hypokalaemia', 'pulmonary embolism', 'rash', 'convulsion', 'agitation', 'paraesthesia', 'sweating', 'syncope', 'atrioventricular block second degree', 'infection', 'cardiac arrest', 'uterine hypotonus', 'diabetes mellitus', 'loss of consciousness', 'chest pain', 'thrombophlebitis', 'urinary incontinence', 'excitement', 'dehydration', 'petechiae', 'drowsiness', 'hyperhidrosis', 'chills', 'haematuria', 'bronchospasm', 'dyspnoea', 'dizziness', 'headache', 'hyperventilation', 'urinary tract infection', 'bradycardia', 'hypotension', 'malaise', 'hypertonicity', 'hypertonia', 'back pain', 'pruritus', 'burning sensation', 'uterine atony', 'hypersensitivity', 'uterine pain', 'dysuria', 'hypertension', 'breast engorgement', 'polydipsia', 'shock', 'epistaxis', 'ileus paralytic']",69.0,,,,
List all side effects of glibenclamide,reverse,glibenclamide,"['gastrointestinal pain', 'myalgia', 'tremor', 'gastrointestinal disorder', 'hypopituitarism', 'heartburn', 'dermatitis', 'paraesthesia', 'reaction gastrointestinal', 'erythropenia', 'arthralgia', 'hyperhidrosis', 'decreased appetite', 'hyperbilirubinaemia', 'headache', 'inappropriate antidiuretic hormone secretion', 'photosensitivity reaction', 'thrombocytopenic purpura', 'renal impairment', 'purpura', 'anorexia', 'pruritus', 'blindness', 'visual impairment', 'oedema', 'shock', 'anaemia', 'diarrhoea', 'pancreatitis', 'central nervous system disorder', 'porphyria cutanea tarda', 'diplopia', 'vision blurred', 'jaundice', 'pancytopenia', 'alopecia', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis', 'arthritis', 'musculoskeletal discomfort', 'granulomatous liver disease', 'hypotension', 'myelosuppression', 'hepatic failure', 'kidney function abnormal', 'hypotrichosis', 'nephropathy', 'hepatitis cholestatic', 'sweating increased', 'hypersensitivity', 'hyponatraemia', 'vomiting', 'hepatitis', 'cerebrovascular disorder', 'porphyria non-acute', 'asthenia', 'nausea', 'convulsion', 'dyspepsia', 'angioedema', 'eye disorder', 'haemolytic anaemia', 'dyspnoea', 'vascular purpura', 'eruption', 'alcohol intolerance', 'urticaria', 'drug eruption', 'lactic acidosis', 'hepatic function abnormal', 'hepatitis granulomatous', 'abdominal pain', 'alcoholism', 'hypoglycaemia', 'disulfiram like reaction', 'aplastic anaemia', 'epigastric fullness', 'malnutrition', 'porphyria hepatic', 'confusional state', 'nervous system disorder', 'leukopenia', 'jaundice cholestatic', 'cholestasis', 'feeling abnormal', 'vasculitis', 'rash', 'abdominal distension', 'alcohol abuse', 'deafness', 'acute psychosis', 'encephalopathy', 'renal failure acute', 'sensation of pressure', 'agranulocytosis', 'eosinophilia', 'thrombocytopenia', 'erythema', 'coagulopathy', 'digestion impaired', 'dermatitis bullous', 'visual disturbance']",102.0,,,,
What are the side effects of pamidronate?,reverse,pamidronate,"['somnolence', 'gastrointestinal pain', 'myalgia', 'gastrointestinal disorder', 'cough', 'atrial flutter', 'rales', 'dermatitis', 'psychotic disorder', 'osteonecrosis of jaw', 'hypokalaemia', 'agitation', 'plasmacytoma', 'paraesthesia', 'neurological symptom', 'syncope', 'cholecystitis infective', 'thrombophlebitis', 'arthralgia', 'renal failure', 'hypernatraemia', 'hyperhidrosis', 'chills', 'decreased appetite', 'liver function test abnormal', 'headache', 'left ventricular failure', 'eye pruritus', 'interstitial pneumonia', 'serum creatinine increased', 'induration', 'tetany', 'angiopathy', 'advanced breast cancer', 'neoplasm malignant', 'gastrointestinal haemorrhage', 'anorexia', 'pruritus', 'periodontal disease', 'hypocalcaemia', 'serum urea increased', 'hypertension', 'oedema', 'candida infection', 'shock', 'azotaemia', 'dysgeusia', 'anaemia', 'gastritis', 'diarrhoea', 'plasma cell myeloma', 'upper respiratory tract infection', 'iridocyclitis', 'pain', 'anaphylactic shock', 'discomfort', 'mediastinal disorder', 'osteonecrosis', 'hypomagnesaemia', 'drug administration error', 'herpes zoster', 'anxiety', 'rhinorrhoea', 'femur fracture', 'redness', 'influenza like illness', 'uremia', 'metastasis', 'alopecia', 'immune system disorder', 'blood creatinine increased', 'anaphylactoid reaction', 'haematuria', 'influenza-like symptoms', 'musculoskeletal discomfort', 'bronchospasm', 'acute respiratory distress syndrome', 'hypotension', 'haemoglobin', 'xanthopsia', 'constipation', 'fatigue', 'rhinitis', 'nephropathy', 'flushing', 'serum creatinine abnormal', 'scleritis', 'electrolyte imbalance', 'sweating increased', 'hypersensitivity', 'episcleritis', 'blood urea increased', 'ill-defined disorder', 'oral disorder', 'vomiting', 'focal segmental glomerulosclerosis', 'obesity', 'lethargy', 'body temperature increased', 'pneumonia', 'nephrotic syndrome', 'bone pain', 'cardiac disorder', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'convulsion', 'dyspepsia', 'angioedema', 'loss of consciousness', 'eye disorder', 'atrial fibrillation', 'urethral disorder', 'dyspnoea', 'nephropathy toxic', 'dizziness', 'inflammation', 'tubulointerstitial nephritis', 'nervousness', 'acute lymphocytic leukaemia', 'hepatic function abnormal', 'haemorrhage', 'conjunctivitis', 'abdominal pain', 'generalized aching', 'osteoarthritis', 'cardiac failure', 'lymphopenia', 'phlebitis', 'insomnia', 'soft tissue inflammation', 'malnutrition', 'gangrenous cholecystitis', 'herpes simplex', 'tachycardia', 'influenza', 'neutropenia', 'confusional state', 'pleural effusion', 'blood and lymphatic system disorders', 'nervous system disorder', 'cardiac failure congestive', 'sinusitis', 'leukopenia', 'trauma', 'interstitial lung disease', 'tension', 'local reaction', 'feeling abnormal', 'osteomyelitis', 'arthropathy', 'rash', 'connective tissue disorder', 'breast cancer', 'infection', 'swelling', 'rigors', 'injury', 'renal failure acute', 'agranulocytosis', 'thrombocytopenia', 'erythema', 'urinary tract infection', 'uveitis', 'stomatitis', 'malaise', 'urinary tract disorder', 'fluid overload', 'hypophosphataemia', 'pulmonary oedema', 'hallucination, visual', 'drug maladministration', 'back pain', 'coagulopathy', 'nasopharyngitis', 'hypothyroidism', 'iritis', 'hypercalcaemia', 'hyperkalaemia', 'infestation nos', 'infusion site reaction', 'blood creatinine abnormal', 'infestation', 'musculoskeletal pain', 'epilepsy']",186.0,,,,
