query,query_type,drug,severity_filter,organ_filter,ground_truth,num_results
List mild adverse events of gemfibrozil affecting the dermatological system,combination,gemfibrozil,mild,dermatological,"['pruritus', 'rash']",2
List moderate adverse events of trimethoprim affecting the gastrointestinal system,combination,trimethoprim,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'pseudomembranous colitis', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain', 'epigastric distress']",8
List moderate adverse events of trimethoprim affecting the immunological system,combination,trimethoprim,moderate,immunological,"['hypersensitivity', 'allergic cutaneous angiitis', 'leukocytoclastic vasculitis']",3
Show psychiatric toxicities of trimethoprim with moderate severity,combination,trimethoprim,moderate,psychiatric,"['bone marrow depression', 'agitation', 'hallucination', 'anxiety', 'depression', 'confusional state']",6
List mild adverse events of trimethoprim affecting the gastrointestinal system,combination,trimethoprim,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of trimethoprim affecting the psychiatric system,combination,trimethoprim,mild,psychiatric,['insomnia'],1
List moderate adverse events of nortriptyline affecting the gastrointestinal system,combination,nortriptyline,moderate,gastrointestinal,"['vomiting', 'abdominal cramps', 'dyspepsia', 'abdominal pain', 'epigastric distress']",5
What moderate dermatological side effects does nortriptyline cause?,combination,nortriptyline,moderate,dermatological,"['dermatitis', 'yellow skin', 'urticaria', 'dermatitis atopic', 'alopecia']",5
What moderate psychiatric side effects does nortriptyline cause?,combination,nortriptyline,moderate,psychiatric,"['delirium', 'bone marrow depression', 'agitation', 'suicidal ideation', 'hallucination', 'anxiety', 'mania', 'hypomania', 'confusional state']",9
What mild gastrointestinal side effects does nortriptyline cause?,combination,nortriptyline,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of nortriptyline affecting the dermatological system,combination,nortriptyline,mild,dermatological,"['pruritus', 'rash']",2
What mild psychiatric side effects does nortriptyline cause?,combination,nortriptyline,mild,psychiatric,['insomnia'],1
Show dermatological toxicities of clomiphene with moderate severity,combination,clomiphene,moderate,dermatological,"['dermatitis', 'urticaria', 'alopecia', 'dermatitis atopic']",4
Show psychiatric toxicities of clomiphene with moderate severity,combination,clomiphene,moderate,psychiatric,['anxiety'],1
List moderate adverse events of clomiphene affecting the cardiovascular system,combination,clomiphene,moderate,cardiovascular,"['arrhythmia', 'embolism', 'pulmonary embolism', 'hypertension', 'heart malformation', 'palpitations', 'thrombosis', 'heart disease congenital']",8
Show dermatological toxicities of clomiphene with mild severity,combination,clomiphene,mild,dermatological,"['pruritus', 'rash']",2
List mild adverse events of clomiphene affecting the psychiatric system,combination,clomiphene,mild,psychiatric,['insomnia'],1
What moderate gastrointestinal side effects does ketoconazole cause?,combination,ketoconazole,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
Show dermatological toxicities of ketoconazole with moderate severity,combination,ketoconazole,moderate,dermatological,"['skin irritation', 'dermatitis', 'dermatitis exfoliative', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin burning sensation', 'skin disorder', 'seborrhoeic dermatitis', 'photosensitivity', 'dry skin', 'photosensitivity reaction', 'dermatitis contact', 'alopecia']",13
List moderate adverse events of ketoconazole affecting the immunological system,combination,ketoconazole,moderate,immunological,"['hypersensitivity', 'allergic conditions']",2
Show gastrointestinal toxicities of ketoconazole with mild severity,combination,ketoconazole,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of ketoconazole with mild severity,combination,ketoconazole,mild,dermatological,"['rash pustular', 'pruritus', 'rash']",3
Show cardiovascular toxicities of verapamil with severe severity,combination,verapamil,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
What moderate dermatological side effects does verapamil cause?,combination,verapamil,moderate,dermatological,"['dermatitis', 'urticaria', 'alopecia']",3
Show immunological toxicities of verapamil with moderate severity,combination,verapamil,moderate,immunological,"['hypersensitivity', 'vasculitis']",2
Show cardiovascular toxicities of verapamil with moderate severity,combination,verapamil,moderate,cardiovascular,"['hypotension', 'hypotension symptomatic', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'hypotension asymptomatic', 'palpitations', 'cardiac flutter', 'cardiac failure']",9
What mild dermatological side effects does verapamil cause?,combination,verapamil,mild,dermatological,"['pruritus', 'rash maculo-papular', 'rash']",3
Show cardiovascular toxicities of phentolamine with severe severity,combination,phentolamine,severe,cardiovascular,['myocardial infarction'],1
List moderate adverse events of phentolamine affecting the gastrointestinal system,combination,phentolamine,moderate,gastrointestinal,"['vomiting', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",5
Show cardiovascular toxicities of phentolamine with moderate severity,combination,phentolamine,moderate,cardiovascular,"['cardiac disorder', 'hypotension', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'arrhythmia']",6
Show gastrointestinal toxicities of phentolamine with mild severity,combination,phentolamine,mild,gastrointestinal,['nausea'],1
What mild neurological side effects does phentolamine cause?,combination,phentolamine,mild,neurological,"['dizziness', 'headache']",2
Show gastrointestinal toxicities of methsuximide with moderate severity,combination,methsuximide,moderate,gastrointestinal,"['vomiting', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",5
Show neurological toxicities of methsuximide with moderate severity,combination,methsuximide,moderate,neurological,['ataxia'],1
What moderate psychiatric side effects does methsuximide cause?,combination,methsuximide,moderate,psychiatric,"['confusional state', 'suicidal behaviour', 'hallucination, auditory']",3
Show gastrointestinal toxicities of methsuximide with mild severity,combination,methsuximide,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild neurological side effects does methsuximide cause?,combination,methsuximide,mild,neurological,"['dizziness', 'headache']",2
What mild psychiatric side effects does methsuximide cause?,combination,methsuximide,mild,psychiatric,['insomnia'],1
Show gastrointestinal toxicities of nafcillin with moderate severity,combination,nafcillin,moderate,gastrointestinal,"['vomiting', 'abdominal discomfort', 'pseudomembranous colitis', 'gastrointestinal tract irritation', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain']",8
List moderate adverse events of nafcillin affecting the immunological system,combination,nafcillin,moderate,immunological,['hypersensitivity'],1
List moderate adverse events of nafcillin affecting the musculoskeletal system,combination,nafcillin,moderate,musculoskeletal,"['myalgia', 'arthralgia']",2
Show gastrointestinal toxicities of nafcillin with mild severity,combination,nafcillin,mild,gastrointestinal,['nausea'],1
Show gastrointestinal toxicities of lithium with moderate severity,combination,lithium,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'gastrointestinal discomfort', 'gastritis', 'gastrointestinal symptom nos', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",9
What moderate dermatological side effects does lithium cause?,combination,lithium,moderate,dermatological,"['dermatitis', 'skin ulcer', 'pustular psoriasis', 'skin xerosis', 'psoriasis flare-up', 'skin disorder', 'alopecia', 'dry skin', 'psoriasis']",9
List moderate adverse events of lithium affecting the cardiovascular system,combination,lithium,moderate,cardiovascular,"['arrhythmia', 'benign intracranial hypertension', 'hypotension', 'sinus arrhythmia']",4
What mild gastrointestinal side effects does lithium cause?,combination,lithium,mild,gastrointestinal,['nausea'],1
Show dermatological toxicities of lithium with mild severity,combination,lithium,mild,dermatological,"['pruritus', 'pruritus generalised', 'rash']",3
List severe adverse events of amitriptyline affecting the cardiovascular system,combination,amitriptyline,severe,cardiovascular,['myocardial infarction'],1
What moderate dermatological side effects does amitriptyline cause?,combination,amitriptyline,moderate,dermatological,"['dermatitis', 'tardive dyskinesia', 'urticaria', 'dyskinesia', 'alopecia']",5
What moderate psychiatric side effects does amitriptyline cause?,combination,amitriptyline,moderate,psychiatric,"['bone marrow depression', 'agitation', 'hallucination', 'anxiety', 'mania', 'hypomania', 'confusional state']",7
What moderate cardiovascular side effects does amitriptyline cause?,combination,amitriptyline,moderate,cardiovascular,"['hypotension', 'hypertension', 'orthostatic hypotension', 'palpitations', 'arrhythmia', 'block heart']",6
What mild dermatological side effects does amitriptyline cause?,combination,amitriptyline,mild,dermatological,"['pruritus', 'rash']",2
List mild adverse events of amitriptyline affecting the psychiatric system,combination,amitriptyline,mild,psychiatric,['insomnia'],1
List moderate adverse events of lanthanum affecting the gastrointestinal system,combination,lanthanum,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain', 'gastrointestinal pain']",4
List moderate adverse events of lanthanum affecting the cardiovascular system,combination,lanthanum,moderate,cardiovascular,['hypotension'],1
List mild adverse events of lanthanum affecting the gastrointestinal system,combination,lanthanum,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of lanthanum affecting the neurological system,combination,lanthanum,mild,neurological,['headache'],1
List moderate adverse events of fosamprenavir affecting the gastrointestinal system,combination,fosamprenavir,moderate,gastrointestinal,"['vomiting', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain']",6
Show immunological toxicities of fosamprenavir with moderate severity,combination,fosamprenavir,moderate,immunological,"['hypersensitivity', 'autoimmune disorder', 'drug hypersensitivity']",3
What moderate endocrine side effects does fosamprenavir cause?,combination,fosamprenavir,moderate,endocrine,"['insulin resistance', 'diabetes mellitus']",2
List mild adverse events of fosamprenavir affecting the gastrointestinal system,combination,fosamprenavir,mild,gastrointestinal,['nausea'],1
What moderate gastrointestinal side effects does sodium cause?,combination,sodium,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal bloating', 'abdominal cramps', 'intestinal obstruction', 'gastric irritation', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'fullness abdominal', 'intestinal perforation', 'epigastric discomfort']",14
What moderate immunological side effects does sodium cause?,combination,sodium,moderate,immunological,"['hypersensitivity', 'type i hypersensitivity', 'lupus erythematosus', 'systemic lupus erythematosus', 'vasculitis']",5
List moderate adverse events of sodium affecting the psychiatric system,combination,sodium,moderate,psychiatric,"['confusional state', 'hallucination', 'anxiety', 'agitation']",4
What mild gastrointestinal side effects does sodium cause?,combination,sodium,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of sodium affecting the psychiatric system,combination,sodium,mild,psychiatric,['insomnia'],1
List moderate adverse events of labetalol affecting the gastrointestinal system,combination,labetalol,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain upper', 'epigastric pain', 'gastrointestinal pain', 'colitis ischaemic', 'abdominal pain']",7
Show cardiovascular toxicities of labetalol with moderate severity,combination,labetalol,moderate,cardiovascular,"['hypotension orthostatic symptomatic', 'hypotension', 'mesenteric artery thrombosis', 'ventricular arrhythmia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'palpitations', 'cardiac failure', 'block heart']",10
Show respiratory toxicities of labetalol with moderate severity,combination,labetalol,moderate,respiratory,"['bronchospasm', 'respiratory distress']",2
List mild adverse events of labetalol affecting the gastrointestinal system,combination,labetalol,mild,gastrointestinal,"['nausea', 'constipation']",2
Show ocular toxicities of fluorometholone with moderate severity,combination,fluorometholone,moderate,ocular,"['cataract', 'cataract subcapsular', 'vision blurred', 'posterior subcapsular cataract', 'conjunctivitis']",5
List moderate adverse events of fluorometholone affecting the dermatological system,combination,fluorometholone,moderate,dermatological,['dermatitis'],1
What moderate immunological side effects does fluorometholone cause?,combination,fluorometholone,moderate,immunological,['hypersensitivity'],1
Show dermatological toxicities of fluorometholone with mild severity,combination,fluorometholone,mild,dermatological,"['eye pruritus', 'rash']",2
List moderate adverse events of oxiconazole affecting the dermatological system,combination,oxiconazole,moderate,dermatological,"['dermatitis', 'dermatitis contact', 'allergic contact dermatitis', 'dyshidrotic eczema']",4
List mild adverse events of oxiconazole affecting the dermatological system,combination,oxiconazole,mild,dermatological,"['pruritus', 'rash']",2
List moderate adverse events of atovaquone affecting the gastrointestinal system,combination,atovaquone,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",5
What moderate psychiatric side effects does atovaquone cause?,combination,atovaquone,moderate,psychiatric,['anxiety'],1
List moderate adverse events of atovaquone affecting the respiratory system,combination,atovaquone,moderate,respiratory,"['bronchospasm', 'cough', 'cough increased']",3
What mild gastrointestinal side effects does atovaquone cause?,combination,atovaquone,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild psychiatric side effects does atovaquone cause?,combination,atovaquone,mild,psychiatric,['insomnia'],1
What moderate immunological side effects does d-telaprevir cause?,combination,d-telaprevir,moderate,immunological,['autoimmune disorder'],1
Show dermatological toxicities of d-telaprevir with moderate severity,combination,d-telaprevir,moderate,dermatological,"['dermatitis', 'eczema', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder']",5
List moderate adverse events of d-telaprevir affecting the gastrointestinal system,combination,d-telaprevir,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder']",2
What mild dermatological side effects does d-telaprevir cause?,combination,d-telaprevir,mild,dermatological,"['pruritus', 'pruritus genital', 'exfoliative rash', 'rash', 'anal pruritus']",5
What mild gastrointestinal side effects does d-telaprevir cause?,combination,d-telaprevir,mild,gastrointestinal,['nausea'],1
Show cardiovascular toxicities of acetylcholine with moderate severity,combination,acetylcholine,moderate,cardiovascular,['hypotension'],1
Show gastrointestinal toxicities of moxonidine with moderate severity,combination,moxonidine,moderate,gastrointestinal,"['abdominal pain', 'gastrointestinal pain']",2
Show psychiatric toxicities of moxonidine with moderate severity,combination,moxonidine,moderate,psychiatric,['anxiety'],1
What moderate neurological side effects does moxonidine cause?,combination,moxonidine,moderate,neurological,['vertigo'],1
List mild adverse events of moxonidine affecting the gastrointestinal system,combination,moxonidine,mild,gastrointestinal,['nausea'],1
What mild psychiatric side effects does moxonidine cause?,combination,moxonidine,mild,psychiatric,['insomnia'],1
List mild adverse events of moxonidine affecting the neurological system,combination,moxonidine,mild,neurological,"['dizziness', 'headache']",2
Show gastrointestinal toxicities of nitric with moderate severity,combination,nitric,moderate,gastrointestinal,['gastrointestinal haemorrhage'],1
List moderate adverse events of nitric affecting the cardiovascular system,combination,nitric,moderate,cardiovascular,"['cardiac disorder', 'hypotension']",2
Show neurological toxicities of nitric with mild severity,combination,nitric,mild,neurological,"['dizziness', 'headache']",2
Show gastrointestinal toxicities of anagrelide with moderate severity,combination,anagrelide,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'colitis', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal haemorrhage', 'distress gastrointestinal']",10
List moderate adverse events of anagrelide affecting the dermatological system,combination,anagrelide,moderate,dermatological,"['dermatitis', 'urticaria', 'skin ulcer', 'skin discolouration', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'alopecia', 'photosensitivity', 'dry skin', 'photosensitivity reaction']",10
List moderate adverse events of anagrelide affecting the immunological system,combination,anagrelide,moderate,immunological,['alveolitis allergic'],1
Show gastrointestinal toxicities of anagrelide with mild severity,combination,anagrelide,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of anagrelide with mild severity,combination,anagrelide,mild,dermatological,"['pruritus', 'rash']",2
What severe cardiovascular side effects does everolimus cause?,combination,everolimus,severe,cardiovascular,"['cardiac arrest', 'myocardial infarction']",2
List moderate adverse events of everolimus affecting the gastrointestinal system,combination,everolimus,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'localised intraabdominal fluid collection', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain', 'epigastric discomfort']",10
What moderate dermatological side effects does everolimus cause?,combination,everolimus,moderate,dermatological,"['dermatitis', 'dermatitis exfoliative', 'skin lesion', 'skin papilloma', 'neoplasm skin', 'unspecified disorder of skin and subcutaneous tissue', 'skin exfoliation', 'dermatitis acneiform', 'skin disorder', 'alopecia', 'dry skin']",11
List moderate adverse events of everolimus affecting the cardiovascular system,combination,everolimus,moderate,cardiovascular,"['cardiac disorder', 'hypotension', 'hepatic artery thrombosis', 'embolism', 'non-cardiac chest pain', 'pulmonary embolism', 'renal artery thrombosis', 'embolism venous', 'hypertension', 'angina pectoris', 'renal vein thrombosis', 'palpitations', 'cardiac failure congestive', 'cardiac failure', 'venous thromboembolism', 'thrombosis', 'graft thrombosis', 'deep vein thrombosis']",18
Show gastrointestinal toxicities of everolimus with mild severity,combination,everolimus,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does everolimus cause?,combination,everolimus,mild,dermatological,"['pruritus', 'rash erythematous', 'rash macular', 'rash', 'rash maculo-papular', 'rash generalised', 'pruritus generalised']",7
What moderate dermatological side effects does clobetasol cause?,combination,clobetasol,moderate,dermatological,"['dermatitis perioral', 'skin hypertrophy', 'dry skin', 'dermatitis', 'urticaria', 'allergic contact dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'dermatitis infected', 'chapped skin', 'dermatitis acneiform', 'dermatitis irritant contact', 'skin atrophy', 'skin irritation', 'skin hyperpigmentation', 'skin exfoliation', 'skin disorder', 'skin discomfort', 'skin fissures', 'skin striae', 'psoriasis flare-up', 'pain of skin', 'dermatitis contact', 'alopecia', 'skin tightness', 'psoriasis']",25
Show immunological toxicities of clobetasol with moderate severity,combination,clobetasol,moderate,immunological,['hypersensitivity'],1
What mild dermatological side effects does clobetasol cause?,combination,clobetasol,mild,dermatological,"['rash pustular', 'pruritus', 'application site pruritus', 'rash']",4
List mild adverse events of clobetasol affecting the neurological system,combination,clobetasol,mild,neurological,"['dizziness', 'headache']",2
What moderate gastrointestinal side effects does alendronate cause?,combination,alendronate,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'gastrointestinal tract irritation', 'gastritis', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain', 'gastric ulcer']",9
What moderate dermatological side effects does alendronate cause?,combination,alendronate,moderate,dermatological,"['dermatitis', 'urticaria', 'alopecia', 'photosensitivity', 'dry skin', 'photosensitivity reaction']",6
What moderate neurological side effects does alendronate cause?,combination,alendronate,moderate,neurological,['vertigo'],1
Show gastrointestinal toxicities of alendronate with mild severity,combination,alendronate,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of alendronate with mild severity,combination,alendronate,mild,dermatological,"['pruritus', 'rash']",2
What mild neurological side effects does alendronate cause?,combination,alendronate,mild,neurological,"['dizziness', 'headache']",2
What moderate gastrointestinal side effects does troglitazone cause?,combination,troglitazone,moderate,gastrointestinal,"['vomiting', 'abdominal pain', 'gastrointestinal pain']",3
List moderate adverse events of troglitazone affecting the cardiovascular system,combination,troglitazone,moderate,cardiovascular,['cardiac failure congestive'],1
What moderate hepatobiliary side effects does troglitazone cause?,combination,troglitazone,moderate,hepatobiliary,"['hepatitis', 'hepatic function abnormal', 'jaundice', 'liver function test abnormal']",4
List mild adverse events of troglitazone affecting the gastrointestinal system,combination,troglitazone,mild,gastrointestinal,['nausea'],1
Show musculoskeletal toxicities of trabectedin with severe severity,combination,trabectedin,severe,musculoskeletal,['rhabdomyolysis'],1
What moderate gastrointestinal side effects does trabectedin cause?,combination,trabectedin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal pain upper', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
List moderate adverse events of trabectedin affecting the dermatological system,combination,trabectedin,moderate,dermatological,"['dermatitis', 'skin hyperpigmentation', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'alopecia']",5
Show musculoskeletal toxicities of trabectedin with moderate severity,combination,trabectedin,moderate,musculoskeletal,"['myalgia', 'arthralgia']",2
Show gastrointestinal toxicities of trabectedin with mild severity,combination,trabectedin,mild,gastrointestinal,"['nausea', 'constipation']",2
What mild dermatological side effects does trabectedin cause?,combination,trabectedin,mild,dermatological,['rash'],1
Show gastrointestinal toxicities of melatonin with moderate severity,combination,melatonin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'gastrointestinal sounds abnormal', 'gastrointestinal tract irritation', 'abdominal pain upper', 'gastritis', 'gastrointestinal pain', 'gastrointestinal disorder', 'gastric disorder', 'abdominal pain']",11
Show cardiovascular toxicities of melatonin with moderate severity,combination,melatonin,moderate,cardiovascular,"['angina pectoris', 'cardiac disorder', 'hypertension', 'palpitations']",4
What moderate psychiatric side effects does melatonin cause?,combination,melatonin,moderate,psychiatric,"['anxiety', 'agitation']",2
Show gastrointestinal toxicities of melatonin with mild severity,combination,melatonin,mild,gastrointestinal,['nausea'],1
List mild adverse events of melatonin affecting the psychiatric system,combination,melatonin,mild,psychiatric,"['terminal insomnia', 'insomnia']",2
Show immunological toxicities of rocuronium with moderate severity,combination,rocuronium,moderate,immunological,['hypersensitivity'],1
What moderate cardiovascular side effects does rocuronium cause?,combination,rocuronium,moderate,cardiovascular,"['hypertension', 'hypotension', 'arrhythmia', 'cardiovascular disorder']",4
Show respiratory toxicities of rocuronium with moderate severity,combination,rocuronium,moderate,respiratory,"['bronchospasm', 'asthma', 'vascular resistance pulmonary increased', 'respiratory insufficiency']",4
List severe adverse events of acetazolamide affecting the neurological system,combination,acetazolamide,severe,neurological,['paralysis flaccid'],1
List moderate adverse events of acetazolamide affecting the neurological system,combination,acetazolamide,moderate,neurological,['ataxia'],1
Show psychiatric toxicities of acetazolamide with moderate severity,combination,acetazolamide,moderate,psychiatric,"['confusional state', 'agitation']",2
What mild neurological side effects does acetazolamide cause?,combination,acetazolamide,mild,neurological,"['dizziness', 'headache']",2
Show cardiovascular toxicities of madopar with moderate severity,combination,madopar,moderate,cardiovascular,"['cardiovascular disorder', 'angina pectoris', 'orthostatic hypotension', 'palpitations', 'arrhythmia']",5
What moderate psychiatric side effects does madopar cause?,combination,madopar,moderate,psychiatric,"['agitation', 'hallucination', 'anxiety', 'mania', 'confusional state']",5
Show gastrointestinal toxicities of madopar with moderate severity,combination,madopar,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder']",2
Show psychiatric toxicities of madopar with mild severity,combination,madopar,mild,psychiatric,['insomnia'],1
Show gastrointestinal toxicities of madopar with mild severity,combination,madopar,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of 5-aminolevulinic with moderate severity,combination,5-aminolevulinic,moderate,dermatological,"['dermatitis', 'urticaria', 'skin cancer', 'skin carcinoma', 'skin hyperpigmentation', 'unspecified disorder of skin and subcutaneous tissue', 'skin exfoliation', 'skin hypertrophy', 'skin disorder', 'seborrhoeic dermatitis', 'photosensitivity reaction', 'dry skin', 'photosensitivity', 'skin tightness', 'photodamaged skin']",15
What moderate gastrointestinal side effects does 5-aminolevulinic cause?,combination,5-aminolevulinic,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder']",2
Show dermatological toxicities of 5-aminolevulinic with mild severity,combination,5-aminolevulinic,mild,dermatological,"['rash pustular', 'pruritus', 'rash maculo-papular', 'rash']",4
What mild gastrointestinal side effects does 5-aminolevulinic cause?,combination,5-aminolevulinic,mild,gastrointestinal,['nausea'],1
Show neurological toxicities of 5-aminolevulinic with mild severity,combination,5-aminolevulinic,mild,neurological,['headache'],1
List severe adverse events of ondansetron affecting the cardiovascular system,combination,ondansetron,severe,cardiovascular,['myocardial infarction'],1
What moderate gastrointestinal side effects does ondansetron cause?,combination,ondansetron,moderate,gastrointestinal,"['vomiting', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal pain']",4
Show immunological toxicities of ondansetron with moderate severity,combination,ondansetron,moderate,immunological,"['hypersensitivity', 'type i hypersensitivity']",2
Show cardiovascular toxicities of ondansetron with moderate severity,combination,ondansetron,moderate,cardiovascular,"['cardiac disorder', 'hypotension', 'myocardial ischaemia', 'cardiovascular disorder', 'angina pectoris', 'palpitations', 'arrhythmia']",7
Show gastrointestinal toxicities of ondansetron with mild severity,combination,ondansetron,mild,gastrointestinal,"['nausea postoperative', 'procedural nausea', 'constipation']",3
Show gastrointestinal toxicities of sacrosidase with moderate severity,combination,sacrosidase,moderate,gastrointestinal,"['vomiting', 'abdominal pain', 'gastrointestinal pain']",3
Show respiratory toxicities of sacrosidase with moderate severity,combination,sacrosidase,moderate,respiratory,['asthma'],1
List mild adverse events of sacrosidase affecting the gastrointestinal system,combination,sacrosidase,mild,gastrointestinal,"['nausea', 'constipation']",2
List mild adverse events of sacrosidase affecting the neurological system,combination,sacrosidase,mild,neurological,['headache'],1
List moderate adverse events of clofarabine affecting the gastrointestinal system,combination,clofarabine,moderate,gastrointestinal,"['vomiting', 'colitis', 'clostridium difficile colitis', 'enterocolitis', 'abdominal pain upper', 'gastrointestinal pain', 'clostridium colitis', 'gastrointestinal disorder', 'abdominal pain', 'gastrointestinal haemorrhage']",10
List moderate adverse events of clofarabine affecting the dermatological system,combination,clofarabine,moderate,dermatological,"['dermatitis', 'skin hyperpigmentation', 'unspecified disorder of skin and subcutaneous tissue', 'skin exfoliation', 'skin disorder', 'alopecia', 'dry skin']",7
List moderate adverse events of clofarabine affecting the psychiatric system,combination,clofarabine,moderate,psychiatric,"['anxiety', 'agitation']",2
What mild gastrointestinal side effects does clofarabine cause?,combination,clofarabine,mild,gastrointestinal,['nausea'],1
What mild dermatological side effects does clofarabine cause?,combination,clofarabine,mild,dermatological,"['pruritus', 'rash erythematous', 'rash', 'rash maculo-papular', 'rash generalised']",5
Show gastrointestinal toxicities of clopidogrel with moderate severity,combination,clopidogrel,moderate,gastrointestinal,"['vomiting', 'intestinal ulcer', 'gastrointestinal ulcer haemorrhage', 'abdominal pain upper', 'lymphocytic colitis', 'gastritis haemorrhagic', 'gastrointestinal haemorrhage', 'gastric ulcer', 'colitis', 'gastritis', 'gastric ulcer perforation', 'epigastric distress', 'intestinal perforation', 'dyspepsia', 'upper gastrointestinal symptoms', 'gastrointestinal disorder', 'abdominal distension', 'gastrointestinal pain', 'colitis microscopic', 'abdominal pain']",20
What moderate immunological side effects does clopidogrel cause?,combination,clopidogrel,moderate,immunological,"['hypersensitivity', 'cross reactive drug hypersensitivity', 'drug-induced hypersensitivity syndrome', 'vasculitis', 'drug hypersensitivity']",5
Show cardiovascular toxicities of clopidogrel with moderate severity,combination,clopidogrel,moderate,cardiovascular,"['hypotension', 'cardiovascular disorder', 'decompensation cardiac', 'pulmonary embolism', 'arterial thrombosis', 'angina pectoris', 'hypertension', 'atherothrombosis', 'palpitations', 'cardiac failure']",10
What mild gastrointestinal side effects does clopidogrel cause?,combination,clopidogrel,mild,gastrointestinal,"['nausea', 'constipation']",2
Show neurological toxicities of ascorbate with mild severity,combination,ascorbate,mild,neurological,['dizziness'],1
Show gastrointestinal toxicities of etidronate with moderate severity,combination,etidronate,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastritis', 'gastrointestinal pain', 'abdominal pain']",5
What moderate dermatological side effects does etidronate cause?,combination,etidronate,moderate,dermatological,"['dermatitis', 'urticaria', 'alopecia']",3
Show musculoskeletal toxicities of etidronate with moderate severity,combination,etidronate,moderate,musculoskeletal,"['fracture', 'osteoporosis', 'bone pain', 'multiple fractures', 'muscle spasms', 'arthralgia']",6
What mild gastrointestinal side effects does etidronate cause?,combination,etidronate,mild,gastrointestinal,"['nausea', 'constipation']",2
Show dermatological toxicities of etidronate with mild severity,combination,etidronate,mild,dermatological,"['pruritus', 'rash follicular', 'rash macular', 'rash', 'rash maculo-papular']",5
List moderate adverse events of tamsulosin affecting the gastrointestinal system,combination,tamsulosin,moderate,gastrointestinal,"['vomiting', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain']",6
