query,query_type,drug,severity_filter,ground_truth,num_results
What mild moderate side effects does fondaparinux cause?,severity_filtered,fondaparinux,mild_moderate,['ventricular tachycardia'],1
Find all mild toxicities of fondaparinux,severity_filtered,fondaparinux,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'insomnia']",8
Show life threatening reactions to toremifene,severity_filtered,toremifene,life_threatening,['glaucoma'],1
List severe adverse events of toremifene,severity_filtered,toremifene,severe,['myocardial infarction'],1
Find all moderate toxicities of toremifene,severity_filtered,toremifene,moderate,"['menopausal symptoms', 'oestrogenic effect', 'keratopathy', 'breast disorder', 'diplopia', 'dry eye', 'cardiac failure', 'cyst', 'dermatitis', 'embolism', 'pulmonary embolism', 'weight increased', 'anorexia', 'paresis', 'jaundice', 'chills', 'ataxia', 'dyspnoea', 'sweating', 'acute coronary syndrome', 'gastrointestinal disorder', 'hepatitis toxic', 'uterine haemorrhage', 'vaginal haemorrhage', 'ear and labyrinth disorders', 'hepatocellular injury', 'disorder sight', 'metabolic disorder', 'liver function test abnormal', 'vision blurred', 'leukorrhea', 'mental disorder', 'endometrial cancer', 'rigors', 'affect lability', 'cataract', 'vertigo', 'abnormal vision', 'coordination abnormal', 'hepatobiliary disease', 'lethargy', 'thrombosis', 'liver disorder', 'musculoskeletal stiffness', 'thrombocytopenia', 'asthenia', 'skin discolouration', 'malnutrition', 'skin disorder', 'mood swings', 'angiopathy', 'leukopenia', 'angina pectoris', 'pain', 'foetor hepaticus', 'arrhythmia', 'visual impairment', 'thrombophlebitis', 'thromboembolic event', 'unspecified disorder of skin and subcutaneous tissue', 'tremor', 'polyp', 'eye disorder', 'corneal opacity', 'arthritis', 'neuropathy peripheral', 'decreased appetite', 'stiffness', 'chest pain', 'vaginal discharge', 'alopecia', 'nervous system disorder', 'deep vein thrombosis', 'vomiting', 'endometrial hyperplasia', 'mediastinal disorder', 'hyperhidrosis', 'oedema', 'uterine polyp', 'hot flush', 'hypercalcaemia', 'endometrial hypertrophy', 'back pain', 'appetite absent']",84
Find all mild toxicities of toremifene,severity_filtered,toremifene,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'insomnia']",8
Find all life threatening toxicities of vecuronium,severity_filtered,vecuronium,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'respiratory failure']",3
Find all severe toxicities of vecuronium,severity_filtered,vecuronium,severe,"['paralysis flaccid', 'paralysis', 'skeletal muscle paralysis']",3
Find all moderate toxicities of vecuronium,severity_filtered,vecuronium,moderate,"['hypersensitivity', 'hypotension', 'face oedema', 'shock', 'respiratory insufficiency', 'mediastinal disorder', 'acute urticaria', 'immune system disorder', 'muscle atrophy', 'dermatitis', 'cardiac disorder', 'injection site reaction', 'urticaria', 'injection site pain', 'erythema', 'unspecified disorder of skin and subcutaneous tissue', 'pulmonary function test decreased', 'respiratory depression', 'drug ineffective', 'angioedema', 'steroid myopathy', 'redness', 'airway complication of anaesthesia', 'therapeutic response increased', 'skin disorder', 'myopathy', 'angiopathy', 'connective tissue disorder', 'bronchospasm', 'muscular weakness', 'delayed recovery from anaesthesia', 'flushing', 'apnoea', 'neuromuscular block prolonged', 'nervous system disorder']",35
What mild moderate side effects does vecuronium cause?,severity_filtered,vecuronium,mild_moderate,['tachycardia'],1
What mild side effects does vecuronium cause?,severity_filtered,vecuronium,mild,"['rash', 'rash erythematous']",2
Find all life threatening toxicities of bezafibrate,severity_filtered,bezafibrate,life_threatening,"['toxic epidermal necrolysis', 'stevens-johnson syndrome']",2
Show severe reactions to bezafibrate,severity_filtered,bezafibrate,severe,"['rhabdomyolysis', 'myocardial infarction']",2
Find all moderate toxicities of bezafibrate,severity_filtered,bezafibrate,moderate,"['hypersensitivity', 'urethral disorder', 'erectile dysfunction', 'alanine aminotransferase increased', 'cramp muscle', 'infection', 'renal failure acute', 'erythema multiforme', 'photosensitivity reaction', 'muscle spasms', 'phosphatase alkaline increased', 'dermatitis', 'eczema', 'urticaria', 'creatine phosphokinase increased', 'influenza', 'erythema', 'myositis', 'thrombocytopenia', 'musculoskeletal discomfort', 'gastritis', 'anaemia', 'pharyngitis', 'cholestasis', 'epigastric distress', 'dyspepsia', 'flatulence', 'migraine', 'purpura', 'acute coronary syndrome', 'photosensitivity', 'cholelithiasis', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'muscular weakness', 'urinary tract disorder', 'blood alkaline phosphatase increased', 'transaminases increased', 'liver function test abnormal', 'tenosynovitis', 'bronchitis', 'gastrointestinal pain', 'vascular purpura', 'pain', 'serum creatinine increased', 'blood creatinine increased', 'alopecia', 'myalgia', 'diarrhoea', 'abdominal pain', 'pancytopenia']",51
List mild adverse events of bezafibrate,severity_filtered,bezafibrate,mild,"['dizziness', 'pruritus', 'headache', 'constipation', 'rash', 'nausea', 'insomnia']",7
Find all life threatening toxicities of amifostine,severity_filtered,amifostine,life_threatening,"['anaphylactic shock', 'toxic epidermal necrolysis', 'anaphylactoid reaction', 'stevens-johnson syndrome']",4
Find all severe toxicities of amifostine,severity_filtered,amifostine,severe,"['cardiac arrest', 'myocardial infarction']",2
What moderate side effects does amifostine cause?,severity_filtered,amifostine,moderate,"['hiccups', 'hypersensitivity', 'vomiting', 'hypotension', 'sensation of warmth', 'blood calcium decreased', 'myocardial ischaemia', 'shock', 'chest tightness', 'coldness', 'erythema multiforme', 'body temperature increased', 'hypoparathyroidism', 'dermatitis', 'sneezing', 'urticaria', 'loss of consciousness', 'hypocalcaemia', 'somnolence', 'cardiac flutter', 'chills', 'feeling hot', 'dyspnoea', 'laryngeal oedema', 'feeling abnormal', 'discomfort', 'hypertension', 'acute coronary syndrome', 'syncope', 'extrasystoles', 'serum calcium decreased', 'blood pressure diastolic decreased', 'dermatitis exfoliative', 'respiratory arrest', 'chest pain', 'ill-defined disorder', 'feeling cold', 'flushing', 'malaise', 'apnoea', 'convulsion', 'chest discomfort', 'atrial fibrillation', 'toxic skin eruption', 'renal failure', 'arrhythmia', 'rigors']",47
Show mild moderate reactions to amifostine,severity_filtered,amifostine,mild_moderate,"['bradycardia', 'supraventricular tachycardia', 'tachycardia']",3
Find all mild toxicities of amifostine,severity_filtered,amifostine,mild,"['dizziness', 'nausea', 'rash', 'pruritus']",4
What life threatening side effects does polyoxyethylene cause?,severity_filtered,polyoxyethylene,life_threatening,['anaphylactic shock'],1
What severe side effects does polyoxyethylene cause?,severity_filtered,polyoxyethylene,severe,['cardiac arrest'],1
What moderate side effects does polyoxyethylene cause?,severity_filtered,polyoxyethylene,moderate,"['hypersensitivity', 'abdominal cramps', 'vomiting', 'face oedema', 'rhinorrhoea', 'cramp muscle', 'tongue disorder', 'tongue oedema', 'frequent bowel movements', 'anal irritation', 'muscle spasms', 'dermatitis', 'nasopharyngitis', 'oesophageal perforation', 'urticaria', 'pulmonary oedema', 'angioedema', 'abdominal bloating', 'flatulence', 'dyspnoea', 'mallory-weiss syndrome', 'abdominal distension', 'anorectal discomfort', 'diarrhoea', 'upper gastrointestinal haemorrhage', 'fullness abdominal', 'abdominal pain']",27
What mild side effects does polyoxyethylene cause?,severity_filtered,polyoxyethylene,mild,['nausea'],1
List life threatening adverse events of tetracaine,severity_filtered,tetracaine,life_threatening,['anaphylactic shock'],1
Show severe reactions to tetracaine,severity_filtered,tetracaine,severe,"['paralysis', 'cardiac arrest', 'nerve paralysis']",3
Show moderate reactions to tetracaine,severity_filtered,tetracaine,moderate,"['hypersensitivity', 'vomiting', 'hypotension', 'vasodilation procedure', 'iritis', 'necrosis', 'drowsiness', 'keratitis', 'descemetitis', 'oedema', 'urticaria', 'agitation', 'loss of consciousness', 'tinnitus', 'post lumbar puncture syndrome', 'conjunctival hyperaemia', 'somnolence', 'corneal stromal edema', 'stinging', 'tremor', 'chills', 'excitement', 'arachnoiditis', 'meningism', 'vasodilation', 'nervousness', 'vision blurred', 'pain', 'tension', 'convulsion', 'corneal oedema']",31
Show mild reactions to tetracaine,severity_filtered,tetracaine,mild,"['lumbar puncture headache', 'dizziness', 'nausea']",3
Find all fatal toxicities of lenalidomide,severity_filtered,lenalidomide,fatal,['sudden death'],1
List life threatening adverse events of lenalidomide,severity_filtered,lenalidomide,life_threatening,"['respiratory failure', 'toxic epidermal necrolysis', 'gynaecomastia', 'stevens-johnson syndrome']",4
Show severe reactions to lenalidomide,severity_filtered,lenalidomide,severe,"['rhabdomyolysis', 'cardiac arrest', 'myocardial infarction']",3
List moderate severe adverse events of lenalidomide,severity_filtered,lenalidomide,moderate_severe,"['pancreatitis due to biliary obstruction', 'pancreatitis', 'hepatotoxicity']",3
Find all moderate toxicities of lenalidomide,severity_filtered,lenalidomide,moderate,"['upper respiratory tract infection', 'neutropenia', 'oedema peripheral', 'hearing impaired', 'renal failure acute', 'gastrointestinal haemorrhage', 'gait disturbance', 'presyncope', 'disease progression', 'hypocalcaemia', 'skin irritation', 'acute sinusitis', 'arterial aneurysm', 'sweating', 'influenza like illness', 'renal mass', 'post procedural haemorrhage', 'hypertension', 'peripheral sensory neuropathy', 'endocrine disorder', 'dysgeusia', 'prostate cancer metastatic', 'refractory anemia', 'ventricular dysfunction', 'toothache', 'ill-defined disorder', 'flushing', 'visual disturbance', 'haematoma', 'psychosomatic disease', 'cholecystitis acute', 'rhinorrhoea', 'regurgitation of food', 'infestation nos', 'copd exacerbation', 'sciatica', 'leukocytoclastic vasculitis', 'regurgitation', 'febrile neutropenia', 'ageusia', 'gastrooesophageal reflux disease', 'agitation', 'thrombocytopenia', 'haemolytic anaemia', 'dental discomfort', 'small intestinal obstruction', 'kidney infection', 'palpitations', 'dyspepsia', 'squamous cell carcinoma of skin', 'sinusitis', 'malnutrition', 'basal cell carcinoma', 'mood swings', 'blood and lymphatic system disorders', 'rhinitis', 'upper gastrointestinal haemorrhage', 'depressed level of consciousness', 'pain', 'fibrillation atrial aggravated', 'urinary retention', 'sepsis', 'periarthritis', 'infestation', 'dysarthria', 'acute hepatic failure', 'swelling face', 'cough', 'eczema', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'sinus congestion', 'tinnitus', 'splenic infarction', 'haemoglobin decreased', 'eye disorder', 'flatulence', 'skin lesion', 'cardio-respiratory arrest', 'arthritis', 'urosepsis', 'decreased appetite', 'oral candidiasis', 'respiratory tract infection', 'osteoporosis', 'dry throat', 'colitis ischaemic', 'tension', 'oropharyngeal pain', 'rhinitis allergic', 'joint swelling', 'myocardial ischaemia', 'alanine aminotransferase increased', 'cerebrovascular accident', 'dyspnoea exertional', 'hyperhidrosis', 'drug eruption', 'haemochromatosis', 'respiratory distress', 'anaemia', 'pulmonary hypertension', 'hypercholesterolaemia', 'pleural effusion', 'conjunctivitis', 'device related infection', 'inflammation', 'local swelling', 'tumour flare', 'cerebellar infarction', 'muscular weakness', 'alveolitis allergic', 'malaise', 'cardiac failure congestive', 'femur fracture', 'hypomagnesaemia', 'transient ischaemic attack', 'cyst', 'acute myeloid leukaemia', 'melaena', 'musculoskeletal discomfort', 'herpes virus infection', 'eye discharge', 'angioedema', 'abrasion nos', 'allergic conditions', 'dyspnoea', 'plasmacytoma', 'hyponatraemia', 'ear and labyrinth disorders', 'lymphopenia', 'liver function test abnormal', 'loose stools', 'blood creatinine increased', 'ear infection', 'bone pain', 'bronchial hyperreactivity', 'cataract', 'face oedema', 'opportunistic infection', 'muscle spasms', 'confusional state', 'autoimmune haemolytic anaemia', 'muscle relaxant therapy', 'nasopharyngitis', 'musculoskeletal stiffness', 'erythema', 'hypercoagulation', 'sleep disorder', 'lymphadenopathy', 'myelodysplastic syndrome', 'mouth ulceration', ""basedow's disease"", 'hyperthyroidism', 'pollakiuria', 'abnormal dreams', 'spinal cord compression', 'injection site bruising', 'cardiomyopathy', 'hyperglycaemia', 'rib fracture', 'ear discomfort', 'diverticulum', 'cellulitis', 'candida infection', 'angiopathy', 'staphylococcal infection', 'haemoglobin', 'haematuria', 'calculus ureteric', 'leukopenia', 'developmental delay', 'gout', 'myalgia', 'primary hypothyroidism', 'hyperuricaemia', 'aortic valve stenosis', 'thrombophlebitis', 'thromboembolic event', 'bladder pain', 'thyroid disorder', 'oral infection', 'weight decreased', 'lip haemorrhage', 'peripheral ischaemia', 'haemorrhoidal haemorrhage', 'macular degeneration', 'hordeolum', 'tremor', 'polyp', 'interstitial lung disease', 'functional gastrointestinal disorder', 'pain in extremity', 'lip dry', 'hyperbilirubinaemia', 'thrombophlebitis superficial', 'diverticulitis', 'femoral neck fracture', 'aphthous stomatitis', 'hirsutism', 'furuncle', 'lobar pneumonia', 'blindness', 'ecchymosis', 'herpes simplex', 'caecitis', 'fungal infection', 'pneumonia', 'eyelid oedema', 'deep vein thrombosis', 'hepatic failure', 'fanconi syndrome acquired', 'clostridium difficile colitis', 'urethral disorder', 'cystitis noninfective', 'upset stomach', 'photosensitivity reaction', 'dry skin', 'syncope vasovagal', 'osteoarthritis', 'decreased interest', 'decubitus ulcer', 'chondrocalcinosis', 'pharyngitis', 'aml progression', 'chronic obstructive pulmonary disease', 'acute febrile neutrophilic dermatosis', 'feeling abnormal', 'subarachnoid haemorrhage', 'pseudomonas infection', 'injection site haemorrhage', 'tachyarrhythmia', 'hallucination', 'aneurysm', 'atrial fibrillation', 'ventricular extrasystoles', 'peripheral motor neuropathy', 'renal failure', 'gouty arthritis', 'venous thromboembolism', 'hypersensitivity', 'nodule', 'arrhythmia supraventricular', 'cerebral infarction', 'dysphonia', 'large intestine polyp', 'septic shock', 'breast disorder', 'neutrophilic dermatosis', 'diplopia', 'limb injury', 'mental status changes', 'embolism', 'pulmonary embolism', 'weight increased', 'metrorrhagia', 'altered state of consciousness', 'hypoaesthesia', 'chills', 'varicose vein', 'acute coronary syndrome', 'gastrointestinal disorder', 'sweating increased', 'aspartate aminotransferase increased', 'nervousness', 'central line infection', 'sensation of heaviness', 'localised infection', 'transfusion reaction', 'areflexia', 'embolism venous', 'pancytopenia', 'lymphoma cutis', 'perirectal abscess', 'atrial flutter', 'erectile dysfunction', 'body temperature increased', 'thrombosis', 'cataract unilateral', 'cardiac disorder', 'liver disorder', 'gingival bleeding', 'general physical health deterioration', 'arthritis aggravated', 'iron overload', 'arthralgia', 'dermatitis atopic', 'skin discolouration', 'pelvic fracture', 'skin disorder', 'splenomegaly', 'prurigo', 'hip fracture', 'angina pectoris', 'foetor hepaticus', 'joint stiffness', 'lymphoma', 'visual impairment', 'cramp muscle', 'hypoxia', 'dyspnoea exacerbated', 'mucosal inflammation', 'loss of libido', 'dysphagia', 'congenital anomaly', 'anxiety', 'troponin i increased', 'somnolence', 'polycythaemia', 'paraesthesia', 'ear pain', 'peptic ulcer haemorrhage', 'abdominal distension', 'ischaemia', 'neuropathy peripheral', 'bronchioloalveolar carcinoma', 'haemorrhage', 'epistaxis', 'abdominal discomfort', 'urinary tract disorder', 'hepatitis cholestatic', 'hoarseness', 'refractory cytopenia with unilineage dysplasia', 'renal tubular necrosis', 'hypokalaemia', 'myelosuppression', 'foot pain', 'mediastinal disorder', 'immune system disorder', 'pelvic pain', 'nasal congestion', 'oedema', 'urticaria', 'rectal haemorrhage', 'culture negative', 'intestinal perforation', 'bowel spasm', 'intermittent fever', 'skin cancer', 'enterobacter sepsis', 'cytolytic hepatitis', 'syncope', 'excoriation', 'amenorrhoea', 'hypothyroidism', 'peripheral swelling', 'bacteraemia', 'back pain', 'connective tissue disorder', 'musculoskeletal pain', 'peripheral coldness', 'irritable bowel syndrome', 'aortic disorder', 'bronchitis', 'inguinal hernia', 'polyneuropathy', 'staphylococcal bacteraemia', 'road traffic accident', 'abdominal pain', 'colonic polyp', 'sensory disturbance', 'clostridial infection', 'abdominal pain upper', 'fungaemia', 'depression', 'tumour lysis syndrome', 'carcinoma', 'dry eye', 'cardiac failure', 'dermatitis', 'loss of consciousness', 'anorexia', 'micturition urgency', 'spinal compression fracture', 'cholestasis', 'pulmonary oedema', 'warm type haemolytic anaemia', 'visual acuity reduced', 'plasma cell myeloma', 'ataxia', 'dyssomnia', 'dehydration', 'rales', 'hepatitis toxic', 'hypotonia', 'wheezing', 'neuropathy', 'hepatocellular injury', 'ocular hypertension', 'vision blurred', 'gastrointestinal pain', 'haemolysis', 'incontinence', 'mental disorder', 'rigors', 'mucosal dryness', 'affect lability', 'impaired healing', 'vertigo', 'aphasia', 'hepatobiliary disease', 'lethargy', 'diabetes mellitus', 'blood uric acid increased', 'asthenia', 'speech disorder', 'hypophosphataemia', 'abscess', 'night sweats', 'azotaemia', 'hepatitis', 'cholecystitis', 'skin hyperpigmentation', 'mood alteration nos', 'hypernatraemia', 'abdominal tenderness', 'teratogenicity', 'orbital oedema', 'cystitis', 'cervical vertebral fracture', 'arrhythmia', 'multi-organ failure', 'klebsiella sepsis', 'hypotension', 'glioblastoma multiforme', 'infection', 'frequent bowel movements', 'colitis', 'influenza', 'gastrointestinal tract irritation', 'urinary tract infection', 'pitting edema', 'hypoglycaemia', 'cerebral ischaemia', 'viraemia', 'stiffness', 'glossodynia', 'petechiae', 'lung infiltration', 'chest pain', 'neuritis', 'alopecia', 'neoplasm malignant', 'nervous system disorder', 'osteopenia', 'haemorrhage intracranial', 'vomiting', 'shock', 'haemorrhagic disorder', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'neoplasm', 'dysuria', 'bone marrow depression', 'deafness', 'cardiogenic shock', 'asthma', 'gastritis', 'lung cancer metastatic', 'blood bilirubin increased', 'laceration', 'contusion', 'migraine', 'haemorrhoids', 'coagulopathy', 'urinary incontinence', 'acute leukaemia', ""non-hodgkin's lymphoma"", 'discomfort', 'burning sensation', 'interstitial pneumonia', 'skin fissures', 'productive cough', 'gastroenteritis', 'intracranial venous sinus thrombosis', 'eye irritation', 'diarrhoea']",477
List mild moderate adverse events of lenalidomide,severity_filtered,lenalidomide,mild_moderate,"['bradycardia', 'supraventricular tachycardia', 'tachycardia']",3
Find all mild toxicities of lenalidomide,severity_filtered,lenalidomide,mild,"['dizziness', 'pruritus', 'headache', 'rash erythematous', 'fatigue', 'constipation', 'rash', 'rash macular', 'eye pruritus', 'pruritus generalised', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",14
Find all life threatening toxicities of dapagliflozin,severity_filtered,dapagliflozin,life_threatening,['anaphylactic shock'],1
Find all severe toxicities of dapagliflozin,severity_filtered,dapagliflozin,severe,['myocardial infarction'],1
List moderate adverse events of dapagliflozin,severity_filtered,dapagliflozin,moderate,"['hypersensitivity', 'angina unstable', 'vulvovaginitis', 'diuresis', 'hypotension', 'hypoglycemic reaction', 'urethral disorder', 'genital infection male', 'infestation', 'cerebrovascular accident', 'hyperphosphataemia', 'infestation nos', 'infection', 'haematocrit increased', 'hyperhidrosis', 'neoplasm', 'vulvitis', 'dermatitis', 'dysuria', 'nasopharyngitis', 'diabetes mellitus', 'osteopenia', 'influenza', 'urticaria', 'autoimmune hepatitis', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'hypovolaemia', 'vulvovaginal mycotic infection', 'thirst', 'bladder cancer', 'hypoglycaemia', 'vaginal infection', 'blood urea increased', 'angioedema', 'pollakiuria', 'vulval abscess', 'drug-induced hepatitis', 'carcinogenicity', 'dehydration', 'pain in extremity', 'discomfort', 'malnutrition', 'hypertension', 'polyuria', 'gastrointestinal disorder', 'orthostatic hypotension', 'acute coronary syndrome', 'skin disorder', 'recurrent infection', 'balanitis', 'dyslipidaemia', 'genital candidiasis', 'change in blood pressure', 'connective tissue disorder', 'back pain', 'urine output increased', 'urinary tract disorder', 'drug-induced liver injury', 'neoplasm prostate', 'fracture', 'blood pressure fluctuation', 'vulvovaginal candidiasis', 'serum creatinine increased', 'angina pectoris', 'nocturia', 'blood creatinine increased', 'penile infection', 'genital infection fungal', 'vaginitis bacterial', 'neoplasm malignant', 'renal failure', 'fungal infection', 'multiple fractures', 'balanitis candida']",75
List mild adverse events of dapagliflozin,severity_filtered,dapagliflozin,mild,"['dizziness', 'headache', 'constipation', 'rash', 'vulvovaginal pruritus', 'nausea']",6
Find all life threatening toxicities of valsartan,severity_filtered,valsartan,life_threatening,['anaphylactic shock'],1
List severe adverse events of valsartan,severity_filtered,valsartan,severe,['rhabdomyolysis'],1
Find all moderate toxicities of valsartan,severity_filtered,valsartan,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'neutropenia', 'abdominal pain upper', 'renal failure acute', 'vasculitis', 'cardiac failure', 'dermatitis', 'hypogeusia', 'musculoskeletal discomfort', 'loss of consciousness', 'swelling', 'anorexia', 'acute interstitial pneumonitis', 'blood urea increased', 'angioedema', 'dyspnoea', 'gastrointestinal disorder', 'serum potassium increased', 'dysgeusia', 'hyponatraemia', 'photosensitivity', 'ear and labyrinth disorders', 'vision blurred', 'serum creatinine increased', 'gastrointestinal pain', 'blood creatinine increased', 'mental disorder', 'erectile dysfunction', 'vertigo', 'infestation nos', 'muscle spasms', 'cardiac disorder', 'ageusia', 'thrombocytopenia', 'asthenia', 'palpitations', 'arthralgia', 'dyspepsia', 'hepatitis', 'sinusitis', 'malnutrition', 'orthostatic hypotension', 'skin disorder', 'dry cough', 'angiopathy', 'haemoglobin', 'idiopathic pulmonary fibrosis', 'rhinitis', 'blood and lymphatic system disorders', 'blood pressure increased', 'myalgia', 'renal failure chronic', 'hypotension', 'drug interaction', 'renal impairment', 'infestation', 'cramp muscle', 'infection', 'cough', 'loss of libido', 'unspecified disorder of skin and subcutaneous tissue', 'anxiety', 'somnolence', 'paraesthesia', 'blood potassium increased', 'flatulence', 'serum sickness', 'hyperkalaemia', 'microcytic anaemia', 'decreased appetite', 'haemorrhage', 'epistaxis', 'urinary tract disorder', 'hamman-rich syndrome', 'chest pain', 'alopecia', 'nervous system disorder', 'vomiting', 'urethral disorder', 'shock', 'mediastinal disorder', 'immune system disorder', 'photosensitivity reaction', 'oedema', 'urticaria', 'myositis', 'viral infection', 'hepatic enzyme increased', 'pharyngitis', 'dermatitis bullous', 'syncope', 'connective tissue disorder', 'back pain', 'muscular weakness', 'bronchitis', 'taste disorders', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain']",101
Show mild reactions to valsartan,severity_filtered,valsartan,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'dizziness postural', 'nausea', 'dry mouth', 'insomnia']",10
Show life threatening reactions to ogen,severity_filtered,ogen,life_threatening,['anaphylactic shock'],1
Find all severe toxicities of ogen,severity_filtered,ogen,severe,['myocardial infarction'],1
List moderate severe adverse events of ogen,severity_filtered,ogen,moderate_severe,['pancreatitis'],1
Show moderate reactions to ogen,severity_filtered,ogen,moderate,"['hypersensitivity', 'haemangioma', 'optic neuritis', 'dementia', 'depression', 'retinal vascular thrombosis', 'dermatitis', 'vaginal itching', 'musculoskeletal discomfort', 'embolism', 'pulmonary embolism', 'ovarian cancer', 'metrorrhagia', 'hypocalcaemia', 'angioedema', 'abdominal bloating', 'varicose vein', 'acute coronary syndrome', 'vaginal haemorrhage', 'dermatitis hemorrhagic', 'nervousness', 'cardiovascular disorder', 'jaundice cholestatic', 'visual disturbance', 'embolism venous', 'endometrial cancer', 'coronary artery thrombosis', 'thrombosis', 'muscle spasms', 'erythema', 'palpitations', 'arthralgia', 'mood alteration nos', 'blister', 'breast cancer', 'hyperglycaemia', 'uterine leiomyoma', 'hypernatraemia', 'mood swings', 'irritability', 'cystitis', 'fibrocystic breast disease', 'vulvovaginal candidiasis', 'epilepsy', 'leg pain', 'superficial phlebothrombosis', 'pain', 'blood pressure increased', 'visual impairment', 'abdominal cramps', 'dysmenorrhoea', 'thromboembolism', 'cramp muscle', 'chloasma', 'thrombophlebitis', 'bladder pain', 'dyspareunia', 'glucose tolerance decreased', 'hepatic function abnormal', 'flatulence', 'tenderness', 'purpura', 'ectropion of cervix', 'pain in extremity', 'thrombophlebitis superficial', 'galactorrhoea', 'breast discharge', 'abdominal distension', 'neuropathy peripheral', 'hirsutism', 'withdrawal bleed', 'abdominal discomfort', 'exacerbation of asthma', 'neuritis', 'tension', 'breast swelling', 'neoplasm malignant', 'fluid retention', 'vomiting', 'cerebrovascular accident', 'vaginal moniliasis', 'cystitis noninfective', 'erythema multiforme', 'oedema', 'erythema nodosum', 'neoplasm', 'dysuria', 'cramps of lower extremities', 'urticaria', 'gallbladder disorder', 'porphyrin metabolism disorder', 'asthma', 'chorea', 'vaginal infection', 'dermatitis bullous', 'migraine', 'vaginal inflammation', 'vulvovaginal mycotic infection', 'hypercalcaemia', 'inflammation', 'musculoskeletal pain', 'breast tenderness', 'oestrogen deficiency', 'breast discomfort', 'bleeding breakthrough', 'uterine cervical erosion', 'abnormal withdrawal bleeding', 'abdominal pain', 'endometriosis']",109
List mild adverse events of ogen,severity_filtered,ogen,mild,"['dizziness', 'pruritus', 'headache', 'rash', 'vulvovaginal pruritus', 'nausea']",6
Show life threatening reactions to ropivacaine,severity_filtered,ropivacaine,life_threatening,"['respiratory failure', 'anaphylactic shock', 'anaphylactoid reaction', 'coma']",4
List severe adverse events of ropivacaine,severity_filtered,ropivacaine,severe,"['cranial nerve paralysis', 'respiratory paralysis', 'paralysis', 'cardiac arrest', 'myocardial infarction']",5
