query,query_type,comparison_type,drug1,drug2,ground_truth
What side effects do prochlorperazine and rimantadine have in common?,drug_comparison,common,prochlorperazine,rimantadine,"['dysphagia', 'dermatitis', 'dizziness', 'headache', 'insomnia', 'agitation', 'dyspnoea', 'oedema peripheral', 'constipation', 'galactorrhoea', 'rash', 'gait disturbance', 'somnolence', 'convulsion', 'tremor', 'cough', 'dry mouth', 'nervousness']"
Compare the side effect profiles of thiamine and bumetanide,drug_comparison,comparison,thiamine,bumetanide,"{'common': ['pruritus', 'urticaria', 'sweating', 'asthenia', 'nausea', 'hyperhidrosis'], 'unique_drug1': ['hypersensitivity', 'sensation of warmth', 'feeling hot', 'tenderness', 'agitation', 'shock', 'anaphylactic shock', 'throat tightness', 'collapse', 'haemorrhage', 'cyanosis', 'induration', 'pulmonary oedema', 'angioedema', 'haemoglobin'], 'unique_drug2': ['vomiting', 'nipple tenderness', 'diuresis', 'hypotension', 'asterixis', 'hypokalaemia', 'fatigue', 'hyperuricaemia', 'cramp muscle', 'vertigo', 'hypochloraemia', 'serum amylase increased', 'hearing impaired', 'upset stomach', 'cholestasis extrahepatic', 'erythema multiforme', 'dry mouth', 'muscle spasms', 'dermatitis', 'toxic epidermal necrolysis', 'thrombocytopenia', 'glucose urine increased', 'blood uric acid increased', 'fluid and electrolyte imbalance', 'nipple pain', 'blood disorder', 'electrolyte imbalance', 'cholestasis', 'azotaemia', 'glycosuria', 'arthralgia', 'amylase increased', 'arthritic pains', 'headache', 'premature ejaculation', 'pancreatitis', 'dehydration', 'gynaecomastia', 'stevens-johnson syndrome', 'hyperglycaemia', 'polyuria', 'encephalopathy', 'hyponatraemia', 'ear discomfort', 'partial hearing loss', 'dizziness', 'hepatocellular injury', 'abdominal discomfort', 'musculoskeletal pain', 'hyperventilation', 'chest pain', 'leukopenia', 'rash', 'liver injury', 'gastrointestinal pain', 'serum creatinine increased', 'blood creatinine increased', 'diarrhoea', 'renal failure', 'abdominal pain']}"
Which side effects are unique to fidaxomicin compared to tropisetron?,drug_comparison,unique,fidaxomicin,tropisetron,"['vomiting', 'neutropenia', 'alanine aminotransferase increased', 'hepatobiliary disease', 'gastrointestinal haemorrhage', 'dry mouth', 'drug eruption', 'dysphagia', 'pruritus', 'anaemia', 'nausea', 'angioedema', 'dyspepsia', 'flatulence', 'hyperglycaemia', 'megacolon', 'malnutrition', 'abdominal distension', 'dysgeusia', 'abdominal tenderness', 'intestinal obstruction', 'blood and lymphatic system disorders', 'platelet count decreased', 'metabolic acidosis']"
What side effects do abiraterone and succinylcholine have in common?,drug_comparison,common,abiraterone,succinylcholine,"['dermatitis', 'musculoskeletal discomfort', 'rash', 'hypertension', 'myalgia', 'body temperature increased', 'arrhythmia']"
Compare the side effect profiles of sulfadiazine and oxandrolone,drug_comparison,comparison,sulfadiazine,oxandrolone,"{'common': ['hepatic necrosis', 'insomnia'], 'unique_drug1': ['hypersensitivity', 'periorbital oedema', 'vomiting', 'diuresis', 'sepsis', 'goitre', 'vertigo', 'depression', 'systemic lupus erythematosus', 'reaction gastrointestinal', 'anuria', 'eosinophilic myocarditis', 'body temperature increased', 'tubulointerstitial nephritis', 'drug fever', 'erythema multiforme', 'nephrotic syndrome', 'dermatitis', 'pruritus', 'stomatitis', 'skin necrosis', 'urticaria', 'musculoskeletal discomfort', 'thrombocytopenia', 'haemolytic anaemia', 'lupus erythematosus', 'tinnitus', 'nephrosis', 'anorexia', 'blood disorder', 'aplastic anaemia', 'separation', 'necrolysis epidermal', 'hypoglycaemia', 'nausea', 'chills', 'arthralgia', 'agranulocytosis', 'ataxia', 'hepatitis', 'headache', 'skin discolouration', 'purpura', 'partner stress', 'pancreatitis', 'serum sickness', 'anaphylactic shock', 'stevens-johnson syndrome', 'skin exfoliation', 'gastrointestinal disorder', 'polyuria', 'burning sensation', 'anaphylactoid reaction', 'crystalluria', 'bacterial colonisation', 'oliguria', 'neuropathy peripheral', 'scleral hyperaemia', 'decreased appetite', 'polyarteritis nodosa', 'nephritis interstitial', 'dermatitis exfoliative', 'leukopenia', 'muscle contracture', 'eruption', 'hallucination', 'gastrointestinal pain', 'vascular purpura', 'rash', 'neuritis', 'bacterial disease carrier', 'convulsion', 'methaemoglobinaemia', 'diarrhoea', 'toxic epidermal necrolysis', 'abdominal pain'], 'unique_drug2': ['epididymitis', 'erectile dysfunction', 'acne', 'necrosis', 'copd exacerbation', 'neoplasm', 'oedema', 'enlarged clitoris', 'priapism', 'glucose tolerance decreased', 'chronic obstructive pulmonary disease', 'virilism', 'oligospermia', 'gynaecomastia', 'creatinine increased', 'irritability', 'hirsutism', 'haemorrhage', 'haemoglobin', 'testicular atrophy', 'jaundice cholestatic', 'peliosis hepatis', 'menstruation irregular', 'blood creatinine increased', 'azoospermia', 'androgenetic alopecia', 'fluid retention', 'bronchial hyperreactivity']}"
What side effects do estrone and megestrol have in common?,drug_comparison,common,estrone,megestrol,"['vomiting', 'dermatitis', 'pruritus', 'urticaria', 'flatulence', 'headache', 'dizziness', 'bleeding breakthrough', 'pulmonary embolism', 'metrorrhagia', 'rash', 'thrombophlebitis', 'pain', 'mood swings', 'endometrial cancer', 'abdominal pain', 'nausea', 'oedema']"
What side effects do asenapine and medroxyprogesterone have in common?,drug_comparison,common,asenapine,medroxyprogesterone,"['hypersensitivity', 'vomiting', 'hypotension', 'increased appetite', 'fatigue', 'alanine aminotransferase increased', 'shock', 'oedema peripheral', 'constipation', 'psychotic disorder', 'mediastinal disorder', 'depression', 'hepatobiliary disease', 'pregnancy', 'dysarthria', 'breast disorder', 'immune system disorder', 'stomatitis', 'osteoarthritis', 'dry mouth', 'muscle spasms', 'dermatitis', 'cardiac disorder', 'dysphagia', 'diabetes mellitus', 'agitation', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'swelling', 'weight increased', 'thrombocytopenia', 'asthenia', 'anxiety', 'anaemia', 'somnolence', 'blood disorder', 'tremor', 'mouth ulceration', 'nausea', 'angioedema', 'arthralgia', 'parkinsonism', 'dyspepsia', 'ulcer', 'eye disorder', 'headache', 'dyspnoea', 'anaphylactic shock', 'pain in extremity', 'galactorrhoea', 'malnutrition', 'hyperglycaemia', 'gastrointestinal disorder', 'orthostatic hypotension', 'dysgeusia', 'anaphylactoid reaction', 'tachycardia', 'syncope', 'amenorrhoea', 'irritability', 'angiopathy', 'dizziness', 'abdominal discomfort', 'connective tissue disorder', 'rash', 'electrocardiogram qt prolonged', 'malaise', 'convulsion', 'nervous system disorder', 'mental disorder', 'insomnia']"
Compare the side effect profiles of anidulafungin and levomepromazine,drug_comparison,comparison,anidulafungin,levomepromazine,"{'common': ['hypersensitivity', 'constipation'], 'unique_drug1': ['clostridial infection', 'menopausal symptoms', 'neutropenia', 'abdominal pain upper', 'oedema peripheral', 'fungaemia', 'depression', 'hypomagnesaemia', 'dermatitis', 'pruritus', 'injection site reaction', 'urea increased', 'ventricular extrasystoles', 'cholestasis', 'blood urea increased', 'angioedema', 'chills', 'dyspnoea', 'dehydration', 'hypertension', 'gastrointestinal disorder', 'sweating increased', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'liver function test abnormal', 'vision blurred', 'loose stools', 'gastrointestinal pain', 'blood creatinine increased', 'flushing', 'visual disturbance', 'mental disorder', 'rigors', 'faecal incontinence', 'hepatobiliary disease', 'infestation nos', 'body temperature increased', 'lipase increased', 'confusional state', 'cardiac disorder', 'erythema', 'thrombocytopenia', 'infusion site pain', 'prothrombin level increased', 'dyspepsia', 'thrombocytosis', 'hyperglycaemia', 'malnutrition', 'hypernatraemia', 'skin disorder', 'white blood cell count decreased', 'candida infection', 'angiopathy', 'bundle branch block right', 'dizziness', 'bronchospasm', 'blood and lymphatic system disorders', 'leukopenia', 'rash papular', 'electrocardiogram qt prolonged', 'bundle branch block', 'multi-organ failure', 'systemic candida', 'visual impairment', 'hypotension', 'drug level decreased', 'sepsis', 'infestation', 'infection', 'cough', 'dyspepsia aggravated', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'potassium low', 'leukocytosis', 'hypoglycaemia', 'nausea', 'amylase increased', 'eye disorder', 'headache', 'thrombophlebitis superficial', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'white blood cell count increased', 'oral candidiasis', 'urinary tract disorder', 'chest pain', 'eye pain', 'nervous system disorder', 'pneumonia', 'pruritus generalised', 'blood alkaline phosphatase increased', 'insomnia', 'deep vein thrombosis', 'vomiting', 'phlebitis', 'sinus arrhythmia', 'blood potassium decreased', 'infusion related reaction', 'hypokalaemia', 'urethral disorder', 'alanine aminotransferase increased', 'cerebrovascular accident', 'mediastinal disorder', 'immune system disorder', 'hyperhidrosis', 'urticaria', 'creatine phosphokinase increased', 'respiratory distress', 'decubitus ulcer', 'hepatic enzyme increased', 'anaemia', 'blood bilirubin increased', 'pleural effusion', 'hepatic necrosis', 'coagulopathy', 'anaphylactic shock', 'feeling abnormal', 'hot flush', 'hypercalcaemia', 'bacteraemia', 'back pain', 'connective tissue disorder', 'rash', 'convulsion', 'rash maculo-papular', 'atrial fibrillation', 'diarrhoea', 'abdominal pain'], 'unique_drug2': ['drug interaction', 'urinary retention', 'photosensitivity reaction', 'drowsiness', 'agranulocytosis', 'weight increased', 'necrotising enterocolitis neonatal', 'priapism', 'somnolence', 'jaundice', 'sudden death', 'tachycardia', 'orthostatic hypotension', 'sudden death, cause unknown', 'photosensitivity', 'hepatocellular injury', 'liver injury', 'necrotizing enterocolitis', 'necrotising colitis']}"
What side effects do trandolaprilat and exemestane have in common?,drug_comparison,common,trandolaprilat,exemestane,"['upper respiratory tract infection', 'vomiting', 'myocardial ischaemia', 'fatigue', 'cramp muscle', 'constipation', 'cerebrovascular accident', 'erythema multiforme', 'body temperature increased', 'cardiac failure', 'cough', 'hyperhidrosis', 'oedema', 'muscle spasms', 'dermatitis', 'pruritus', 'musculoskeletal discomfort', 'thrombocytopenia', 'anxiety', 'asthenia', 'pharyngitis', 'paraesthesia', 'nausea', 'myocardial infarction', 'dyspepsia', 'hepatitis', 'headache', 'dyspnoea', 'sweating', 'feeling abnormal', 'pain in extremity', 'acute coronary syndrome', 'dizziness', 'chest pain', 'rash', 'gastrointestinal pain', 'angina pectoris', 'bronchitis', 'malaise', 'myalgia', 'alopecia', 'diarrhoea', 'abdominal pain', 'insomnia']"
What side effects do clobazam and rimexolone have in common?,drug_comparison,common,clobazam,rimexolone,"['pruritus', 'headache', 'hypotension', 'vision blurred']"
What side effects do piroxicam and methimazole have in common?,drug_comparison,common,piroxicam,methimazole,"['vomiting', 'vertigo', 'drowsiness', 'body temperature increased', 'agranulocytosis', 'oedema', 'dermatitis', 'pruritus', 'urticaria', 'thrombocytopenia', 'lymphadenopathy', 'somnolence', 'aplastic anaemia', 'jaundice', 'paraesthesia', 'epigastric distress', 'nausea', 'dyspepsia', 'hepatitis', 'headache', 'leukopenia', 'rash', 'alopecia']"
What side effects do protriptyline and bromazepam have in common?,drug_comparison,common,protriptyline,bromazepam,"['vomiting', 'hypotension', 'fatigue', 'psychotic disorder', 'drowsiness', 'dry mouth', 'confusional state', 'dermatitis', 'pruritus', 'delusion', 'agitation', 'asthenia', 'anorexia', 'somnolence', 'palpitations', 'tremor', 'nausea', 'dyspepsia', 'ataxia', 'headache', 'feeling abnormal', 'tachycardia', 'decreased appetite', 'dizziness', 'vision blurred', 'hallucination', 'rash', 'nightmare', 'convulsion']"
Which side effects are unique to cisplatin compared to atropine?,drug_comparison,unique,cisplatin,atropine,"['optic neuritis', 'diuresis', 'leukoencephalopathy', 'serum amylase increased', 'hearing impaired', 'renal failure acute', 'breast disorder', 'musculoskeletal discomfort', 'memory loss', 'anorexia', 'retinal pigmentation', 'metastatic neoplasm', ""lhermitte's sign"", 'carpo-pedal spasm', 'tetany', 'gastrointestinal disorder', 'ear and labyrinth disorders', 'wheezing', 'sweating increased', 'aspartate aminotransferase increased', 'blindness cortical', 'neuropathy', 'haemolytic uraemic syndrome', 'hepatocellular injury', 'ill-defined disorder', 'serum creatinine increased', 'haemolysis', 'blood creatinine increased', 'high frequency deafness', 'cerebral arteritis', 'areflexia', 'pancytopenia', 'face oedema', 'loss of proprioception', 'rhinorrhoea', 'hepatobiliary disease', 'necrosis', 'muscle spasms', 'febrile neutropenia', 'cardiac disorder', 'nasopharyngitis', 'thrombocytopenia', 'haemolytic anaemia', 'blood uric acid increased', 'hypophosphataemia', 'secondary anemia', 'retinal toxicity', 'malnutrition', 'orthostatic hypotension', 'hepatotoxicity', 'skin disorder', 'anaphylactoid reaction', 'nephropathy toxic', 'cellulitis', 'fibrosis', 'blood and lymphatic system disorders', 'thrombotic microangiopathy', 'leukopenia', 'liver injury', 'myalgia', 'visual impairment', 'renal failure chronic', 'hiccups', 'hyperuricaemia', 'apprehension', 'cramp muscle', 'ototoxicity', 'infection', 'skin necrosis', 'ocular toxicity', 'unspecified disorder of skin and subcutaneous tissue', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'tremor', 'paraesthesia', 'renal tubular disorder', 'amylase increased', 'eye disorder', 'pancreatitis', 'polyuria', 'autonomic neuropathy', 'urine output', 'neuropathy peripheral', 'decreased appetite', 'spinal cord disorder', 'irreversible renal failure', 'urinary tract disorder', 'alopecia', 'fluid retention', 'nervous system disorder', 'vestibular toxicity', 'phlebitis', 'urethral disorder', 'glucose tolerance impaired', 'myelosuppression', 'pulmonary toxicity', 'cerebrovascular accident', 'mediastinal disorder', 'immune system disorder', 'stomatitis', 'coronary heart disease', 'coronary artery disease', 'deafness', 'generalised erythema', 'anaemia', 'bone marrow toxicity', 'heart malformation', 'extravasation', 'papilloedema', 'acute leukaemia', 'discomfort', 'electric shock', 'heart disease congenital', 'posterior reversible encephalopathy syndrome', 'connective tissue disorder', 'neurotoxicity', 'malaise', 'azoospermia', 'generalised oedema', 'neurological symptom', 'cardiac failure congestive', 'renal failure', 'nephrotoxicity']"
Which side effects are unique to amd3100 compared to gemcitabine?,drug_comparison,unique,amd3100,gemcitabine,"['hypersensitivity', 'shock', 'leukostasis', 'upset stomach', 'dry mouth', 'tumour cell mobilisation', 'mental disorder', 'urticaria', 'loss of consciousness', 'swelling', 'eye swelling', 'dyspepsia', 'flatulence', 'hypoaesthesia oral', 'abdominal distension', 'orthostatic hypotension', 'syncope', 'inflammation', 'infusion site reactions', 'splenomegaly', 'dizziness', 'abdominal discomfort', 'musculoskeletal pain', 'platelet count decreased', 'periorbital swelling', 'gastrointestinal pain', 'induration', 'abdominal pain', 'haematoma']"
Compare the side effect profiles of cortisone and rofecoxib,drug_comparison,comparison,cortisone,rofecoxib,"{'common': ['hypersensitivity', 'vertigo', 'urticaria', 'erythema', 'weight increased', 'nausea', 'angioedema', 'myocardial infarction', 'headache', 'injury', 'pancreatitis', 'feeling abnormal', 'hypertension', 'acute coronary syndrome', 'abdominal distension', 'myopathy', 'muscular weakness', 'fluid retention', 'cardiac failure congestive', 'trauma'], 'unique_drug1': ['optic neuritis', 'glaucoma', 'thromboembolism', 'impaired healing', 'increased appetite', 'glucose tolerance impaired', 'oesophagitis ulcerative', 'intracranial pressure increased', 'alanine aminotransferase increased', 'increased insulin requirement', 'muscle mass', 'hyperhidrosis', 'aseptic necrosis', 'diabetes mellitus', 'osteonecrosis', 'embolism', 'erythema facial', 'spinal compression fracture', 'carbohydrate tolerance decreased', 'tendon rupture', 'peptic ulcer', 'steroid myopathy', 'papilloedema', 'myocardial rupture', 'cataract subcapsular', 'discomfort', 'hypernatraemia', 'inflammatory bowel disease', 'sweating increased', 'benign intracranial hypertension', 'hirsutism', 'haemorrhage', 'haemoglobin', 'exophthalmos', 'pseudotumor', 'petechiae', 'diabetic', 'ill-defined disorder', 'osteoporosis', 'menstruation irregular', 'mass', 'ecchymosis', 'alkalosis hypokalaemic', 'malaise', 'convulsion', 'nitrogen balance negative', 'intraocular pressure increased', 'embolism venous'], 'unique_drug2': ['upper respiratory tract infection', 'ankle sprain', 'dental caries', 'menopausal symptoms', 'abdominal pain upper', 'oedema peripheral', 'gastrointestinal symptom nos', 'renal failure acute', 'transient ischaemic attack', 'gastrointestinal haemorrhage', 'gastric ulcer', 'dermatitis', 'pruritus', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'back strain', 'jaundice', 'hypoaesthesia', 'pulmonary oedema', 'chills', 'abrasion nos', 'duodenal ulcer', 'dyspnoea', 'gastrointestinal disorder', 'dysgeusia', 'pain in arm', 'hyponatraemia', 'gastric flu', 'neuropathy', 'nephritis interstitial', 'oesophagitis', 'hypertensive crisis', 'upper limb oedema', 'toothache', 'vision blurred', 'viral diarrhoea', 'gastrointestinal pain', 'ear infection', 'flushing', 'xerosis', 'nocturia', 'toxic epidermal necrolysis', 'pancytopenia', 'haematoma', 'mental disorder', 'angina unstable', 'fatigue', 'oesophageal ulcer', 'wrist fracture', 'leukocytoclastic vasculitis', 'body temperature increased', 'tubulointerstitial nephritis', 'sciatica', 'tonsillitis', 'dry mouth', 'muscle spasms', 'confusional state', 'traumatic arthropathy', 'nasopharyngitis', 'viral syndrome', 'gastrooesophageal reflux disease', 'musculoskeletal stiffness', 'cerumen impaction', 'thrombocytopenia', 'asthenia', 'alveolitis', 'aplastic anaemia', 'palpitations', 'postoperative pain', 'mouth ulceration', 'abscess', 'arthralgia', 'dyspepsia', 'hepatitis', 'cholecystitis', 'dermatitis atopic', 'blister', 'breast cancer', 'sinusitis', 'basal cell carcinoma', 'abdominal tenderness', 'anaphylactoid reaction', 'diarrhoea', 'cellulitis', 'dizziness', 'bronchospasm', 'rhinitis', 'cystitis', 'leukopenia', 'urolithiasis', 'epilepsy', 'developmental delay', 'angina pectoris', 'myalgia', 'diaphragmatic hernia', 'lymphoma', 'renal failure chronic', 'heart rate irregular', 'urinary retention', 'herpes zoster', 'cramp muscle', 'epilepsy aggravated', 'infection', 'bladder pain', 'oral infection', 'cough', 'insect bite nos', 'epigastric discomfort', 'haematochezia', 'colitis', 'influenza', 'congenital anomaly', 'urinary tract infection', 'anxiety', 'duodenal perforation', 'tinnitus', 'somnolence', 'breast mass', 'paraesthesia', 'pulmonary congestion', 'flatulence', 'otitis media', 'pain in extremity', 'edema of lower extremities', 'tachycardia', 'hyperkalaemia', 'calculus urinary', 'gastric disorder', 'neuropathy peripheral', 'aphthous stomatitis', 'procedural pain', 'epistaxis', 'intestinal obstruction', 'respiratory tract infection', 'chest pain', 'epigastric pain', 'dry throat', 'herpes simplex', 'heartburn', 'meningitis aseptic', 'alopecia', 'neoplasm malignant', 'fungal infection', 'pneumonia', 'laryngitis', 'insomnia', 'deep vein thrombosis', 'vomiting', 'joint swelling', 'rhinitis allergic', 'hepatic failure', 'oral disorder', 'gastric perforation', 'alveolar osteitis', 'shock', 'muscle strain', 'constipation', 'cerebrovascular accident', 'cystitis noninfective', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'nasal congestion', 'pelvic pain', 'venous insufficiency', 'tendonitis', 'dysuria', 'pseudoporphyria', 'asthma', 'gastritis', 'infarction', 'viral infection', 'allergic cutaneous angiitis', 'pharyngitis', 'hypercholesterolaemia', 'ligament sprain', 'laceration', 'otitis', 'vaginal infection', 'dermatitis bullous', 'conjunctivitis', 'respiratory tract congestion', 'contusion', 'haemorrhoids', 'vaginal inflammation', 'arthropod bite', 'anaphylactic shock', ""non-hodgkin's lymphoma"", 'stevens-johnson syndrome', 'bradycardia', 'oral lesion', 'syncope', 'menstrual disorder', 'excoriation', 'back pain', 'disability', 'musculoskeletal pain', 'gastroenteritis', 'hallucination', 'rash', 'bronchitis', 'dermatitis contact', 'atrial fibrillation', 'ventricular extrasystoles', 'bursitis', 'abdominal pain']}"
What side effects do d-telaprevir and boceprevir have in common?,drug_comparison,common,d-telaprevir,boceprevir,"['vomiting', 'urethral disorder', 'fatigue', 'hypokalaemia', 'shock', 'hyperuricaemia', 'infestation', 'oedema peripheral', 'exfoliative rash', 'hepatobiliary disease', 'infestation nos', 'infection', 'erythema multiforme', 'anal pruritus', 'drug eruption', 'dermatitis', 'eczema', 'pruritus', 'urticaria', 'pruritus genital', 'loss of consciousness', 'thrombocytopenia', 'unspecified disorder of skin and subcutaneous tissue', 'blood uric acid increased', 'asthenia', 'anaemia', 'rectal haemorrhage', 'proctalgia', 'nausea', 'eosinophilia', 'eye disorder', 'haemorrhoids', 'stevens-johnson syndrome', 'hyperbilirubinaemia', 'malnutrition', 'gastrointestinal disorder', 'endocrine disorder', 'dysgeusia', 'skin disorder', 'anorectal discomfort', 'syncope', 'hypothyroidism', 'candida infection', 'dizziness', 'urinary tract disorder', 'blood and lymphatic system disorders', 'lymphopenia', 'rash', 'retinal disorder', 'gout', 'diarrhoea', 'nervous system disorder']"
Which side effects are unique to lurasidone compared to elvitegravir?,drug_comparison,unique,lurasidone,elvitegravir,"['menopausal symptoms', 'neutropenia', 'abdominal pain upper', 'hypokinesia', 'breast disorder', 'gait disturbance', 'pruritus', 'musculoskeletal discomfort', 'loss of consciousness', 'pulmonary embolism', 'weight increased', 'dementia with lewy bodies', 'dyskinesia', 'hypomania', 'angioedema', 'salivary hypersecretion', 'dyspnoea', 'torsade de pointes', 'hypertension', 'suicidal behaviour', 'ear and labyrinth disorders', 'blood creatine phosphokinase increased', 'catatonia', 'cardiovascular disorder', 'oromandibular dystonia', 'vision blurred', 'serum creatinine increased', 'blood creatinine increased', 'suicide', 'embolism venous', 'erectile dysfunction', 'vertigo', 'panic attack', 'hepatobiliary disease', 'pregnancy', 'infestation nos', 'lethargy', 'dry mouth', 'muscle spasms', 'cardiac disorder', 'nasopharyngitis', 'diabetes mellitus', 'agitation', 'musculoskeletal stiffness', 'sleep disorder', 'eosinophilia', 'psychomotor retardation', 'abnormal involuntary movements', 'tongue spasm', 'abnormal dreams', 'trismus', 'drug withdrawal syndrome neonatal', ""parkinson's disease"", 'creatinine increased', 'hyperglycaemia', 'malnutrition', 'extrapyramidal symptoms', 'orthostatic hypotension', 'throat tightness', 'dyslipidaemia', 'angiopathy', 'torticollis', 'blood and lymphatic system disorders', 'hyperprolactinaemia', 'leukopenia', 'bradykinesia', 'angina pectoris', 'blood pressure increased', 'sickness', 'myalgia', 'joint stiffness', 'oculogyric crisis', 'arrhythmia', 'hypotension', 'dysmenorrhoea', 'infestation', 'psychotic disorder', 'dysarthria', 'infection', 'dysphagia', 'influenza', 'neck pain', 'rhabdomyolysis', 'anxiety', 'urinary tract infection', 'extrapyramidal disorder', 'breast pain', 'tremor', 'sudden death', 'atrioventricular block', 'eye disorder', 'venous thromboembolism', 'galactorrhoea', 'tachycardia', 'decreased appetite', 'abdominal discomfort', 'urinary tract disorder', 'blood prolactin increased', 'atrioventricular block first degree', 'electrocardiogram change', 'deep vein thrombosis', 'increased appetite', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'cerebrovascular accident', 'akathisia', 'upset stomach', 'breast enlargement', 'agranulocytosis', 'osteoarthritis', 'hyperhidrosis', 'dysuria', 'creatine phosphokinase increased', 'drooling', 'gastritis', 'anaemia', 'blood glucose increased', 'parkinsonism', 'neuroleptic malignant syndrome', 'hot flush', 'bradycardia', 'syncope', 'muscle rigidity', 'amenorrhoea', 'cogwheel rigidity', 'connective tissue disorder', 'back pain', 'tardive dyskinesia', 'hypersomnia', 'nightmare', 'malaise', 'convulsion', 'completed suicide', 'renal failure']"
Which side effects are unique to tolvaptan compared to flecainide?,drug_comparison,unique,tolvaptan,flecainide,"['hypersensitivity', 'diabetic ketoacidosis', 'urethral disorder', 'hyperuricaemia', 'renal impairment', 'alanine aminotransferase increased', 'osmotic demyelination syndrome', 'cerebrovascular accident', 'mediastinal disorder', 'intracardiac thrombus', 'respiratory failure', 'breast disorder', 'urethral haemorrhage', 'rash generalised', 'cardiac disorder', 'pulmonary embolism', 'rhabdomyolysis', 'blood uric acid increased', 'thirst', 'blood bilirubin increased', 'hypoglycaemia', 'prothrombin level increased', 'pollakiuria', 'anaphylactic shock', 'dehydration', 'malnutrition', 'hypernatraemia', 'orthostatic hypotension', 'hyperkalaemia', 'hyponatraemia', 'vaginal haemorrhage', 'aspartate aminotransferase increased', 'angiopathy', 'connective tissue disorder', 'prurigo', 'urinary tract disorder', 'blood and lymphatic system disorders', 'hyponatraemic', 'blood creatinine increased', 'ecchymosis', 'polydipsia', 'colitis ischaemic', 'blood urine present', 'neurological symptom', 'disseminated intravascular coagulation', 'deep vein thrombosis']"
What side effects do boceprevir and paroven have in common?,drug_comparison,common,boceprevir,paroven,"['dermatitis', 'dizziness', 'flatulence', 'headache', 'pruritus', 'dyspepsia', 'fatigue', 'abdominal pain upper', 'rash', 'asthenia', 'gastrointestinal disorder', 'flushing', 'diarrhoea', 'abdominal pain']"
What side effects do eletriptan and trimetrexate have in common?,drug_comparison,common,eletriptan,trimetrexate,"['vomiting', 'dermatitis', 'pruritus', 'fatigue', 'feeling abnormal', 'rash', 'asthenia', 'anaemia', 'confusional state', 'body temperature increased', 'nausea', 'blood alkaline phosphatase increased', 'phosphatase alkaline increased']"
