query,query_type,drug,organ_filter,ground_truth,num_results
Show cardiovascular toxicity of nimodipine,organ_specific,nimodipine,cardiovascular,"['cardiac disorder', 'hypotension', 'tachycardia', 'hypertension', 'bradycardia', 'palpitations', 'cardiac failure congestive', 'deep vein thrombosis']",8
Find all hepatobiliary adverse events from nimodipine,organ_specific,nimodipine,hepatobiliary,"['hepatitis', 'hepatobiliary disease', 'jaundice', 'liver function test abnormal']",4
What are the immunological risks of taking nimodipine?,organ_specific,nimodipine,immunological,['hypersensitivity'],1
What are the musculoskeletal risks of taking nimodipine?,organ_specific,nimodipine,musculoskeletal,"['myalgia', 'cramp muscle', 'muscle spasms']",3
What gastrointestinal side effects does eprosartan cause?,organ_specific,eprosartan,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastritis', 'constipation', 'gastrointestinal pain', 'abdominal pain']",7
Find all cardiovascular adverse events from eprosartan,organ_specific,eprosartan,cardiovascular,"['hypotension', 'tachycardia', 'angina pectoris', 'bradycardia', 'orthostatic hypotension', 'palpitations', 'cardiac failure']",7
Show psychiatric toxicity of eprosartan,organ_specific,eprosartan,psychiatric,"['depression', 'anxiety', 'insomnia']",3
Show musculoskeletal toxicity of eprosartan,organ_specific,eprosartan,musculoskeletal,"['rhabdomyolysis', 'muscle spasms', 'myalgia', 'bone pain', 'tendonitis', 'arthralgia']",6
Find all respiratory adverse events from eprosartan,organ_specific,eprosartan,respiratory,"['upper respiratory tract infection', 'cough', 'asthma']",3
What are the neurological risks of taking eprosartan?,organ_specific,eprosartan,neurological,"['dizziness', 'ataxia', 'headache', 'migraine', 'vertigo', 'tremor', 'neuropathy peripheral']",7
What are the ocular risks of taking eprosartan?,organ_specific,eprosartan,ocular,"['abnormal vision', 'conjunctivitis']",2
Find all renal adverse events from eprosartan,organ_specific,eprosartan,renal,"['renal artery stenosis', 'cystitis', 'urinary incontinence', 'urinary tract infection', 'serum creatinine increased', 'blood creatinine increased', 'cystitis noninfective', 'nephrolithiasis', 'renal failure', 'calculus of kidney']",10
What are the endocrine risks of taking eprosartan?,organ_specific,eprosartan,endocrine,['diabetes mellitus'],1
What dermatological side effects does eprosartan cause?,organ_specific,eprosartan,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'rash', 'rash maculo-papular']",6
Show immunological toxicity of eprosartan,organ_specific,eprosartan,immunological,['hypersensitivity'],1
What hematological side effects does eprosartan cause?,organ_specific,eprosartan,hematological,['thrombocytopenia'],1
List eprosartan's effects on the otic system,organ_specific,eprosartan,otic,['tinnitus'],1
Show gastrointestinal toxicity of ropivacaine,organ_specific,ropivacaine,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'vomiting neonatal', 'abdominal pain']",8
Find all immunological adverse events from ropivacaine,organ_specific,ropivacaine,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
List ropivacaine's effects on the psychiatric system,organ_specific,ropivacaine,psychiatric,"['agitation', 'anxiety', 'hallucination', 'respiratory depression', 'depression', 'cns depression nos', 'insomnia', 'confusional state']",8
What cardiovascular side effects does ropivacaine cause?,organ_specific,ropivacaine,cardiovascular,"['hypotension', 'cardiac arrest', 'cardiac disorder', 'pulmonary embolism', 'ventricular arrhythmia', 'heart malformation', 'cardiac output decreased', 'myocardial infarction', 'tachycardia', 'hypertension', 'bradycardia', 'orthostatic hypotension', 'ventricular tachycardia', 'heart disease congenital', 'block heart', 'tachycardia foetal', 'bradycardia foetal', 'arrhythmia', 'deep vein thrombosis']",19
List ropivacaine's effects on the musculoskeletal system,organ_specific,ropivacaine,musculoskeletal,"['muscle twitching', 'muscle spasms', 'cramp muscle', 'myalgia', 'muscle rigidity', 'muscle relaxant therapy', 'arthralgia']",7
List ropivacaine's effects on the respiratory system,organ_specific,ropivacaine,respiratory,"['bronchospasm', 'respiratory arrest', 'pulmonary function test decreased', 'respiratory insufficiency', 'hypoxia', 'respiratory disorder neonatal', 'respiratory failure', 'pleural effusion', 'cough']",9
List ropivacaine's effects on the neurological system,organ_specific,ropivacaine,neurological,"['dizziness', 'headache', 'cranial nerve paralysis', 'respiratory paralysis', 'paralysis', 'vertigo', 'tremor', 'neurological symptom', 'neuropathy peripheral', 'neuropathy']",10
What are the dermatological risks of taking ropivacaine?,organ_specific,ropivacaine,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash', 'dyskinesia', 'skin disorder']",6
Find all hepatobiliary adverse events from ropivacaine,organ_specific,ropivacaine,hepatobiliary,"['hepatic function abnormal', 'jaundice', 'jaundice neonatal']",3
List ropivacaine's effects on the renal system,organ_specific,ropivacaine,renal,"['urinary tract disorder', 'urinary retention', 'urinary incontinence', 'urinary tract infection', 'oliguria']",5
Find all hematological adverse events from ropivacaine,organ_specific,ropivacaine,hematological,['thrombocytopenia'],1
What are the otic risks of taking ropivacaine?,organ_specific,ropivacaine,otic,['tinnitus'],1
What are the ocular risks of taking ropivacaine?,organ_specific,ropivacaine,ocular,['vision blurred'],1
List clozapine's effects on the gastrointestinal system,organ_specific,clozapine,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'abdominal discomfort', 'constipation', 'gastrointestinal disorder', 'abdominal distension', 'reaction gastrointestinal', 'nausea', 'gastric ulcer']",10
Show cardiovascular toxicity of clozapine,organ_specific,clozapine,cardiovascular,"['hypotension', 'thromboembolism', 'cardiac arrest', 'cardiac failure', 'cardiac disorder', 'embolism', 'pulmonary embolism', 'heart malformation', 'palpitations', 'myocardial infarction', 'tachycardia', 'hypertension', 'bradycardia', 'orthostatic hypotension', 'ventricular tachycardia', 'heart disease congenital', 'block heart', 'angina pectoris', 'heartburn', 'embolism venous', 'arrhythmia', 'deep vein thrombosis']",22
List clozapine's effects on the psychiatric system,organ_specific,clozapine,psychiatric,"['delirium', 'agitation', 'suicidal ideation', 'hallucination', 'anxiety', 'respiratory depression', 'insomnia nec', 'depression', 'insomnia', 'confusional state']",10
List clozapine's effects on the musculoskeletal system,organ_specific,clozapine,musculoskeletal,"['muscle twitching', 'rhabdomyolysis', 'bone marrow disorder', 'myalgia', 'muscle rigidity', 'muscle spasms', 'arthralgia']",7
List clozapine's effects on the neurological system,organ_specific,clozapine,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'vertigo', 'tremor']",6
What are the hepatobiliary risks of taking clozapine?,organ_specific,clozapine,hepatobiliary,"['liver disorder', 'hepatitis', 'hepatic cirrhosis', 'hepatocellular injury', 'hepatic failure', 'hepatic necrosis', 'traumatic liver injury', 'jaundice cholestatic', 'hepatic enzyme increased', 'hepatic fibrosis', 'hepatic steatosis', 'liver injury', 'hepatotoxicity', 'hepatobiliary disease', 'jaundice', 'foetor hepaticus', 'cholestasis']",17
List clozapine's effects on the respiratory system,organ_specific,clozapine,respiratory,"['lower respiratory tract infection', 'pneumonia aspiration', 'respiratory arrest', 'pulmonary function test decreased', 'pleural effusion', 'cough', 'pneumonia']",7
Show dermatological toxicity of clozapine,organ_specific,clozapine,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'tardive dyskinesia', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'vulvovaginal pruritus', 'dyskinesia', 'skin disorder', 'photosensitivity', 'photosensitivity reaction']",12
What are the endocrine risks of taking clozapine?,organ_specific,clozapine,endocrine,"['glucose tolerance impaired', 'diabetes mellitus']",2
What are the ocular risks of taking clozapine?,organ_specific,clozapine,ocular,"['vision blurred', 'angle closure glaucoma']",2
What immunological side effects does clozapine cause?,organ_specific,clozapine,immunological,"['hypersensitivity', 'vasculitis']",2
Show hematological toxicity of clozapine,organ_specific,clozapine,hematological,"['thrombocytopenia', 'neutropenia', 'leukopenia']",3
Find all renal adverse events from clozapine,organ_specific,clozapine,renal,"['urinary tract disorder', 'urinary retention', 'urinary incontinence', 'urinary abnormalities', 'renal failure']",5
List vacv's effects on the gastrointestinal system,organ_specific,vacv,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'abdominal discomfort', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",8
List vacv's effects on the dermatological system,organ_specific,vacv,dermatological,"['dermatitis', 'eczema', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder', 'alopecia', 'photosensitivity', 'photosensitivity reaction']",10
What immunological side effects does vacv cause?,organ_specific,vacv,immunological,"['hypersensitivity', 'leukocytoclastic vasculitis', 'anaphylactic shock']",3
Show musculoskeletal toxicity of vacv,organ_specific,vacv,musculoskeletal,"['myalgia', 'arthralgia']",2
Show neurological toxicity of vacv,organ_specific,vacv,neurological,"['dizziness', 'ataxia', 'headache', 'migraine', 'tremor', 'neurological symptom']",6
Find all psychiatric adverse events from vacv,organ_specific,vacv,psychiatric,"['auditory and visual hallucinations', 'agitation', 'hallucination', 'hallucinations, mixed', 'depression', 'mania', 'insomnia', 'confusional state']",8
Find all respiratory adverse events from vacv,organ_specific,vacv,respiratory,"['upper respiratory tract infection', 'cough', 'cough increased']",3
What hepatobiliary side effects does vacv cause?,organ_specific,vacv,hepatobiliary,"['hepatitis', 'hepatobiliary disease', 'raised liver function tests', 'liver function test abnormal']",4
Show cardiovascular toxicity of vacv,organ_specific,vacv,cardiovascular,"['hypertension', 'tachycardia']",2
Find all renal adverse events from vacv,organ_specific,vacv,renal,"['urinary tract disorder', 'renal pain', 'renal impairment', 'urinary tract infection', 'creatinine increased', 'blood creatinine increased', 'renal failure acute', 'renal failure']",8
What are the hematological risks of taking vacv?,organ_specific,vacv,hematological,"['thrombocytopenia', 'leukopenia']",2
Find all gastrointestinal adverse events from methylene,organ_specific,methylene,gastrointestinal,"['vomiting', 'nausea', 'dyspepsia', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal pain']",6
List methylene's effects on the immunological system,organ_specific,methylene,immunological,"['hypersensitivity', 'anaphylactic shock']",2
List methylene's effects on the psychiatric system,organ_specific,methylene,psychiatric,"['agitation', 'anxiety', 'confusional state']",3
What cardiovascular side effects does methylene cause?,organ_specific,methylene,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiac arrest', 'tachycardia', 'hypertension', 'arrhythmia']",6
Show neurological toxicity of methylene,organ_specific,methylene,neurological,"['dizziness', 'headache', 'tremor']",3
Find all dermatological adverse events from methylene,organ_specific,methylene,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'skin discolouration', 'unspecified disorder of skin and subcutaneous tissue', 'rash', 'skin disorder']",7
Show renal toxicity of methylene,organ_specific,methylene,renal,['urinary tract disorder'],1
List methylene's effects on the respiratory system,organ_specific,methylene,respiratory,['hypoxia'],1
What endocrine side effects does methylene cause?,organ_specific,methylene,endocrine,['glucose-6-phosphate dehydrogenase deficiency'],1
What are the gastrointestinal risks of taking cevimeline?,organ_specific,cevimeline,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'enterocolitis', 'functional gastrointestinal disorder', 'gastritis', 'proctocolitis', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'colitis ulcerative', 'abdominal pain', 'gastrointestinal haemorrhage', 'gastric ulcer']",15
What dermatological side effects does cevimeline cause?,organ_specific,cevimeline,dermatological,"['skin ulcer', 'skin hypertrophy', 'seborrhoeic dermatitis', 'photosensitivity reaction', 'dry skin', 'dermatitis', 'eczema', 'pruritus', 'urticaria', 'pruritus genital', 'dyskinesia', 'dermatitis bullous', 'rash erythematous', 'skin discolouration', 'skin cold clammy', 'skin exfoliation', 'skin disorder', 'skin papilloma', 'rash', 'dermatitis contact', 'alopecia']",21
What cardiovascular side effects does cevimeline cause?,organ_specific,cevimeline,cardiovascular,"['cardiac disorder', 'hypotension', 'cardiovascular disorder', 'hypertension worsened', 'pulmonary embolism', 'tachycardia', 'angina pectoris', 'cardiac murmur', 'hypertension', 'orthostatic hypotension', 'supraventricular tachycardia', 'palpitations', 'arrhythmia', 'myocardial infarction']",14
Find all psychiatric adverse events from cevimeline,organ_specific,cevimeline,psychiatric,"['delirium', 'agitation', 'manic psychosis', 'hallucination', 'anxiety', 'depression aggravated', 'depression', 'mania', 'insomnia', 'confusional state']",10
What musculoskeletal side effects does cevimeline cause?,organ_specific,cevimeline,musculoskeletal,"['joint dislocation', 'tendonitis', 'bone disorder', 'osteoporosis', 'muscle contractions involuntary', 'myalgia', 'bone pain', 'muscle spasms', 'arthralgia']",9
Find all respiratory adverse events from cevimeline,organ_specific,cevimeline,respiratory,"['upper respiratory tract infection', 'bronchoconstriction', 'bronchospasm', 'respiratory tract congestion', 'asthma', 'pleural effusion', 'pulmonary fibrosis', 'cough', 'pneumonia', 'pulmonary congestion', 'chronic obstructive pulmonary disease']",11
Show renal toxicity of cevimeline,organ_specific,cevimeline,renal,"['cystitis', 'urinary retention', 'cholecystitis', 'urinary incontinence', 'renal impairment', 'urinary tract infection', 'renal pain', 'nephrosis', 'cystitis noninfective', 'kidney function abnormal', 'nephrolithiasis', 'oliguria', 'calculus of kidney', 'nephrotic syndrome']",14
List cevimeline's effects on the ocular system,organ_specific,cevimeline,ocular,"['glaucoma', 'keratoconjunctivitis', 'cataract', 'abnormal vision', 'diplopia', 'conjunctivitis']",6
List cevimeline's effects on the otic system,organ_specific,cevimeline,otic,"['tinnitus', 'deafness', 'partial hearing loss', 'hearing impaired']",4
Find all endocrine adverse events from cevimeline,organ_specific,cevimeline,endocrine,"['hypothyroidism', 'diabetes mellitus']",2
List cevimeline's effects on the neurological system,organ_specific,cevimeline,neurological,"['dizziness', 'headache', 'migraine', 'paralysis', 'vertigo', 'tremor', 'neuropathy peripheral', 'neuropathy']",8
Show immunological toxicity of cevimeline,organ_specific,cevimeline,immunological,"['hypersensitivity', 'vasculitis', 'lupus erythematosus', 'systemic lupus erythematosus']",4
Find all hematological adverse events from cevimeline,organ_specific,cevimeline,hematological,"['postoperative hemorrhage', 'leukopenia', 'thrombocytopenia']",3
What are the hepatobiliary risks of taking cevimeline?,organ_specific,cevimeline,hepatobiliary,['hepatitis viral'],1
Show immunological toxicity of fosphenytoin,organ_specific,fosphenytoin,immunological,"['anaphylactic shock', 'anaphylactoid reaction']",2
List fosphenytoin's effects on the musculoskeletal system,organ_specific,fosphenytoin,musculoskeletal,"['muscle twitching', 'muscle spasms', 'myalgia', 'muscle relaxant therapy', 'arthralgia']",5
Find all respiratory adverse events from fosphenytoin,organ_specific,fosphenytoin,respiratory,"['cough increased', 'pneumonia aspiration', 'asthma', 'cough', 'pneumonia']",5
Show neurological toxicity of fosphenytoin,organ_specific,fosphenytoin,neurological,"['dizziness', 'ataxia', 'headache', 'migraine', 'paralysis', 'vertigo', 'tremor']",7
Find all psychiatric adverse events from fosphenytoin,organ_specific,fosphenytoin,psychiatric,"['delirium', 'agitation', 'cns depression nos', 'insomnia', 'confusional state']",5
Show ocular toxicity of fosphenytoin,organ_specific,fosphenytoin,ocular,"['diplopia', 'conjunctivitis']",2
Show gastrointestinal toxicity of fosphenytoin,organ_specific,fosphenytoin,gastrointestinal,"['vomiting', 'dyspepsia', 'gastritis', 'constipation', 'nausea', 'gastrointestinal haemorrhage']",6
What are the otic risks of taking fosphenytoin?,organ_specific,fosphenytoin,otic,"['deafness', 'tinnitus']",2
List fosphenytoin's effects on the dermatological system,organ_specific,fosphenytoin,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'skin discolouration', 'rash', 'dyskinesia', 'skin nodule', 'skin mass', 'dermatitis contact', 'photosensitivity reaction', 'rash maculo-papular', 'rash pustular']",12
What endocrine side effects does fosphenytoin cause?,organ_specific,fosphenytoin,endocrine,['diabetes insipidus'],1
What cardiovascular side effects does fosphenytoin cause?,organ_specific,fosphenytoin,cardiovascular,"['hypotension', 'pulmonary embolism', 'cardiac arrest', 'tachycardia', 'hypertension', 'bradycardia', 'orthostatic hypotension', 'palpitations', 'sinus bradycardia', 'cardiac failure congestive']",10
List fosphenytoin's effects on the hematological system,organ_specific,fosphenytoin,hematological,"['thrombocytopenia', 'leukopenia']",2
What renal side effects does fosphenytoin cause?,organ_specific,fosphenytoin,renal,"['urinary incontinence', 'oliguria', 'renal failure', 'urinary retention']",4
Find all hepatobiliary adverse events from fosphenytoin,organ_specific,fosphenytoin,hepatobiliary,['liver function test abnormal'],1
What are the gastrointestinal risks of taking fluvoxamine?,organ_specific,fluvoxamine,gastrointestinal,"['vomiting', 'dyspepsia', 'intestinal obstruction', 'nausea', 'abdominal discomfort', 'colitis', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal carcinoma', 'gastrointestinal disorder', 'gastrointestinal ulcer', 'abdominal distension', 'abdominal pain', 'gastrointestinal haemorrhage']",15
Find all dermatological adverse events from fluvoxamine,organ_specific,fluvoxamine,dermatological,"['dermatitis', 'eczema', 'dermatitis exfoliative', 'pruritus', 'urticaria', 'tardive dyskinesia', 'skin discolouration', 'dermatitis atopic', 'rash', 'dyskinesia', 'alopecia', 'seborrhoeic dermatitis', 'dry skin', 'photosensitivity reaction', 'photosensitivity', 'rash maculo-papular', 'dermatitis bullous', 'psoriasis']",18
Find all immunological adverse events from fluvoxamine,organ_specific,fluvoxamine,immunological,"['hypersensitivity', 'vasculitis', 'anaphylactic shock', 'cutaneous hypersensitivity']",4
Show cardiovascular toxicity of fluvoxamine,organ_specific,fluvoxamine,cardiovascular,"['heart rate irregular', 'cardiac disorder', 'hypotension', 'heart alternation', 'cardiovascular disorder', 'embolism', 'cardiac arrest', 'tachycardia', 'angina pectoris', 'hypertension', 'orthostatic hypotension', 'bradycardia', 'palpitations', 'ventricular tachycardia', 'cardiac failure', 'arrhythmia', 'cardiac fibrillation', 'myocardial infarction']",18
List fluvoxamine's effects on the renal system,organ_specific,fluvoxamine,renal,"['urinary tract disorder', 'cystitis', 'urinary retention', 'cholecystitis', 'urinary incontinence', 'renal pain', 'urinary tract infection', 'renal impairment', 'oliguria', 'cystitis noninfective', 'nephrolithiasis', 'renal failure acute', 'anuria', 'renal failure', 'calculus of kidney']",15
List fluvoxamine's effects on the psychiatric system,organ_specific,fluvoxamine,psychiatric,"['psychotic depression', 'delirium', 'agitation', 'manic psychosis', 'suicidal ideation', 'hallucination', 'anxiety', 'major depression', 'depression', 'suicidal tendency', 'suicidal behaviour', 'cns depression nos', 'mania', 'insomnia', 'confusional state']",15
What musculoskeletal side effects does fluvoxamine cause?,organ_specific,fluvoxamine,musculoskeletal,"['muscle twitching', 'bone disorder', 'fracture', 'muscle relaxant therapy', 'rhabdomyolysis', 'myalgia', 'bone pain', 'multiple fractures', 'muscle spasms', 'arthralgia']",10
Find all respiratory adverse events from fluvoxamine,organ_specific,fluvoxamine,respiratory,"['upper respiratory tract infection', 'cough increased', 'cardio-respiratory arrest', 'asthma', 'pulmonary infarction', 'cough', 'pneumonia']",7
Show neurological toxicity of fluvoxamine,organ_specific,fluvoxamine,neurological,"['parkinsonism', 'dizziness', 'ataxia', 'headache', 'migraine', 'paralysis', 'vertigo', 'tremor', 'neuropathy peripheral', 'neuropathy']",10
List fluvoxamine's effects on the ocular system,organ_specific,fluvoxamine,ocular,"['glaucoma', 'vision blurred', 'abnormal vision', 'diplopia', 'conjunctivitis']",5
Show otic toxicity of fluvoxamine,organ_specific,fluvoxamine,otic,"['deafness', 'tinnitus']",2
List fluvoxamine's effects on the endocrine system,organ_specific,fluvoxamine,endocrine,"['hypothyroidism', 'blood glucose increased', 'diabetes mellitus', 'inappropriate antidiuretic hormone secretion']",4
Show hepatobiliary toxicity of fluvoxamine,organ_specific,fluvoxamine,hepatobiliary,"['hepatitis', 'biliary colic', 'liver function test abnormal', 'hepatobiliary disease', 'jaundice', 'hepatic function abnormal']",6
What hematological side effects does fluvoxamine cause?,organ_specific,fluvoxamine,hematological,"['thrombocytopenia', 'leukopenia']",2
Find all immunological adverse events from spectinomycin,organ_specific,spectinomycin,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
Show neurological toxicity of spectinomycin,organ_specific,spectinomycin,neurological,['dizziness'],1
List spectinomycin's effects on the gastrointestinal system,organ_specific,spectinomycin,gastrointestinal,['nausea'],1
What are the dermatological risks of taking spectinomycin?,organ_specific,spectinomycin,dermatological,['urticaria'],1
Find all renal adverse events from spectinomycin,organ_specific,spectinomycin,renal,['nephropathy toxic'],1
List spectinomycin's effects on the psychiatric system,organ_specific,spectinomycin,psychiatric,['insomnia'],1
What gastrointestinal side effects does iohexol cause?,organ_specific,iohexol,gastrointestinal,"['vomiting', 'nausea', 'gastrointestinal pain', 'gastrointestinal disorder', 'reaction gastrointestinal', 'abdominal pain']",6
Show immunological toxicity of iohexol,organ_specific,iohexol,immunological,"['hypersensitivity', 'anaphylactic shock', 'anaphylactoid reaction']",3
List iohexol's effects on the cardiovascular system,organ_specific,iohexol,cardiovascular,"['cardiac disorder', 'hypotension', 'myocardial ischaemia', 'cardiac arrest', 'bradycardia', 'hypertension', 'thrombosis', 'arrhythmia']",8
What are the musculoskeletal risks of taking iohexol?,organ_specific,iohexol,musculoskeletal,"['bone disorder', 'muscle spasms', 'arthralgia']",3
What respiratory side effects does iohexol cause?,organ_specific,iohexol,respiratory,"['bronchospasm', 'cough', 'pulmonary oedema', 'non-cardiogenic pulmonary oedema']",4
Show psychiatric toxicity of iohexol,organ_specific,iohexol,psychiatric,['confusional state'],1
What are the neurological risks of taking iohexol?,organ_specific,iohexol,neurological,"['dizziness', 'headache', 'tremor']",3
Show dermatological toxicity of iohexol,organ_specific,iohexol,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'rash', 'skin disorder']",5
Show renal toxicity of iohexol,organ_specific,iohexol,renal,"['renal failure', 'urinary tract disorder']",2
Show endocrine toxicity of iohexol,organ_specific,iohexol,endocrine,['hyperthyroidism'],1
Find all ocular adverse events from iohexol,organ_specific,iohexol,ocular,['blindness transient'],1
What gastrointestinal side effects does metolazone cause?,organ_specific,metolazone,gastrointestinal,"['vomiting', 'dyspepsia', 'abdominal discomfort', 'abdominal bloating', 'epigastric distress', 'constipation', 'gastrointestinal pain', 'abdominal distension', 'abdominal pain', 'nausea']",10
List metolazone's effects on the psychiatric system,organ_specific,metolazone,psychiatric,"['psychotic depression', 'agitation', 'anxiety', 'major depression', 'insomnia']",5
Show musculoskeletal toxicity of metolazone,organ_specific,metolazone,musculoskeletal,"['cramp muscle', 'muscle spasms', 'arthralgia']",3
What are the respiratory risks of taking metolazone?,organ_specific,metolazone,respiratory,['cough'],1
Show dermatological toxicity of metolazone,organ_specific,metolazone,dermatological,"['dermatitis', 'pruritus', 'urticaria', 'skin necrosis', 'rash', 'eye pruritus', 'skin exfoliation', 'photosensitivity', 'dry skin', 'photosensitivity reaction']",10
List metolazone's effects on the neurological system,organ_specific,metolazone,neurological,"['dizziness', 'headache', 'vertigo', 'neuropathy peripheral', 'neuropathy']",5
List metolazone's effects on the hepatobiliary system,organ_specific,metolazone,hepatobiliary,"['hepatitis', 'jaundice cholestatic']",2
What immunological side effects does metolazone cause?,organ_specific,metolazone,immunological,"['hypersensitivity', 'cutaneous vasculitis', 'vasculitis necrotising']",3
Find all cardiovascular adverse events from metolazone,organ_specific,metolazone,cardiovascular,"['hypertension', 'orthostatic hypotension', 'palpitations', 'venous thrombosis']",4
What hematological side effects does metolazone cause?,organ_specific,metolazone,hematological,"['thrombocytopenia', 'leukopenia']",2
Show otic toxicity of metolazone,organ_specific,metolazone,otic,['tinnitus'],1
Find all ocular adverse events from metolazone,organ_specific,metolazone,ocular,['vision blurred'],1
What are the gastrointestinal risks of taking febuxostat?,organ_specific,febuxostat,gastrointestinal,"['vomiting', 'dyspepsia', 'nausea', 'gastric ph decreased', 'abdominal discomfort', 'gastrointestinal discomfort', 'gastritis', 'constipation', 'gastrointestinal pain', 'gastrointestinal disorder', 'abdominal distension', 'abdominal pain']",12
What dermatological side effects does febuxostat cause?,organ_specific,febuxostat,dermatological,"['rash follicular', 'exfoliative rash', 'photosensitivity reaction', 'mechanical urticaria', 'rash generalised', 'skin odour abnormal', 'dermatitis', 'eczema', 'pruritus', 'urticaria', 'unspecified disorder of skin and subcutaneous tissue', 'urticaria physical', 'dermatitis bullous', 'skin lesion', 'rash erythematous', 'skin discolouration', 'rash macular', 'skin exfoliation', 'skin disorder', 'photosensitivity', 'rash papular', 'rash', 'alopecia', 'rash maculo-papular', 'rash vesicular', 'rash pustular']",26
What are the immunological risks of taking febuxostat?,organ_specific,febuxostat,immunological,"['hypersensitivity', 'anaphylactic shock', 'drug hypersensitivity']",3
What are the cardiovascular risks of taking febuxostat?,organ_specific,febuxostat,cardiovascular,"['cardiac disorder', 'hypotension', 'sinus bradycardia', 'tachycardia', 'angina pectoris', 'hypertension', 'cardiac murmur', 'palpitations', 'cardiac flutter', 'myocardial infarction']",10
Show psychiatric toxicity of febuxostat,organ_specific,febuxostat,psychiatric,"['anxiety', 'insomnia', 'agitation']",3
What are the musculoskeletal risks of taking febuxostat?,organ_specific,febuxostat,musculoskeletal,"['joint swelling', 'muscle twitching', 'rhabdomyolysis', 'myalgia', 'joint stiffness', 'muscle tightness', 'muscle spasms', 'arthralgia']",8
What are the renal risks of taking febuxostat?,organ_specific,febuxostat,renal,"['proteinuria', 'urinary tract disorder', 'cholecystitis', 'creatinine increased', 'blood creatinine increased', 'nephrolithiasis', 'renal failure']",7
Find all respiratory adverse events from febuxostat,organ_specific,febuxostat,respiratory,"['upper respiratory tract infection', 'cough', 'respiratory tract congestion']",3
Show otic toxicity of febuxostat,organ_specific,febuxostat,otic,"['deafness', 'tinnitus']",2
Show endocrine toxicity of febuxostat,organ_specific,febuxostat,endocrine,"['blood thyroid stimulating hormone increased', 'glucose increased', 'blood glucose increased', 'diabetes mellitus']",4
List febuxostat's effects on the neurological system,organ_specific,febuxostat,neurological,"['dizziness', 'headache', 'migraine', 'vertigo', 'tremor']",5
List febuxostat's effects on the hepatobiliary system,organ_specific,febuxostat,hepatobiliary,"['hepatocellular injury', 'hepatitis', 'liver disorder', 'hepatic failure', 'traumatic liver injury', 'hepatomegaly', 'liver function test abnormal', 'hepatic steatosis', 'liver injury', 'hepatobiliary disease', 'jaundice', 'foetor hepaticus']",12
Show hematological toxicity of febuxostat,organ_specific,febuxostat,hematological,"['neutropenia', 'thrombocytopenia', 'leukopenia', 'coagulation test abnormal', 'pancytopenia']",5
Find all ocular adverse events from febuxostat,organ_specific,febuxostat,ocular,['vision blurred'],1
List umeclidinium's effects on the musculoskeletal system,organ_specific,umeclidinium,musculoskeletal,"['myalgia', 'arthralgia']",2
What are the respiratory risks of taking umeclidinium?,organ_specific,umeclidinium,respiratory,"['upper respiratory tract infection', 'lower respiratory tract infection', 'viral upper respiratory tract infection', 'bronchospasm paradoxical', 'cough', 'pneumonia']",6
Find all neurological adverse events from umeclidinium,organ_specific,umeclidinium,neurological,"['dizziness', 'headache', 'sinus headache', 'vertigo']",4
What gastrointestinal side effects does umeclidinium cause?,organ_specific,umeclidinium,gastrointestinal,"['gastrointestinal disorder', 'dyspepsia', 'nausea', 'abdominal pain upper']",4
What dermatological side effects does umeclidinium cause?,organ_specific,umeclidinium,dermatological,"['dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'skin disorder', 'rash']",4
What ocular side effects does umeclidinium cause?,organ_specific,umeclidinium,ocular,['angle closure glaucoma'],1
What cardiovascular side effects does umeclidinium cause?,organ_specific,umeclidinium,cardiovascular,"['cardiac disorder', 'ventricular arrhythmia', 'supraventricular tachycardia', 'tachycardia', 'sinus tachycardia']",5
List umeclidinium's effects on the renal system,organ_specific,umeclidinium,renal,"['urinary tract infection', 'urinary retention']",2
