query,query_type,side_effect,ground_truth_drugs,num_drugs
Which drugs cause infusion site erythema?,class_based,infusion site erythema,"['nuvocid', 'telavancin', 'fosaprepitant', 'cgp', 'vinflunine', 'ertapenem', 'conivaptan', 'cancidas', 'aprepitant', 'humalog']",10
Which drugs cause hepatotoxicity?,class_based,hepatotoxicity,"['actinomycin', 'anagrelide', 'bupropion', 'aminoglutethimide', 'maraviroc', 'itraconazole', 'temozolomide', 'streptozotocin', 'macitentan', 'ribavirin', 'cyproterone', 'ketoconazole', 'rapamycin', 'imatinib', 'dicloxacillin', 'oseltamivir', 'nevirapine', 'olsalazine', 'leflunomide', 'cisplatin', 'sulfasalazine', 'lapatinib', 'etoposide', 'telithromycin', 'ponatinib', 'enflurane', 'amsacrine', 'erlotinib', 'allopurinol', 'duloxetine', 'darunavir', 'verapamil', 'ambrisentan', 'ritonavir', 'dantrolene', 'belinostat', 'retinoic', 'cimetidine', 'erythromycin', 'etoricoxib', 'tamoxifen', 'nilotinib', 'aspirin', 'zileuton', 'valproate', 'nsc', 'ifosfamide', 'balsalazide', 'eltrombopag', 'amphotericin', 'k779', 'clozapine', 'carboplatin', 'regorafenib', 'hydroxyurea', 'rilpivirine', 'a77', 'rifapentine', '5-asa', 'tacrolimus', 'abiraterone', 'eribulin', 'pyrazinamide', 'oxacillin', 'dalbavancin', 'azithromycin', 'sunitinib', 'bortezomib', 'doxycycline', 'capecitabine', 'nafcillin', 'gemcitabine', 'ofloxacin', 'chlorambucil', 'v', 'cancidas', 'lenalidomide', '6-mercaptopurine', 'azathioprine', 'cyclophosphamide', 'didanosine', 'vemurafenib', 'bicalutamide', 'bcnu', 'trabectedin', 'efavirenz', 'crizotinib', 'quinidine', 'stavudine', 'metoclopramide', 'oxaliplatin', 'tipranavir', 'methotrexate', 'clarithromycin', 'naltrexone', 'lansoprazole', 'bosutinib', 'clofarabine', 'tetracycline', 'phenytoin', 'tizanidine', 'pazopanib', 'lomitapide', 'niacin', 'thioridazine', 'zaleplon', 'anastrozole', 'dacarbazine', 'lomustine', 'zafirlukast', 'trimetrexate', 'docetaxel']",112
Show me drugs known to cause oxygen saturation decreased,class_based,oxygen saturation decreased,"['hydromorphone', 'tapentadol', 'regadenoson', 'clevidipine', 'prilocaine', 'desflurane', 'nicardipine', 'bupivacaine', 'morphine', 'ferumoxytol', 'sitaxsentan', 'photofrin', 'oxymorphone']",13
Which drugs cause autonomic nervous system imbalance?,class_based,autonomic nervous system imbalance,"['prochlorperazine', 'baclofen', 'lanreotide', 'metoclopramide', 'citalopram', 'atomoxetine', 'bortezomib', 'pregabalin', 'idarubicin', 'iopromide', 'droperidol', 'tizanidine', 'vallergan', 'fluphenazine', 'thioridazine', 'tetrabenazine', 'propericiazine', 'ziprasidone', 'risperidone', 'rasagiline']",20
Show me drugs known to cause respiratory distress,class_based,respiratory distress,"['indomethacin', 'n-acetylcysteine', 'maraviroc', 'fentanyl', 'aripiprazole', 'irbesartan-hydrochlorothiazide', 'penbutolol', 'nadolol', 'pge1', 'atenolol', 'testosterone', 'losartan', 'acebutolol', 'hydromorphone', 'sotalol', 'iopromide', 'fludarabine', 'indapamide', 'betaxolol', 'melphalan', 'naproxen', 'propranolol', 'gadolinium', 'candesartan', 'ertapenem', 'retinoic', 'benicar-hct', 'dorzolamide', 'remifentanil', 'arsenic', 'bisoprolol', 'cytarabine', 'ciprofloxacin', 'carboprost', 'cgp', 'riluzole', 'metformin', 'labetalol', 'gadopentetate', 'ziconotide', 'voriconazole', 'benzocaine', 'olmesartan', 'vitrum', 'diltiazem', 'paliperidone', 'famp', 'pramipexole', 'buprenorphine', 'colimycin', '5-azacytidine', 'enfuvirtide', 'fosinopril', 'methacholine', 'tacrolimus', 'vincristine', 'optison', 'diatrizoate', 'irbesartan', 'oxymorphone', 'timolol', 'bortezomib', 'capecitabine', 'ofloxacin', 'cancidas', 'methyclothiazide', 'zalcitabine', 'lenalidomide', 'paclitaxel', 'cyclophosphamide', 'gd-dtpa', 'sorafenib', 'deferoxamine', 'regadenoson', 'hydrochlorothiazide', 'metoprolol', 'thiazide', 'desflurane', 'fluoxetine', 'oxaliplatin', 'anidulafungin', 'clofarabine', 'tiopronin', 'terlipressin', 'nalbuphine', 'everolimus', 'carvedilol', 'gd-eob-dtpa', 'isosulfan']",89
Which drugs cause atrial arrhythmia?,class_based,atrial arrhythmia,"['anagrelide', 'memantine', 'paroxetine', 'pramipexole', 'lanreotide', 'propofol', 'mirtazapine', 'conivaptan', 'busulfan', 'galantamine', 'dolasetron', 'arsenic', 'mexiletine', 'sertraline', 'capecitabine', 'pregabalin', 'amoxapine', 'vallergan', 'isomannide', 'atropine', 'bpti', 'moxifloxacin', 'voriconazole', 'isosorbide-5-mononitrate', 'telithromycin', 'propafenone', 'felbamate', 'propericiazine', 'sevoflurane', 'rasagiline']",30
Which drugs cause jaundice cholestatic?,class_based,jaundice cholestatic,"['mycophenolate', 'ketorolac', 'perphenazine', 'meclofenamate', 'ganciclovir', 'ramipril', 'gliclazide', 'maraviroc', 'chlorpromazine', 'conjugated', 'irbesartan-hydrochlorothiazide', 'timentin', 'cerivastatin', 'testosterone', 'oxymetholone', 'fosfomycin', 'losartan', 'cyproterone', 'metolazone', 'mefenamic', 'medroxyprogesterone', 'nitrofurantoin', 'gemfibrozil', 'olsalazine', 'vallergan', 'sulfasalazine', 'famotidine', 'telithromycin', 'pantoprazole', 'indapamide', 'allopurinol', 'prochlorperazine', 'chlorpropamide', 'ritonavir', 'candesartan', 'oxandrolone', 'benicar-hct', 'amoxicillin', 'estradiol', 'trimethoprim-sulfamethoxazole', 'captopril', 'doxepin', 'fluoxymesterone', 'furosemide', 'sulfamethoxazole', 'cefazolin', 'methocarbamol', 'ciprofloxacin', 'balsalazide', 'pregabalin', 'clozapine', 'bexarotene', 'acetazolamide', 'danazol', 'fluphenazine', 'labetalol', 'ranitidine', 'voriconazole', 'olmesartan', 'doxorubicin', 'propericiazine', 'estrone', 'ziprasidone', 'promethazine', 'tolazamide', 'famciclovir', 'cefprozil', 'progesterone', 'penciclovir', 'terbinafine', 'zonisamide', 'glipizide', 'cas', 'trandolapril', '5-asa', 'tacrolimus', 'trimethoprim', 'nabumetone', 'linezolid', 'chlorthalidone', 'meropenem', 'pravastatin', 'irbesartan', 'ogen', 'azithromycin', 'disopyramide', 'oestrogen', 'flurbiprofen', 'fluvastatin', 'azathioprine', 'norfloxacin', 'hydrochlorothiazide', 'norethisterone', 'octreotide', 'thiazide', 'thalidomide', 'gold', 'carbimazole', 'busulfan', 'propoxyphene', 'fluoxetine', 'polythiazide', 'simvastatin', 'clarithromycin', 'benazepril', 'lovastatin', 'hydroflumethiazide', 'trazodone', 'etodolac', 'cefaclor', 'mycophenolic', 'methyltestosterone', 'cephalexin', 'flucloxacillin', 'tolbutamide', 'cyclizine', 'niacin', 'moxifloxacin', 'flutamide', 'glibenclamide', 'lisinopril', 'dothiepin', 'atorvastatin', 'ticlopidine']",124
Show me drugs known to cause vitreous detachment,class_based,vitreous detachment,"['methyl', 'cevimeline', 'travoprost', 'sildenafil', 'pegaptanib', 'brimonidine', 'citalopram', 'testosterone', 'clomiphene', 'triamcinolone', 'dexamethasone', 'dorzolamide', 'nepafenac', 'ropinirole']",14
Which drugs cause lymphoedema?,class_based,lymphoedema,"['copolymer', 'letrozole', 'paroxetine', 'pramipexole', 'thalidomide', 'fentanyl', 'fluoxetine', 'exemestane', 'trametinib', 'tamoxifen', 'rapamycin', 'bortezomib', 'capecitabine', 'pregabalin', 'vinflunine', 'l-dmp', 'goserelin', 'leuprorelin', 'paclitaxel', 'anastrozole', 'doxorubicin', 'dabrafenib', 'ziprasidone', 'docetaxel', 'glat', 'ropinirole', 'thiotepa']",27
What drugs are associated with cardiovascular insufficiency?,class_based,cardiovascular insufficiency,"['hydromorphone', 'methadone', 'oxycodone', 'pentazocine', 'diazepam', 'codeine', 'morphine', 'meperidine', 'fentanyl', 'methohexital', 'thiotepa']",11
List medications that can lead to cervix disorder,class_based,cervix disorder,"['mycophenolate', 'zalcitabine', 'metrodin', 'oestrogen', 'paroxetine', 'lovaza', 'pregabalin', 'lasofoxifene', 'levonorgestrel', 'leuprorelin']",10
Which drugs cause sudden death?,class_based,sudden death,"['prochlorperazine', 'imipramine', 'perphenazine', 'amisulpride', 'tiagabine', 'amphetamine', 'memantine', 'lurasidone', 'lovaza', 'celecoxib', 'domperidone', 'aripiprazole', 'sibutramine', 'doxazosin', 'chlorpromazine', 'teniposide', 'fosinopril', 'dofetilide', 'olanzapine', 'trifluoperazine', 'lisdexamfetamine', '5-fu', 'methotrexate', 'abiraterone', 'bepridil', 'zyprexa', 'citalopram', 'quetiapine', 'ribavirin', 'vandetanib', 'fluvoxamine', 'sunitinib', 'fosinoprilat', 'sotalol', 'bortezomib', 'everolimus', 'capecitabine', 'posaconazole', 'pregabalin', 'k779', 'clozapine', 'droperidol', 'acamprosate', 'desipramine', 'zuclopenthixol', 'insulin', 'methylphenidate', 'lenalidomide', 'carvedilol', 'levomepromazine', 'thioridazine', 'mitoxantrone', 'haloperidol', 'irinotecan', 'rabeprazole', 'felbamate', 'propericiazine', 'clomipramine', 'paliperidone', 'eplerenone', 'risperidone']",61
Which drugs cause dysphonia?,class_based,dysphonia,"['levodopa/carbidopa', 'axitinib', 'itraconazole', 'fentanyl', 'aripiprazole', 'formoterol', 'flecainide', 'trospium', 'budesonide', 'estramustine', 'testosterone', 'ribavirin', 'fluvoxamine', 'tiotropium', 'medroxyprogesterone', 'travoprost', 'iopromide', 'zidovudine/lamivudine', 'photofrin', 'beclomethasone', 'oxybutynin', 'ponatinib', 'acitretin', 'clonazepam', 'risperidone', 'alprazolam', 'solifenacin', 'cetirizine', 'flunisolide', 'tobramycin', 'dantrolene', 'cilazapril', 'ertapenem', 'retinoic', 'oxcarbazepine', 'rivastigmine', 'nilotinib', 'nedocromil', 'cevimeline', 'amphotericin', 'k779', 'vinflunine', 'triamcinolone', 'dipyridamole', 'lamivudine', 'danazol', 'boceprevir', 'gabapentin', 'regorafenib', 'ipratropium', 'fluticasone/salmeterol', 'trovafloxacin', 'doxorubicin', 'lercanidipine', 'clomipramine', 'paliperidone', 'cabozantinib', 'stalevo', 'paroxetine', 'pramipexole', 'rizatriptan', 'colimycin', 'midazolam', 'celecoxib', 'rifapentine', 'cas', 'fosinopril', 'topiramate', 'mannitol', 'citalopram', 'gadoversetamide', 'fosinoprilat', 'bortezomib', 'flumazenil', 'nicotine', 'capecitabine', 'posaconazole', 'zidovudine', 'sumatriptan', 'supremon', 'ofloxacin', 'lidocaine', 'insulin', 'zalcitabine', 'lenalidomide', 'paclitaxel', 'varenicline', 'sorafenib', 'raltegravir', 'ropinirole', 'ibuprofen', 'pirbuterol', 'ciclesonide', 'mometasone', 'procarbazine', 'perindopril', 'salmon', 'exemestane', 'oxaliplatin', 'naltrexone', 'lansoprazole', 'edrophonium', 'sodium', 'fluticasone', 'nandrolone', 'ixabepilone', 'sertraline', 'aclidinium', 'carbidopa', 'pazopanib', 'salbutamol', 'sitaxsentan']",112
Which drugs cause microscopic hematuria?,class_based,microscopic hematuria,"['ifosfamide', 'cefdinir', 'cyclophosphamide', 'rosuvastatin', 'edta', 'ethosuximide', 'methsuximide', 'acenocoumarol', 'indinavir', 'dyphylline', 'aprepitant']",11
List medications that can lead to tinnitus,class_based,tinnitus,"['mycophenolate', 'clonidine', 'axitinib', 'gadobenate', 'itraconazole', 'aripiprazole', 'flecainide', 'amiodarone', 'dolasetron', 'nadolol', 'delavirdine', 'clomiphene', 'losartan', 'ribavirin', 'nicorandil', 'pergolide', 'hydromorphone', 'medroxyprogesterone', 'aztreonam', 'cisplatin', 'reboxetine', 'sulfasalazine', 'amiloride', 'pilocarpine', 'oxybutynin', 'pentostatin', 'diflunisal', 'nifedipine', 'naproxen', 'imipramine', 'verapamil', 'methylergometrine', 'tadalafil', 'estazolam', 'rivastigmine', 'oxcarbazepine', 'cabazitaxel', 'prazosin', 'erythromycin', 'risedronate', 'methazolamide', 'valproate', 'ciprofloxacin', 'amphotericin', 'carboplatin', 'l-dmp', 'cyproheptadine', 'voriconazole', 'fenoprofen', 'rimantadine', 'agomelatine', 'rotigotine', 'eplerenone', 'lacosamide', 'cyclobenzaprine', 'pramipexole', 'buprenorphine', 'terbinafine', 'benzathine', '5-asa', 'optison', 'tramadol', 'fosaprepitant', 'gadoversetamide', 'ropivacaine', 'kanamycin', 'flumazenil', 'metronidazole', 'posaconazole', 'meloxicam', 'febuxostat', 'leuprorelin', 'ioversol', 'iotrolan', 'paclitaxel', 'varenicline', 'ramiprilat', 'salsalate', 'deferoxamine', 'regadenoson', 'hydrochlorothiazide', 'octreotide', 'metoprolol', 'mianserin', 'thalidomide', 'naltrexone', 'lansoprazole', 'bosutinib', 'tetracaine', 'misoprostol', 'oxycodone', 'telmisartan', 'ranolazine', 'phenytoin', 'atazanavir', 'mycophenolic', 'amlodipine', 'niacin', 'moxifloxacin', 'imiquimod', 'udca', 'sulfadiazine', 'nortriptyline', 'carbamazepine', 'atorvastatin', 'minocycline', 'baclofen', 'anagrelide', 'vigabatrin', 'ganciclovir', 'nabilone', 'nicardipine', 'sibutramine', 'irbesartan-hydrochlorothiazide', 'venlafaxine', 'piroxicam', 'bromocriptine', 'cilostazol', 'atenolol', 'estramustine', 'eaca', 'delamanid', 'metolazone', 'rapamycin', 'iodixanol', 'triptorelin', 'iopromide', 'demeclocycline', 'roxithromycin', 't-a2-3', 'acitretin', 'mepivacaine', 'dichlorphenamide', 'betaxolol', 'guanfacine', 'alprazolam', 'brinzolamide', 'memantine', 'cetirizine', 'nisoldipine', 'dorzolamide', 'doxazosin', 'estradiol', 'bisoprolol', 'aspirin', 'ifosfamide', 'tranylcypromine', 'carboprost', 'zolpidem', 'pregabalin', 'nefazodone', 'cgp', 'zuclopenthixol', 'ziconotide', 'doxorubicin', 'lithium', 'lercanidipine', 'promethazine', 'dasatinib', 'cabozantinib', 'hepatitis', 'famciclovir', 'paroxetine', 'progesterone', 'sildenafil', 'pentazocine', 'topiramate', 'tacrolimus', 'eribulin', 'irbesartan', 'pentosan', 'azithromycin', 'cinoxacin', 'doxycycline', 'capecitabine', 'sumatriptan', 'ofloxacin', 'amoxapine', 'cidofovir', 'v', 'gd-dtpa', 'propafenone', 'delta', 'capreomycin', 'ibuprofen', 'ropinirole', '68ga', 'propofol', 'mirtazapine', 'fluoxetine', 'eprosartan', 'iloperidone', 'diclofenac', 'colestyramine', 'mexiletine', 'vardenafil', 'dapsone', 'bosentan', 'carvedilol', 'rabeprazole', 'salbutamol', 'meclofenamate', 'ramipril', 'rofecoxib', 'bupropion', 'gliclazide', 'protriptyline', 'temozolomide', 'olanzapine', 'hydroxychloroquine', 'testosterone', 'iopamidol', 'donepezil', 'almotriptan', 'imatinib', 'ivacaftor', 'photofrin', 'nitroprusside', 'isomannide', 'pantoprazole', 'palonosetron', 'indapamide', 'allopurinol', 'duloxetine', 'tobramycin', 'chloroquine', 'cilazapril', 'zolmitriptan', 'kaluril', 'anthracycline', 'sulindac', 'trimipramine', 'arsenic', 'nilotinib', 'trimethoprim-sulfamethoxazole', 'k779', 'bexarotene', 'vinflunine', 'acetazolamide', 'desipramine', 'boceprevir', 'gabapentin', 'ipratropium', 'moexiprilat', 'ziprasidone', 'nitrogen', 'tiagabine', 'colimycin', 'eletriptan', 'cas', 'trandolapril', 'trimethoprim', 'penicillin', 'citalopram', 'pravastatin', 'loratadine', 'naratriptan', 'fosphenytoin', 'salicylate', 'amitriptyline', 'cyclophosphamide', 'sorafenib', 'pindolol', 'ergonovine', 'efavirenz', 'terazosin', 'lanreotide', 'frovatriptan', 'galantamine', 'dihydroergotamine', 'methotrexate', 'tolmetin', 'clarithromycin', 'prilocaine', 'bepridil', 'quetiapine', 'mefloquine', 'etodolac', 'moclobemide', 'tizanidine', 'lamotrigine', 'clemastine', 'gadodiamide', 'adenosine', 'zaleplon', 'telavancin', 'ly146032', 'maprotiline', 'triazolam', 'tiaprofenic', 'oxaprozin', 'rifaximin', 'ticlopidine', 'thiotepa', 'indomethacin', 'ketorolac', 'fentanyl', 'diphenhydramine', 'acebutolol', 'fluvoxamine', 'mefenamic', 'travoprost', 'acamprosate', 'olsalazine', 'famotidine', 'lincomycin', 'valdecoxib', 'procaine', 'cefpodoxime', 'risperidone', 'gadolinium', 'chloroprocaine', 'icodextrin', 'ritonavir', 'candesartan', 'retinoic', 'gadoteridol', 'valganciclovir', 'd-penicillamine', 'etoricoxib', 'desvenlafaxine', 'doxepin', 'furosemide', 'sulfamethoxazole', 'clopidogrel', 'cevimeline', 'halofantrine', 'buspirone', 'dipyridamole', 'butorphanol', 'gentamicin', 'ethacrynic', 'trovafloxacin', 'diltiazem', 'clomipramine', 'paliperidone', 'deprenyl', 'rizatriptan', 'celecoxib', 'zonisamide', 'fosinopril', 'tolcapone', 'eslicarbazepine', 'ketoprofen', 'vancocine', 'lioh', 'linezolid', 'nabumetone', 'saquinavir', 'timolol', 'fosinoprilat', 'bortezomib', 'flurbiprofen', 'supremon', 'lidocaine', 'zalcitabine', 'lomefloxacin', 'sparfloxacin', 'lenalidomide', 'isosorbide-5-mononitrate', 'zopiclone', 'raltegravir', 'thiabendazole', 'norfloxacin', 'copolymer', 'perindopril', 'bupivacaine', 'salmon', 'quinidine', 'omeprazole', 'benazepril', 'sodium', 'trazodone', 'hydroxybutyrate', 'chlorpheniramine', 'sertraline', 'aprepitant', 'ge-132', 'lisinopril', 'esomeprazole', 'sitaxsentan', 'gatifloxacin', 'carbinoxamine']",383
List medications that can lead to dyslipidaemia,class_based,dyslipidaemia,"['duloxetine', 'demethyl', 'everolimus', 'saxagliptin', 'empagliflozin', 'etravirine', 'lurasidone', 'atazanavir', 'clozapine', 'nilotinib', 'canagliflozin', 'dapagliflozin', 'raltegravir', 'methylprednisolone', 'quetiapine', 'candesartan', 'pravastatin', 'risperidone']",18
What drugs are associated with burning sensation?,class_based,burning sensation,"['ramipril', 'iron', 'gadobenate', 'fentanyl', 'aripiprazole', 'bromocriptine', 'streptozotocin', 'pge1', 'iopamidol', 'vernakalant', 'ketoconazole', 'photofrin', 'clotrimazole', 'tazarotene', 'clobetasol', 'econazole', 'mafenide', 'chlorhexidine', 'benzoyl', 'chloramphenicol', 'nitroglycerin', 'alosetron', 'gadolinium', 'icodextrin', 'zolmitriptan', 'dimercaprol', 'mthpc', 'erythromycin', 'clindamycin', 'retapamulin', 'brolene', 'bimatoprost', 'zolpidem', 'amphotericin', 'pregabalin', 'gadopentetate', 'ziconotide', 'doxorubicin', 'glat', 'locorten', 'a77', 'brimonidine', 'adapalene', 'lasofoxifene', 'eletriptan', 'sildenafil', 'topiramate', 'eslicarbazepine', '5-asa', 'tacrolimus', 'optison', 'citalopram', 'tramadol', 'gadoversetamide', 'amorolfine', 'monobenzone', 'nicotine', 'metronidazole', 'naratriptan', 'salicylate', 'sumatriptan', 'halcinonide', 'lidocaine', 'benzyl', 'v', 'cancidas', 'leuprorelin', 'desoximetasone', 'methyl', 'lenalidomide', 'gd-dtpa', 'ciclopirox', 'ferumoxytol', 'ropinirole', 'bcnu', 'gadofosveset', 'copolymer', 'octreotide', 'crizotinib', 'thalidomide', 'tinidazole', 'articaine', 'fusidic', 'lutalyse', 'methotrexate', 'diclofenac', 'mitomycin', 'nelarabine', 'ixabepilone', 'etodolac', 'silver', 'vardenafil', 'atazanavir', 'idarubicin', 'naftifine', 'capsaicin', 'sulfonamide', 'niacin', 'adenosine', 'sulfadiazine', 'docetaxel']",101
What drugs are associated with exophthalmos?,class_based,exophthalmos,"['demethyl', 'acth(1-39', 'fludrocortisone', 'paroxetine', 'prednisolone', 'prednisone', 'fluoxetine', 'venlafaxine', 'cortisol', 'lioh', 'dexamethasone', 'cytokinin', 'bortezomib', 'sertraline', 'hydralazine', 'pregabalin', 'triamcinolone', 'l-dmp', 'cortisone', 'lithium', 'methylprednisolone', 'clomipramine']",22
List medications that can lead to coronary artery thrombosis,class_based,coronary artery thrombosis,"['ioversol', 'medroxyprogesterone', 'bivalirudin', 'estradiol', 'progesterone', 'dalteparin', 'refludan', 'iopromide', 'valdecoxib', 'argatroban', 'ogen', 'conjugated']",12
List medications that can lead to lupus-like syndrome,class_based,lupus-like syndrome,"['phenelzine', 'minocycline', 'quinidine', 'simvastatin', 'methimazole', 'trifluoperazine', 'ezetimibe', 'd-penicillamine', '5-asa', 'procainamide', 'lovastatin', 'acebutolol', 'nitrofurantoin', 'sertraline', 'k779', 'dapsone', 'demeclocycline', 'gemfibrozil', 'amitriptyline', 'goserelin', 'propafenone', 'propylthiouracil', 'methyldopa']",23
List medications that can lead to hypocalcaemia,class_based,hypocalcaemia,"['actinomycin', 'mycophenolate', 'ganciclovir', 'cefepime', 'axitinib', 'gadobenate', 'itraconazole', 'fentanyl', 'conjugated', 'streptozotocin', 'delavirdine', 'ibandronate', 'ribavirin', 'delamanid', 'vandetanib', 'magnesium', 'rapamycin', 'medroxyprogesterone', 'imatinib', 'foscarnet', 'fludarabine', 'ponatinib', 'potassium', 'palonosetron', 'felbamate', 'valdecoxib', 'pomalidomide', 'isoxsuprine', 'rasagiline', 'allopurinol', 'darunavir', 'icodextrin', 'tobramycin', 'pentamidine', 'oxcarbazepine', 'valganciclovir', 'arsenic', 'estradiol', 'zoledronic', 'nilotinib', 'furosemide', 'risedronate', 'cytarabine', 'nsc', 'ciprofloxacin', 'ifosfamide', 'amifostine', 'paricalcitol', 'amphotericin', 'pregabalin', 'k779', 'bexarotene', 'pamidronate', 'carboplatin', 'rasburicase', 'l-dmp', 'clodronate', 'voriconazole', 'regorafenib', 'gentamicin', 'doxorubicin', 'estrone', 'ziprasidone', 'dasatinib', 'cabozantinib', 'famp', 'paroxetine', 'progesterone', 'pramipexole', 'trametinib', 'alendronate', 'topiramate', 'trandolapril', '5-asa', 'tacrolimus', 'citalopram', 'tramadol', 'gadoversetamide', 'dexamethasone', 'ogen', 'ropivacaine', 'saquinavir', 'sunitinib', 'bortezomib', 'oestrogen', 'capecitabine', 'posaconazole', 'temsirolimus', 'bendamustine', 'gemcitabine', 'cidofovir', 'poly(styrene', 'cancidas', 'zalcitabine', 'lenalidomide', 'paclitaxel', 'mitoxantrone', 'isosorbide-5-mononitrate', 'sorafenib', 'tigecycline', 'capreomycin', 'ibuprofen', 'pixantrone', '68ga', 'gadofosveset', 'trandolaprilat', 'bupivacaine', 'thalidomide', 'salmon', 'busulfan', 'frovatriptan', 'fluoxetine', 'oxaliplatin', 'fk463', 'omeprazole', 'lanthanum', 'citric', 'sodium', 'melatonin', 'nelarabine', 'everolimus', 'phenobarbital', 'hydroxybutyrate', 'phenytoin', 'dexmedetomidine', 'mycophenolic', 'colestimide', 'romidepsin', 'sitaxsentan', 'dabrafenib', 'trimetrexate', 'cinacalcet']",132
Which drugs cause dysphoria?,class_based,dysphoria,"['dihydrocodeine', 'baclofen', 'n-acetylcysteine', 'nitrazepam', 'amphetamine', 'phentermine', 'codeine', 'pramipexole', 'bupropion', 'buprenorphine', 'nabilone', 'midazolam', 'fentanyl', 'aripiprazole', 'propoxyphene', 'venlafaxine', 'methamphetamine', 'metoclopramide', 'methadone', 'lisdexamfetamine', 'remifentanil', 'ketoprofen', 'nilotinib', 'tramadol', 'atomoxetine', 'donepezil', 'delamanid', 'hydrocodone', 'nalmefene', 'oxymorphone', 'hydromorphone', 'nalbuphine', 'mersyndol', 'oxycodone', 'flumazenil', 'phenylpropanolamine', 'buspirone', 'nefazodone', 'droperidol', 'morphine', 'rimonabant', 'lamotrigine', 'butorphanol', 'varenicline', 'diethylpropion', 'clonazepam', 'meperidine', 'acetaminophen']",48
Show me drugs known to cause sensation of heaviness,class_based,sensation of heaviness,"['darunavir', 'bosentan', 'tapentadol', 'lenalidomide', 'gadofosveset', 'bortezomib', 'bupropion', 'citalopram', 'doxepin', 'cyclizine', 'miglustat', 'zolmitriptan', 'aripiprazole', 'isocarboxazid']",14
Show me drugs known to cause blood lactate dehydrogenase increased,class_based,blood lactate dehydrogenase increased,"['mycophenolate', 'ganciclovir', 'gadobenate', 'itraconazole', 'fentanyl', 'aripiprazole', 'venlafaxine', 'donepezil', 'fluvoxamine', 'rapamycin', 'imatinib', 'fenoldopam', ""5-aza-2'-deoxycytidine"", 'foscarnet', 'iopromide', 'acamprosate', 'leflunomide', 'fludarabine', 'felbamate', 'valdecoxib', 'betaxolol', 'metrodin', 'retinoic', 'valganciclovir', 'parecoxib', 'nilotinib', 'gemifloxacin', 'cefazolin', 'ciprofloxacin', 'amphotericin', 'k779', 'nefazodone', 'bexarotene', 'ceftizoxime', 'l-dmp', 'mirabegron', 'gabapentin', 'cefixime', 'doxorubicin', 'histrelin', 'rivaroxaban', 'ziprasidone', 'cabozantinib', 'fenofibrate', 'cefprozil', 'paroxetine', 'cefditoren', 'zonisamide', 'dexrazoxane', 'rifapentine', '5-asa', 'tacrolimus', 'tramadol', 'ceftobiprole', 'linezolid', 'meropenem', 'azithromycin', 'nimodipine', 'x', 'posaconazole', 'zidovudine', 'megestrol', 'febuxostat', 'cyclophosphamide', 'tigecycline', 'ropinirole', 'ibuprofen', 'norfloxacin', 'thalidomide', 'fk463', 'clarithromycin', 'lansoprazole', 'everolimus', 'cefaclor', 'su5416', 'mycophenolic', 'ceftriaxone', 'cephalexin', 'bosentan', 'moxifloxacin', 'cefadroxil', 'ly146032', 'sitaxsentan']",83
