query,query_type,drug,severity_filter,ground_truth,num_results,organ_filter,comparison_type,drug1,drug2,risk_group,requires_clinical_context,temporal_filter,requires_temporal_data,mechanism,requires_mechanism_data,source_drug,requires_graph,hop_count,pathway_analysis,drugs,network_analysis,organ,cluster_analysis
Show mild moderate reactions to doxorubicin,severity_filtered,doxorubicin,mild_moderate,"['ventricular tachycardia', 'bradycardia', 'sinus tachycardia', 'tachycardia']",4.0,,,,,,,,,,,,,,,,,,
List mild adverse events of doxorubicin,severity_filtered,doxorubicin,mild,"['dizziness', 'pruritus', 'headache', 'rash erythematous', 'fatigue', 'vesiculobullous rash', 'rash papular', 'constipation', 'rash', 'rash maculo-papular', 'rash pustular', 'nausea', 'dry mouth', 'insomnia']",14.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of homatropine,severity_filtered,homatropine,life_threatening,['glaucoma'],1.0,,,,,,,,,,,,,,,,,,
Show severe reactions to homatropine,severity_filtered,homatropine,severe,['spastic paralysis'],1.0,,,,,,,,,,,,,,,,,,
What moderate side effects does homatropine cause?,severity_filtered,homatropine,moderate,"['heart rate irregular', 'eye oedema', 'hypotension', 'urinary retention', 'retrograde amnesia', 'vasodilation procedure', 'hyperpyrexia', 'psychotic disorder', 'pulse irregular', 'ataxic gait', 'ocular hyperaemia', 'drowsiness', 'photophobia', 'body temperature increased', 'follicular conjunctivitis', 'oedema', 'confusional state', 'dermatitis', 'eczema', 'cardiac disorder', 'hyperkinesia', 'agitation', 'pulmonary function test decreased', 'respiratory depression', 'thirst', 'disorientation', 'somnolence', 'stinging', 'endophthalmitis', 'eye discharge', 'mental aberration', 'conjunctivitis', 'drug effect prolonged', 'ataxia', 'eye disorder', 'anhidrosis', 'feeling abnormal', 'abdominal distension', 'trisomy 21', 'brain injury', 'vasodilation', 'bladder distension', 'bladder dilatation', 'vision blurred', 'hallucination', 'incoherent', 'eye irritation', 'pain', 'flushing', 'convulsion', 'eye pain', 'intraocular pressure increased', 'nervous system disorder', 'mental disorder']",54.0,,,,,,,,,,,,,,,,,,
Find all mild moderate toxicities of homatropine,severity_filtered,homatropine,mild_moderate,['tachycardia'],1.0,,,,,,,,,,,,,,,,,,
Find all mild toxicities of homatropine,severity_filtered,homatropine,mild,['rash'],1.0,,,,,,,,,,,,,,,,,,
Show fatal reactions to eplerenone,severity_filtered,eplerenone,fatal,['sudden death'],1.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of eplerenone,severity_filtered,eplerenone,life_threatening,['gynaecomastia'],1.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of eplerenone,severity_filtered,eplerenone,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
List moderate adverse events of eplerenone,severity_filtered,eplerenone,moderate,"['upper respiratory tract infection', 'oedema peripheral', 'depression', 'red blood cell disorders', 'dermatitis', 'musculoskeletal discomfort', 'loss of consciousness', 'blood urea increased', 'hypoaesthesia', 'angioedema', 'pulmonary oedema', 'blood triglycerides increased', 'dyspnoea', 'influenza like illness', 'dehydration', 'acute coronary syndrome', 'gastrointestinal disorder', 'endocrine disorder', 'serum potassium increased', 'hyponatraemia', 'vaginal haemorrhage', 'blood creatine phosphokinase increased', 'aspartate aminotransferase increased', 'cardiovascular disorder', 'ill-defined disorder', 'serum creatinine increased', 'gastrointestinal pain', 'blood creatinine increased', 'flushing', 'mental disorder', 'urine analysis abnormal', 'angina unstable', 'hepatobiliary disease', 'infestation nos', 'body temperature increased', 'left ventricular failure', 'muscle spasms', 'cardiac disorder', 'diabetes mellitus', 'gastrooesophageal reflux disease', 'ventricular arrhythmia', 'blood uric acid increased', 'asthenia', 'arthralgia', 'eosinophilia', 'dyspepsia', 'cholecystitis', 'creatinine increased', 'hyperglycaemia', 'malnutrition', 'orthostatic hypotension', 'skin disorder', 'angiopathy', 'haematuria', 'blood and lymphatic system disorders', 'angina pectoris', 'pain', 'prothrombin level decreased', 'myalgia', 'hypotension', 'hyperuricaemia', 'renal impairment', 'infestation', 'infection', 'cough', 'function kidney decreased', 'epidermal growth factor receptor decreased', 'unspecified disorder of skin and subcutaneous tissue', 'urinary tract infection', 'tinnitus', 'breast pain', 'urine abnormality', 'blood potassium increased', 'flatulence', 'hyperbilirubinaemia', 'kidney function abnormal', 'autonomic neuropathy', 'hypertriglyceridaemia', 'hyperkalaemia', 'gamma-glutamyltransferase increased', 'neuropathy peripheral', 'libido decreased', 'urinary tract disorder', 'chest pain', 'cerebrovascular disorder', 'albuminuria', 'protein urine present', 'nervous system disorder', 'pneumonia', 'vomiting', 'hypokalaemia', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'mediastinal disorder', 'cholesterol serum elevated', 'hyperhidrosis', 'creatine phosphokinase increased', 'coronary artery disease', 'electrocardiogram abnormal', 'anaemia', 'blood glucose increased', 'pharyngitis', 'hypercholesterolaemia', 'unspecified disorder of autonomic nervous system', 'blood cholesterol increased', 'feeling abnormal', 'influenza-like symptoms', 'discomfort', 'serum triglycerides increased', 'syncope', 'menstrual disorder', 'hypothyroidism', 'connective tissue disorder', 'back pain', 'musculoskeletal pain', 'disturbance in sexual arousal', 'bronchitis', 'malaise', 'atrial fibrillation', 'diarrhoea', 'renal failure', 'abdominal pain']",123.0,,,,,,,,,,,,,,,,,,
List mild moderate adverse events of eplerenone,severity_filtered,eplerenone,mild_moderate,"['proteinuria', 'ventricular tachycardia']",2.0,,,,,,,,,,,,,,,,,,
What mild side effects does eplerenone cause?,severity_filtered,eplerenone,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'insomnia']",8.0,,,,,,,,,,,,,,,,,,
List fatal adverse events of doxepin,severity_filtered,doxepin,fatal,['cardiac death'],1.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of doxepin,severity_filtered,doxepin,life_threatening,"['glaucoma', 'gynaecomastia']",2.0,,,,,,,,,,,,,,,,,,
What severe side effects does doxepin cause?,severity_filtered,doxepin,severe,['sleep paralysis'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to doxepin,severity_filtered,doxepin,moderate,"['hypersensitivity', 'upper respiratory tract infection', 'hypermagnesaemia', 'menopausal symptoms', 'folliculitis', 'oedema peripheral', 'hearing impaired', 'lung adenocarcinoma stage i', 'breast disorder', 'diplopia', 'cyst', 'gait disturbance', 'presyncope', 'dermatitis', 'tingling sensation', 'musculoskeletal discomfort', 'loss of consciousness', 'weight increased', 'respiratory depression', 'dyskinesia', 'anorexia', 'gingival recession', 'stinging', 'jaundice', 'ventricular extrasystoles', 'hypomania', 'hypoaesthesia', 'chills', 'skin irritation', 'ataxia', 'application site reaction', 'hypoaesthesia oral', 'nasopharyngeal disorder', 'dyspnoea', 'sweating', 'joint sprain', 'rales', 'enuresis', 'hypertension', 'gastrointestinal disorder', 'dysgeusia', 'tympanic membrane perforation', 'lacrimation decreased', 'pharyngolaryngeal pain', 'wheezing', 'ear and labyrinth disorders', 'nervousness', 'sensation of heaviness', 'jaundice cholestatic', 'ill-defined disorder', 'vision blurred', 'motion sickness', 'viral diarrhoea', 'gastrointestinal pain', 'vascular purpura', 'flushing', 'infective tenosynovitis', 'apnoea', 'suicide', 'disturbance in attention', 'nocturia', 'eye infection', 'mental disorder', 'haematoma', 'pancytopenia', 'adenitis', 'blepharospasm', 'testicular swelling', 'qrs axis abnormal', 'erectile dysfunction', 'breast cyst', 'rhinorrhoea', 'lymphadenitis', 'vertigo', 'hyperpyrexia', 'thinking abnormal', 'aggression', 'hepatobiliary disease', 'infestation nos', 'pharyngeal disorder', 'drowsiness', 'body temperature increased', 'lethargy', 'back injury', 'confusional state', 'muscle spasms', 'cardiac disorder', 'adjustment disorder', 'delusion', 'nasopharyngitis', 'cold sweat', 'gastrooesophageal reflux disease', 'agitation', 'erythema', 'ageusia', 'thrombocytopenia', 'haemolytic anaemia', 'asthenia', 'palpitations', 'elevated mood', 'skin laceration', 'arthralgia', 'eosinophilia', 'dyspepsia', 'hepatitis', 'excitement', 'parotid gland enlargement', 'pollakiuria', 'abnormal dreams', 'mental disability', 'thrombocytosis', 'sinusitis', 'malnutrition', 'ileus paralytic', 'extrapyramidal symptoms', 'drug withdrawal syndrome', 'skin disorder', 'angiopathy', 'aspiration', 'blood and lymphatic system disorders', 'leukopenia', 'cerebration impaired', 'blood pressure increased', 'pain', 'myalgia', 'electrocardiogram st-t segment abnormal', 'aggressive reaction', 'arrhythmia', 'hypotension', 'dysmenorrhoea', 'urinary retention', 'suicide attempt', 'orofacial dyskinesia', 'infestation', 'herpes zoster', 'cramp muscle', 'psychotic disorder', 'joint range of motion decreased', 'infection', 'ocular hyperaemia', 'numbness of tongue', 'drug fever', 'cough', 'blood pressure inadequately controlled', 'haematochezia', 'eczema', 'influenza', 'allergic contact dermatitis', 'unspecified disorder of skin and subcutaneous tissue', 'neck pain', 'urinary tract infection', 'anxiety', 'sinus congestion', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'extrapyramidal disorder', 'taste peculiar', 'accommodation disorder', 'somnolence', 'parotid swelling', 'cellulitis staphylococcal', 'lacrimation increased', 'tremor', 'polyp', 'paraesthesia', 'numbness', 'atrioventricular block', 'ear pain', 'eye disorder', 'flatulence', 'purpura', 'pain in extremity', 'galactorrhoea', 'hyperbilirubinaemia', 'hyperkalaemia', 'neuropathy peripheral', 'libido decreased', 'decreased appetite', 'aphthous stomatitis', 'urinary tract disorder', 'petechiae', 'lower respiratory tract infection', 'mydriasis', 'chest pain', 'fracture', 'lacrimation', 'menstruation irregular', 'transaminases increased', 'onychomycosis', 'exacerbation of asthma', 'electrocardiogram change', 'haemoglobinuria', 'alopecia', 'tension', 'eye pain', 'eye redness', 'nervous system disorder', 'fungal infection', 'pneumonia', 'laryngitis', 'vomiting', 'lip blister', 'increased appetite', 'hypokalaemia', 'urethral disorder', 'electrocardiogram qrs complex abnormal', 'shock', 'alanine aminotransferase increased', 'cerebrovascular accident', 'mediastinal disorder', 'breast enlargement', 'immune system disorder', 'syncope vasovagal', 'stomatitis', 'agranulocytosis', 'nasal congestion', 'hyperhidrosis', 'oedema', 'neoplasm', 'dysuria', 'pallor', 'urticaria', 'bone marrow depression', 'pulmonary function test decreased', 'laryngeal pain', 'viral infection', 'asthma', 'deafness', 'anaemia', 'disorientation', 'blood glucose increased', 'pharyngitis', 'ligament sprain', 'laceration', 'epigastric distress', 'migraine', 'feeling abnormal', 'tooth infection', 'discomfort', 'hot flush', 'neutrophil count decreased', 'syncope', 'withdrawal symptom', 'tardive dyskinesia', 'connective tissue disorder', 'back pain', 'malignant melanoma', 'sensory loss', 'rosacea', 'appetite exaggerated', 'gastroenteritis', 'hallucination', 'disturbance in sexual arousal', 'bronchitis', 'nightmare', 'malaise', 'convulsion', 'completed suicide', 'dermatitis contact', 'diarrhoea', 'paresthesia of limbs', 'abdominal pain', 'multiple fractures']",263.0,,,,,,,,,,,,,,,,,,
Find all mild moderate toxicities of doxepin,severity_filtered,doxepin,mild_moderate,"['bradycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
Show mild reactions to doxepin,severity_filtered,doxepin,mild,"['dizziness', 'pruritus', 'headache', 'transient insomnia', 'fatigue', 'constipation', 'rash', 'chronic insomnia', 'nausea', 'dry mouth', 'insomnia']",11.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of methylene,severity_filtered,methylene,life_threatening,['anaphylactic shock'],1.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of methylene,severity_filtered,methylene,severe,['cardiac arrest'],1.0,,,,,,,,,,,,,,,,,,
List moderate adverse events of methylene,severity_filtered,methylene,moderate,"['vomiting', 'hypersensitivity', 'hypotension', 'urethral disorder', 'hypoxia', 'thrombophlebitis', 'mediastinal disorder', 'aphasia', 'mucosal inflammation', 'effusion', 'immune system disorder', 'necrosis', 'body temperature increased', 'hyperhidrosis', 'confusional state', 'dermatitis', 'cardiac disorder', 'dysuria', 'urticaria', 'injection site reaction', 'agitation', 'unspecified disorder of skin and subcutaneous tissue', 'haemolytic anaemia', 'anxiety', 'fat necrosis', 'asthenia', 'digestion impaired', 'tremor', 'extravasation', 'serotonin syndrome', 'haemoglobin decreased', 'glucose-6-phosphate dehydrogenase deficiency', 'chills', 'dyspepsia', 'eye disorder', 'dyspnoea', 'sweating', 'skin discolouration', 'feeling abnormal', 'hyperbilirubinaemia', 'hypertension', 'gastrointestinal disorder', 'mucosal ulceration', 'skin disorder', 'sweating increased', 'angiopathy', 'tachypnoea', 'precordial pain', 'urinary tract disorder', 'arrhythmia', 'blood and lymphatic system disorders', 'macule', 'mydriasis', 'chest pain', 'gastrointestinal pain', 'haemolysis', 'pain', 'diarrhoea', 'nervous system disorder', 'abdominal pain', 'mental disorder', 'pain burning']",62.0,,,,,,,,,,,,,,,,,,
List mild moderate adverse events of methylene,severity_filtered,methylene,mild_moderate,['tachycardia'],1.0,,,,,,,,,,,,,,,,,,
List mild adverse events of methylene,severity_filtered,methylene,mild,"['dizziness', 'pruritus', 'headache', 'rash', 'nausea']",5.0,,,,,,,,,,,,,,,,,,
List life threatening adverse events of amitriptyline,severity_filtered,amitriptyline,life_threatening,"['coma', 'gynaecomastia']",2.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of amitriptyline,severity_filtered,amitriptyline,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
Find all moderate toxicities of amitriptyline,severity_filtered,amitriptyline,moderate,"['dermatitis', 'tingling sensation', 'mental status changes', 'loss of consciousness', 'weight increased', 'black hairy tongue', 'dyskinesia', 'anorexia', 'jaundice', 'hypomania', 'hypoaesthesia', 'serotonin syndrome', 'ataxia', 'torsade de pointes', 'antinuclear antibody positive', 'hypertension', 'acute coronary syndrome', 'dysgeusia', 'sweating increased', 'ill-defined disorder', 'sleep disturbance', 'conduction disorder', 'vision blurred', 'vascular purpura', 'disturbance in attention', 'intraocular pressure increased', 'pancytopenia', 'testicular swelling', 'erectile dysfunction', 'hyperpyrexia', 'coordination abnormal', 'drowsiness', 'body temperature increased', 'confusional state', 'delusion', 'ageusia', 'agitation', 'sleep disorder', 'thrombocytopenia', 'asthenia', 'palpitations', 'eosinophilia', 'excitement', 'dyspepsia', 'hepatitis', 'parotid gland enlargement', 'abnormal involuntary movements', 'pollakiuria', 'mental disability', 'cardiomyopathy', 'ileus paralytic', 'extrapyramidal symptoms', 'orthostatic hypotension', 'drug withdrawal syndrome', 'irritability', 'leukopenia', 'cerebration impaired', 'electrocardiogram qt prolonged', 'arrhythmia', 'bundle branch block', 'hypotension', 'urinary retention', 'dysarthria', 'anxiety', 'inappropriate antidiuretic hormone secretion', 'tinnitus', 'extrapyramidal disorder', 'taste peculiar', 'accommodation disorder', 'somnolence', 'parotid swelling', 'tremor', 'paraesthesia', 'numbness', 'atrioventricular block', 'purpura', 'galactorrhoea', 'arthritis', 'neuropathy peripheral', 'electrocardiogram qt corrected interval prolonged', 'libido decreased', 'decreased appetite', 'block heart', 'mydriasis', 'alopecia', 'electrocardiogram qrs complex', 'vomiting', 'hepatic failure', 'shock', 'lupus-like syndrome', 'cerebrovascular accident', 'breast enlargement', 'stomatitis', 'agranulocytosis', 'osteoarthritis', 'hyperhidrosis', 'oedema', 'tongue discolouration', 'urticaria', 'bone marrow depression', 'disorientation', 'epigastric distress', 'qrs complex', 'neuroleptic malignant syndrome', 'feeling abnormal', 'discomfort', 'syncope', 'muscle rigidity', 'withdrawal symptom', 'tardive dyskinesia', 'sensory loss', 'ventricular fibrillation', 'hallucination', 'disturbance in sexual arousal', 'nightmare', 'malaise', 'convulsion', 'mania', 'diarrhoea', 'paresthesia of limbs']",120.0,,,,,,,,,,,,,,,,,,
Show mild moderate reactions to amitriptyline,severity_filtered,amitriptyline,mild_moderate,"['ventricular tachycardia', 'tachycardia']",2.0,,,,,,,,,,,,,,,,,,
List mild adverse events of amitriptyline,severity_filtered,amitriptyline,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
What fatal side effects does trifluoperazine cause?,severity_filtered,trifluoperazine,fatal,['sudden death'],1.0,,,,,,,,,,,,,,,,,,
What life threatening side effects does trifluoperazine cause?,severity_filtered,trifluoperazine,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'gynaecomastia']",3.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of trifluoperazine,severity_filtered,trifluoperazine,severe,['cardiac arrest'],1.0,,,,,,,,,,,,,,,,,,
Find all moderate toxicities of trifluoperazine,severity_filtered,trifluoperazine,moderate,"['hypersensitivity', 'petit mal epilepsy', 'pseudoparkinsonism', 'keratopathy', 'oedema peripheral', 'systemic lupus erythematosus', 'gait disturbance', 'dermatitis', 'weight increased', 'edema cerebral', 'dyskinesia', 'anorexia', 'blood disorder', 'jaundice', 'cholestasis', 'glycosuria', 'angioedema', 'pill rolling', 'dyspnoea', 'carpo-pedal spasm', 'laryngeal oedema', 'corneal deposits', 'tetany', 'torsade de pointes', 'thrombocytopenic purpura', 'photosensitivity', 'protrusion tongue', 'colon atonic', 'nervousness', 'hepatocellular injury', 'dermatitis exfoliative', 'catatonia', 'vision blurred', 'retinal disorder', 'opisthotonus', 'feeling jittery', 'pancytopenia', 'erectile dysfunction', 'hyperpyrexia', 'drowsiness', 'body temperature increased', 'muscle spasms', 'agitation', 'erythema', 'ventricular arrhythmia', 'haemolytic anaemia', 'asthenia', 'priapism', 'aplastic anaemia', 'eosinophilia', 'trismus', 'hyperglycaemia', 'ileus paralytic', 'extrapyramidal symptoms', 'throat tightness', 'megacolon', 'skin disorder', 'parkinsonian rest tremor', 'brain injury', 'bronchospasm', 'torticollis', 'leukopenia', 'liver injury', 'motor restlessness', 'ileus', 'pigmentation disorder', 'oculogyric crisis', 'hypotension', 'movements involuntary', 'urinary retention', 'orofacial dyskinesia', 'cough', 'dysphagia', 'eczema', 'asphyxia', 'extrapyramidal disorder', 'somnolence', 'hypoglycaemia', 'tremor', 'galactorrhoea', 'decreased appetite', 'mydriasis', 'menstruation irregular', 'increased appetite', 'hyperreflexia', 'lupus-like syndrome', 'akathisia', 'pigmentation skin', 'photosensitivity reaction', 'agranulocytosis', 'nasal congestion', 'brain oedema', 'urticaria', 'drooling', 'asthma', 'pregnancy test false positive', 'masked facies', 'miosis', 'parkinsonism', 'neuroleptic malignant syndrome', 'muscle rigidity', 'amenorrhoea', 'obstipation', 'cogwheel rigidity', 'muscular weakness', 'convulsion', 'gait shuffling']",107.0,,,,,,,,,,,,,,,,,,
Find all mild toxicities of trifluoperazine,severity_filtered,trifluoperazine,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of gadoteridol,severity_filtered,gadoteridol,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction']",2.0,,,,,,,,,,,,,,,,,,
Find all severe toxicities of gadoteridol,severity_filtered,gadoteridol,severe,['cardiac arrest'],1.0,,,,,,,,,,,,,,,,,,
List moderate adverse events of gadoteridol,severity_filtered,gadoteridol,moderate,"['hypersensitivity', 'abdominal cramps', 'vomiting', 'hypotension', 'tingling sensation', 'face oedema', 'shock', 'tongue disorder', 'body temperature increased', 'cough', 'tongue oedema', 'hyperhidrosis', 'oedema', 'nodal rhythm', 'dysphagia', 'dermatitis', 'injection site reaction', 'urticaria', 'injection site pain', 'laryngospasm', 'electrocardiogram pr prolongation', 'musculoskeletal stiffness', 'erythema', 'loss of consciousness', 'nephrogenic systemic fibrosis', 'anxiety', 'tinnitus', 'lacrimation increased', 'tremor', 'paraesthesia', 'gingivitis', 'salivary hypersecretion', 'dyspnoea', 'sweating', 'urinary incontinence', 'laryngeal oedema', 'feeling abnormal', 'discomfort', 'hypertension', 'dysgeusia', 'syncope', 'cyanosis', 'wheezing', 'diarrhoea', 'stupor', 'deafness transitory', 'staring', 'rhinitis', 'depressed level of consciousness', 'cardiovascular disorder', 'chest pain', 'ill-defined disorder', 'tearing eyes', 'loose stools', 'neck stiffness', 'flushing', 'pain', 'apnoea', 'convulsion', 'generalised oedema', 'nuchal rigidity', 'fluid retention', 'malaise', 'abdominal pain']",64.0,,,,,,,,,,,,,,,,,,
List mild moderate adverse events of gadoteridol,severity_filtered,gadoteridol,mild_moderate,['bradycardia'],1.0,,,,,,,,,,,,,,,,,,
List mild adverse events of gadoteridol,severity_filtered,gadoteridol,mild,"['dizziness', 'pruritus', 'headache', 'rash', 'rash macular', 'rash maculo-papular', 'nausea', 'dry mouth']",8.0,,,,,,,,,,,,,,,,,,
List life threatening adverse events of apixaban,severity_filtered,apixaban,life_threatening,['anaphylactic shock'],1.0,,,,,,,,,,,,,,,,,,
Show severe reactions to apixaban,severity_filtered,apixaban,severe,['haemorrhagic stroke'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to apixaban,severity_filtered,apixaban,moderate,"['hypersensitivity', 'haemorrhagic anaemia', 'traumatic haematoma', 'breast disorder', 'gastrointestinal haemorrhage', 'dermatitis', 'melaena', 'loss of consciousness', 'metrorrhagia', 'subdural haematoma', 'respiratory tract haemorrhage', 'post procedural haemorrhage', 'periorbital haematoma', 'gastrointestinal disorder', 'vaginal haemorrhage', 'aspartate aminotransferase increased', 'liver function test abnormal', 'blood urine', 'haematoma', 'intra-abdominal haemorrhage', 'cerebral haemorrhage', 'hepatobiliary disease', 'urethral haemorrhage', 'retroperitoneal haemorrhage', 'diabetes mellitus', 'gingival bleeding', 'thrombocytopenia', 'wound haemorrhage', 'incision site haemorrhage', 'drug hypersensitivity', 'genital haemorrhage', 'pulmonary alveolar haemorrhage', 'haematemesis', 'skin disorder', 'laryngeal haemorrhage', 'angiopathy', 'haemoglobin', 'haematuria', 'blood and lymphatic system disorders', 'occult blood positive', 'urogenital haemorrhage', 'vessel puncture site haematoma', 'eye haemorrhage', 'retinal haemorrhage', 'procedural haemorrhage', 'alanine aminotransferase abnormal', 'hypotension', 'mouth haemorrhage', 'pharyngeal haemorrhage', 'compartment syndrome', 'haematochezia', 'unspecified disorder of skin and subcutaneous tissue', 'haemorrhoidal haemorrhage', 'application site haemorrhage', 'eye disorder', 'spinal cord haemorrhage', 'allergic oedema', 'gamma-glutamyltransferase increased', 'post procedural haematoma', 'conjunctival haemorrhage', 'haemorrhage', 'epistaxis', 'urinary tract disorder', 'petechiae', 'transaminases increased', 'incision site haematoma', 'menorrhagia', 'ecchymosis', 'intraoperative hemorrhage', 'blood urine present', 'nervous system disorder', 'haemorrhage intracranial', 'blood alkaline phosphatase increased', 'urethral disorder', 'shock', 'alanine aminotransferase increased', 'muscle haemorrhage', 'mediastinal disorder', 'immune system disorder', 'injection site haematoma', 'procedural hypotension', 'anaemia', 'blood bilirubin increased', 'spinal haematoma', 'rectal haemorrhage', 'intraspinal bleeding', 'contusion', 'anal haemorrhage', 'traumatic haemorrhage', 'wound secretion', 'subarachnoid haemorrhage', 'syncope', 'haemoptysis', 'connective tissue disorder', 'menometrorrhagia', 'catheter site haemorrhage', 'skin haemorrhage']",97.0,,,,,,,,,,,,,,,,,,
What mild side effects does apixaban cause?,severity_filtered,apixaban,mild,"['dizziness', 'nausea', 'rash']",3.0,,,,,,,,,,,,,,,,,,
Find all life threatening toxicities of nabumetone,severity_filtered,nabumetone,life_threatening,"['anaphylactic shock', 'anaphylactoid reaction', 'stevens-johnson syndrome', 'toxic epidermal necrolysis']",4.0,,,,,,,,,,,,,,,,,,
List severe adverse events of nabumetone,severity_filtered,nabumetone,severe,['myocardial infarction'],1.0,,,,,,,,,,,,,,,,,,
Show moderate severe reactions to nabumetone,severity_filtered,nabumetone,moderate_severe,['pancreatitis'],1.0,,,,,,,,,,,,,,,,,,
Show moderate reactions to nabumetone,severity_filtered,nabumetone,moderate,"['hypersensitivity', 'depression', 'vasculitis', 'eructation', 'gastrointestinal haemorrhage', 'gastric ulcer', 'nephrotic syndrome', 'dermatitis', 'melaena', 'loss of consciousness', 'weight increased', 'anorexia', 'jaundice', 'angioedema', 'chills', 'duodenal ulcer', 'dyspnoea', 'hypertension', 'acute coronary syndrome', 'eosinophilic pneumonia', 'photosensitivity', 'vaginal haemorrhage', 'sweating increased', 'nervousness', 'nephritis interstitial', 'jaundice cholestatic', 'ill-defined disorder', 'liver function test abnormal', 'gastrointestinal pain', 'nephrolithiasis', 'erectile dysfunction', 'vertigo', 'abnormal vision', 'glossitis', 'body temperature increased', 'tubulointerstitial nephritis', 'calculus of kidney', 'confusional state', 'agitation', 'thrombocytopenia', 'blood uric acid increased', 'asthenia', 'aplastic anaemia', 'palpitations', 'bullous eruption', 'azotaemia', 'dyspepsia', 'hyperglycaemia', 'haemoglobin', 'haematuria', 'occult blood positive', 'leukopenia', 'developmental delay', 'angina pectoris', 'arrhythmia', 'visual impairment', 'hyperuricaemia', 'thrombophlebitis', 'acne', 'weight decreased', 'cough', 'dysphagia', 'duodenitis', 'congenital anomaly', 'anxiety', 'tinnitus', 'nephritic syndrome', 'somnolence', 'tremor', 'paraesthesia', 'gingivitis', 'interstitial lung disease', 'peptic ulcer', 'flatulence', 'decreased appetite', 'haemorrhage', 'tension', 'alopecia', 'albuminuria', 'pneumonia', 'vomiting', 'hepatic failure', 'increased appetite', 'hypokalaemia', 'shock', 'photosensitivity reaction', 'erythema multiforme', 'stomatitis', 'agranulocytosis', 'hyperhidrosis', 'oedema', 'dysuria', 'urticaria', 'pseudoporphyria', 'asthma', 'gastritis', 'anaemia', 'rectal haemorrhage', 'dermatitis bullous', 'feeling abnormal', 'discomfort', 'syncope', 'interstitial pneumonia', 'raised liver function tests', 'gastroenteritis', 'faecal occult blood positive', 'alveolitis allergic', 'nightmare', 'taste disorders', 'malaise', 'diarrhoea', 'renal failure', 'abdominal pain']",113.0,,,,,,,,,,,,,,,,,,
Show mild reactions to nabumetone,severity_filtered,nabumetone,mild,"['dizziness', 'pruritus', 'headache', 'fatigue', 'constipation', 'rash', 'nausea', 'dry mouth', 'insomnia']",9.0,,,,,,,,,,,,,,,,,,
Show fatal reactions to fty720,severity_filtered,fty720,fatal,"['fatal outcomes', 'death']",2.0,,,,,,,,,,,,,,,,,,
Show severe reactions to fty720,severity_filtered,fty720,severe,"['haemorrhagic stroke', 'cardiac arrest']",2.0,,,,,,,,,,,,,,,,,,
