query,query_type,drug,ground_truth_side_effects,num_side_effects
What are the side effects of rimonabant?,reverse,rimonabant,"['gastrointestinal pain', 'tremor', 'abdominal discomfort', 'gastrointestinal disorder', 'disturbance in attention', 'dermatitis', 'psychotic disorder', 'sciatica', 'memory loss', 'paraesthesia', 'hot flush', 'contusion', 'hyperhidrosis', 'decreased appetite', 'headache', 'tendonitis', 'angiopathy', 'joint sprain', 'irritability', 'anger', 'anorexia', 'pruritus', 'upper respiratory tract infection', 'diarrhoea', 'ligament sprain', 'menopausal symptoms', 'mediastinal disorder', 'anxiety', 'amnesia', 'depression', 'hallucination', 'mood swings', 'mood alteration nos', 'skin disorder', 'depressive disorder', 'unspecified disorder of skin and subcutaneous tissue', 'fatigue', 'delusion', 'vomiting', 'dysthymic disorder', 'lethargy', 'hiccups', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'dry mouth', 'convulsion', 'emotional disorder', 'aggression', 'dysphoria', 'dizziness', 'nervousness', 'suicidal ideation', 'abdominal pain', 'hypoglycaemia', 'insomnia', 'upset stomach', 'sleep disorder', 'malnutrition', 'influenza', 'mental disorder', 'gastroenteritis', 'nervous system disorder', 'sinusitis', 'tension', 'paranoia', 'rash', 'connective tissue disorder', 'night sweats', 'infection', 'parasomnia', 'hypoaesthesia', 'depressive symptom', 'metabolic disorder', 'mood alterations with depressive symptoms', 'infestation nos', 'infestation', 'panic reaction']",79
List all side effects of alx,reverse,alx,"['diarrhoea', 'nervous system disorder', 'parosmia', 'gastrointestinal pain', 'cardiac disorder', 'asthenia', 'cramp muscle', 'gastrointestinal disorder', 'urine calcium increased', 'muscle spasms', 'nausea', 'blood uric acid increased', 'connective tissue disorder', 'dyspepsia', 'hyperuricaemia', 'hypercalciuria', 'infection', 'arthralgia', 'palpitations', 'nephrolithiasis', 'decreased appetite', 'urethral disorder', 'musculoskeletal discomfort', 'headache', 'dizziness', 'urinary tract disorder', 'pain in extremity', 'constipation', 'blood alkaline phosphatase increased', 'fatigue', 'back pain', 'abdominal pain', 'anorexia', 'injection site irritation', 'hypercalcaemia', 'gout', 'infestation nos', 'infestation', 'malnutrition', 'vomiting', 'dysgeusia', 'injection site erythema', 'influenza']",43
List all side effects of danazol,reverse,danazol,"['tremor', 'dermatitis', 'fluid retention', 'migraine', 'paraesthesia', 'syncope', 'joint lock', 'arthralgia', 'weight increased', 'palpitations', 'hyperhidrosis', 'chills', 'epigastric pain', 'photosensitivity reaction', 'headache', 'interstitial pneumonia', 'benign intracranial hypertension', 'irritability', 'carpal tunnel syndrome', 'pruritus', 'erythrocytosis', 'vertigo', 'oropharyngeal discomfort', 'visual impairment', 'nasal congestion', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'blood insulin increased', 'pancreatitis', 'joint swelling', 'leukocytosis', 'vision blurred', 'laboratory test abnormal', 'anxiety', 'hoarseness', 'jaundice', 'thrombosis', 'alopecia', 'hyperinsulinism', 'peliosis hepatis', 'pelvic pain', 'mood swings', 'haematuria', 'affect lability', 'musculoskeletal discomfort', 'haemoglobin', 'constipation', 'fatigue', 'hirsutism', 'vulvovaginal dryness', 'flushing', 'acute coronary syndrome', 'breast discharge', 'dysphonia', 'vomiting', ""bartholin's cyst"", 'body temperature increased', 'throat sore', 'hepatic adenoma', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'convulsion', 'dyspepsia', 'erythema multiforme', 'loss of consciousness', 'seborrhoeic dermatitis', 'pleuritic pain', 'dizziness', 'oropharyngeal pain', 'urticaria', 'acne', 'nervousness', 'hepatic function abnormal', 'haemorrhage', 'hepatic neoplasm', 'pigmentation skin', 'polycythaemia', 'guillain-barre syndrome', 'splenic peliosis', 'myocardial infarction', 'sleep disorder', 'tachycardia', 'sweating', 'gastroenteritis', 'arterial thrombosis', 'leukopenia', 'jaundice cholestatic', 'interstitial lung disease', 'tension', 'rash', 'hypertrophy', 'amenorrhoea', 'eosinophilia', 'cataract', 'thrombocytopenia', 'tremor muscle', 'gingival bleeding', 'abdominal pain upper', 'back pain', 'photosensitivity', 'testicular atrophy', 'vaginal dryness', 'epilepsy', 'visual disturbance', 'pigmentation disorder', 'nodule']",110
List all side effects of aspirin,reverse,aspirin,"['somnolence', 'liver disorder', 'clotting', 'ulcer', 'peptic ulcer', 'varicella', 'heartburn', 'diuresis', 'dermatitis', 'hypokalaemia', 'agitation', 'epigastric discomfort', 'syncope', 'arthralgia', 'flu symptoms', 'melaena', 'contusion', 'foetor hepaticus', 'hyperhidrosis', 'renal impairment', 'purpura', 'gastrointestinal haemorrhage', 'pruritus', 'vertigo', ""reye's syndrome"", 'gout', 'tinnitus', 'hypertension', 'shock', 'thirst', 'anaemia', 'diarrhoea', 'anaphylactic shock', 'diabetic', 'lightheadedness', 'coma', 'chest discomfort', 'diabetes mellitus', 'polyuria', 'hepatocellular injury', 'breast feeding', 'haemoglobin', 'kidney function abnormal', 'haemorrhagic disorder', 'respiratory failure', 'haematemesis', 'flushing', 'hypersensitivity', 'vomiting', 'blood cholesterol increased', 'asthma', 'nausea', 'convulsion', 'dyspepsia', 'angioedema', 'loss of consciousness', 'metabolic acidosis', 'hepatotoxicity', 'dyspnoea', 'dizziness', 'vascular purpura', 'eruption', 'urticaria', 'arthritic pains', 'haemorrhage', 'hearing impaired', 'hypoglycaemia', 'respiratory alkalosis', 'acidemia', 'excitement', 'tachycardia', 'sweating', 'influenza', 'confusional state', 'leukopenia', 'gastric irritation', 'feeling abnormal', 'rash', 'ear buzzing', 'deafness', 'chest pain', 'drowsiness', 'thrombocytopenia', 'coagulopathy', 'acidosis', 'high cholesterol']",86
What are the side effects of enfuvirtide?,reverse,enfuvirtide,"['sickness', 'hyperglycaemia', 'gastrointestinal pain', 'myalgia', 'tremor', 'gastrointestinal disorder', 'cough', 'disturbance in attention', 'dermatitis', 'pneumonia bacterial', 'paraesthesia', 'folliculitis', 'dry skin', 'arthralgia', 'renal failure', 'contusion', 'hyperhidrosis', 'chills', 'decreased appetite', 'headache', 'calculus of kidney', 'cellulitis', 'induration', 'disability', 'pain in extremity', 'irritability', 'weight decreased', 'lymphadenopathy', 'neuropathy peripheral', 'renal impairment', 'anorexia', 'pruritus', 'vith nerve paralysis', 'type iii immune complex mediated reaction', 'vertigo', 'oropharyngeal discomfort', 'nasal congestion', 'candida infection', 'dysgeusia', 'diarrhoea', 'immune complex reaction', 'pain', 'pancreatitis', 'instillation site pain', 'anaphylactic shock', 'discomfort', 'blood disorder', 'mediastinal disorder', 'gastrooesophageal reflux disease', 'anxiety', 'influenza like illness', 'lipase increased', 'ear infection', 'immune system disorder', 'diabetes mellitus', 'depression', 'oral candidiasis', 'ecchymosis', 'bronchopneumonia', 'haematuria', 'musculoskeletal discomfort', 'gamma-glutamyltransferase increased', 'skin disorder', 'neuralgia', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angina pectoris', 'application site pain', 'constipation', 'amylase increased', 'haematoma', 'acquired immunodeficiency syndrome', 'fatigue', 'angina unstable', 'sweating increased', 'hypersensitivity', 'glomerulonephritis', 'vomiting', 'hepatitis toxic', 'blood triglycerides increased', 'body temperature increased', 'pneumonia', 'throat sore', 'administration site infection', 'bone disorder', 'cardiac disorder', 'asthenia', 'cramp muscle', 'muscle spasms', 'nausea', 'injection site reaction', 'dry mouth', 'aspartate aminotransferase increased', 'eye disorder', 'nightmare', 'nephrolithiasis', 'seborrhoeic dermatitis', 'urethral disorder', 'hepatic steatosis', 'dizziness', 'inflammation', 'autoimmune disorder', 'opportunistic infection', 'respiratory distress', 'oropharyngeal pain', 'acne', 'cyst', 'pain nerve', 'sepsis', 'conjunctivitis', 'skin papilloma', 'ear and labyrinth disorders', 'abdominal pain', 'guillain-barre syndrome', 'hepatobiliary disease', 'insomnia', 'malnutrition', 'herpes simplex', 'neutropenia', 'influenza', 'injection site pain', 'mental disorder', 'blood and lymphatic system disorders', 'nervous system disorder', 'abscess', 'sinusitis', 'rash', 'night sweats', 'infection', 'hypoaesthesia', 'rigors', 'tenderness', 'eosinophilia', 'thrombocytopenia', 'erythema', 'renal tubular necrosis', 'malaise', 'suicide attempt', 'urinary tract disorder', 'abdominal pain upper', 'back pain', 'injection site infection', 'hypertriglyceridaemia', 'infestation nos', 'infestation', 'nodule']",146
Show me side effects associated with roflumilast,reverse,roflumilast,"['diarrhoea', 'mental disorder', 'nervous system disorder', 'pneumonia', 'pancreatitis acute', 'lung neoplasm malignant', 'gastrointestinal pain', 'myalgia', 'carcinoma of lung', 'sinusitis', 'discomfort', 'cardiac disorder', 'mediastinal disorder', 'asthenia', 'tremor', 'gastrointestinal disorder', 'muscle spasms', 'gastrooesophageal reflux disease', 'tension', 'nausea', 'anxiety', 'dermatitis', 'feeling abnormal', 'rash', 'dysgeusia', 'connective tissue disorder', 'dyspepsia', 'completed suicide', 'infection', 'immune system disorder', 'angioedema', 'depression', 'renal failure acute', 'atrial fibrillation', 'palpitations', 'haematochezia', 'decreased appetite', 'gamma-glutamyltransferase increased', 'skin disorder', 'headache', 'dizziness', 'urinary tract infection', 'musculoskeletal discomfort', 'unspecified disorder of skin and subcutaneous tissue', 'malaise', 'gynaecomastia', 'prostate cancer', 'urticaria', 'constipation', 'nervousness', 'weight decreased', 'suicidal ideation', 'fatigue', 'back pain', 'rhinitis', 'abdominal pain', 'vertigo', 'hypersensitivity', 'hepatobiliary disease', 'infestation nos', 'insomnia', 'respiratory tract infection', 'infestation', 'influenza', 'malnutrition', 'ill-defined disorder', 'vomiting', 'endocrine disorder', 'gastritis']",69
What adverse events does linagliptin cause?,reverse,linagliptin,"['diarrhoea', 'blood triglycerides increased', 'pancreatitis', 'pancreatitis acute', 'anaphylactic shock', 'hyperlipidaemia', 'myalgia', 'mediastinal disorder', 'gastrointestinal disorder', 'diabetic', 'cough', 'dermatitis', 'rash', 'infection', 'immune system disorder', 'diabetes mellitus', 'angioedema', 'arthralgia', 'skin exfoliation', 'weight increased', 'musculoskeletal discomfort', 'skin disorder', 'headache', 'urinary tract infection', 'unspecified disorder of skin and subcutaneous tissue', 'urticaria', 'pain in extremity', 'constipation', 'bronchial hyperreactivity', 'back pain', 'hypoglycemic reaction', 'hypoglycaemia', 'hypertriglyceridaemia', 'nasopharyngitis', 'hypersensitivity', 'infestation nos', 'infestation', 'malnutrition', 'upper respiratory tract infection']",39
List all side effects of acetaminophen,reverse,acetaminophen,"['angle closure glaucoma', 'somnolence', 'hyperreflexia', 'breath sounds abnormal', 'hyperglycaemia', 'gastrointestinal pain', 'acute angle-closure glaucoma', 'balance disorder', 'tremor', 'abdominal discomfort', 'gastrointestinal disorder', 'cough', 'mental status changes', 'disturbance in attention', 'cytolytic hepatitis', 'dermatitis', 'hypokalaemia', 'agitation', 'serotonin syndrome', 'palpitations', 'hyperhidrosis', 'chills', 'decreased appetite', 'photosensitivity reaction', 'headache', 'angiopathy', 'nephrosis lower nephron', 'muscle relaxant therapy', 'pain in extremity', 'pemphigoid reaction', 'irritability', 'rash maculo-papular', 'periorbital oedema', 'anorexia', 'pruritus', 'urinary hesitation', 'rash macular', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'azotaemia', 'anaemia', 'diarrhoea', 'anaphylactic shock', 'discomfort', 'blood disorder', 'mediastinal disorder', 'atelectasis', 'hypomagnesaemia', 'vision blurred', 'prostatic hypertrophy', 'lightheadedness', 'anxiety', 'coma', 'dystonic reaction', 'pancytopenia', 'chest discomfort', 'fixed drug eruption', 'uremia', 'immune system disorder', 'hallucination', 'bladder neck obstruction', 'hepatocellular injury', 'rash pustular', 'bronchospasm', 'skin disorder', 'mydriasis', 'unspecified disorder of skin and subcutaneous tissue', 'alveolitis', 'hypotension', 'haemoglobin', 'constipation', 'blood pressure increased', 'fatigue', 'hepatic failure', 'oliguria', 'flushing', 'sweating increased', 'liver injury', 'muscle twitching', 'hypersensitivity', 'dyskinesia', 'dysuria', 'enlargement abdomen', 'traumatic liver injury', 'ill-defined disorder', 'vomiting', 'trismus', 'infusion site pain', 'hepatitis', 'acute generalised exanthematous pustulosis', 'body temperature increased', 'hypoalbuminaemia', 'pancreatitis acute', 'asthma', 'cardiac disorder', 'shivering', 'asthenia', 'muscle spasms', 'nausea', 'injection site reaction', 'euphoric mood', 'dry mouth', 'convulsion', 'wheezing', 'anaemia postoperative', 'dyspepsia', 'post procedural haemorrhage', 'erythema multiforme', 'aspartate aminotransferase increased', 'strangury', 'angioedema', 'dystonia', 'eye disorder', 'chest tightness', 'nightmare', 'haemolytic anaemia', 'urethral disorder', 'postoperative hemorrhage', 'dyspnoea', 'dysphoria', 'dizziness', 'respiratory depression', 'pulmonary function test decreased', 'energy increased', 'benign prostatic hyperplasia', 'urticaria', 'cutaneous hypersensitivity', 'kounis syndrome', 'nervousness', 'drug eruption', 'hepatic function abnormal', 'haemorrhage', 'abdominal pain', 'dermatitis atopic', 'hepatobiliary disease', 'insomnia', 'malnutrition', 'sweating', 'tachycardia', 'neutropenia', 'injection site pain', 'confusional state', 'mental disorder', 'pleural effusion', 'pemphigoid', 'blood and lymphatic system disorders', 'nervous system disorder', 'dermatitis exfoliative', 'leukopenia', 'urinary retention', 'tension', 'unsteadiness', 'hepatic enzyme increased', 'feeling abnormal', 'muscular weakness', 'rash', 'connective tissue disorder', 'abdominal distension', 'oedema peripheral', 'chest pain', 'renal failure acute', 'agranulocytosis', 'drowsiness', 'pneumothorax', 'thrombocytopenia', 'erythema', 'coordination abnormal', 'hepatic necrosis', 'renal tubular necrosis', 'hypotonia', 'malaise', 'fluid overload', 'urinary tract disorder', 'acute hepatic failure', 'eructation', 'hypophosphataemia', 'pulmonary oedema', 'drug interaction', 'digestion impaired', 'photosensitivity', 'administration site reaction', 'myoclonus', 'toxic epidermal necrolysis', 'stridor', 'hepatitis fulminant']",187
Show me side effects associated with dextromethorphan,reverse,dextromethorphan,"['diarrhoea', 'confusional state', 'mental disorder', 'somnolence', 'nervous system disorder', 'gastrointestinal pain', 'asthenia', 'abdominal discomfort', 'gastrointestinal disorder', 'tension', 'nausea', 'feeling abnormal', 'psychotic disorder', 'agitation', 'dyspepsia', 'fructose intolerance', 'immune system disorder', 'hallucination', 'serotonin syndrome', 'drowsiness', 'pulmonary function test decreased', 'dizziness', 'respiratory depression', 'constipation', 'irritability', 'nervousness', 'fatigue', 'abdominal pain', 'hypoglycaemia', 'digestion impaired', 'hypersensitivity', 'upset stomach', 'vomiting']",33
List all side effects of mndpdp,reverse,mndpdp,"['pain', 'pneumonia', 'gastrointestinal pain', 'discomfort', 'menopausal symptoms', 'nausea', 'dermatitis', 'rash', 'hot flush', 'chest pain', 'palpitations', 'hepatic cancer', 'headache', 'dizziness', 'injection site discomfort', 'haemoglobin', 'urticaria', 'haemorrhage', 'sepsis', 'abdominal pain', 'pruritus', 'hepatocellular carcinoma', 'flushing', 'hypersensitivity', 'hypertension', 'vomiting', 'dysgeusia']",27
What adverse events does trien cause?,reverse,trien,"['ulcer', 'gastrointestinal pain', 'myalgia', 'discomfort', 'asthenia', 'cramp muscle', 'muscle spasms', 'hypochromic anaemia', 'feeling abnormal', 'acute gastritis', 'rhabdomyolysis', 'tenderness', 'melaena', 'decreased appetite', 'epigastric pain', 'musculoskeletal discomfort', 'systemic lupus erythematosus', 'hypochromic microcytic anemia', 'malaise', 'abdominal pain upper', 'abdominal pain', 'anorexia', 'iron deficiency', 'ill-defined disorder', 'myasthenia gravis', 'gastritis']",26
What adverse events does chlorpheniramine cause?,reverse,chlorpheniramine,"['diarrhoea', 'confusional state', 'vomiting', 'somnolence', 'neuritis', 'tremor', 'asthenia', 'urinary retention', 'diplopia', 'tension', 'hysteria', 'nausea', 'euphoric mood', 'anxiety', 'feeling abnormal', 'dry mouth', 'convulsion', 'wheezing', 'agitation', 'chest discomfort', 'hypoplastic anaemia', 'paraesthesia', 'dyspepsia', 'hallucination', 'cerebration impaired', 'palpitations', 'agranulocytosis', 'drowsiness', 'chest tightness', 'chills', 'hyperhidrosis', 'thrombocytopenia', 'decreased appetite', 'haemolytic anaemia', 'lassitude', 'photosensitivity reaction', 'headache', 'dizziness', 'mydriasis', 'extrasystoles', 'hypotension', 'mental disability', 'pollakiuria', 'constipation', 'vision blurred', 'labyrinthitis', 'drug eruption', 'irritability', 'nervousness', 'disturbance in attention', 'fatigue', 'neuropathy peripheral', 'hyporeflexia', 'anorexia', 'conversion disorder', 'epigastric distress', 'photosensitivity', 'vertigo', 'sweating increased', 'insomnia', 'urinary hesitation', 'tinnitus', 'nasal congestion', 'dyskinesia', 'hypertension', 'tachycardia']",66
Show me side effects associated with canagliflozin,reverse,canagliflozin,"['vulvovaginal candidiasis', 'gastrointestinal pain', 'blood glucose decreased', 'gastrointestinal disorder', 'dermatitis', 'diuresis', 'dizziness postural', 'genital infection fungal', 'syncope', 'rash vesicular', 'micturition urgency', 'vulvovaginal mycotic infection', 'photosensitivity reaction', 'serum creatinine increased', 'angiopathy', 'glucose low', 'blood potassium increased', 'rash maculo-papular', 'balanitis candida', 'pruritus', 'glomerular filtration rate decreased', 'rash macular', 'bladder pain', 'polydipsia', 'shock', 'thirst', 'vulvovaginal pruritus', 'cystitis', 'pancreatitis', 'high density lipoprotein decreased', 'haematocrit increased', 'rash papular', 'diabetic complication', 'diabetes mellitus', 'vulvitis', 'blood creatinine increased', 'polyuria', 'cystitis noninfective', 'rash pustular', 'phimosis', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'pollakiuria', 'constipation', 'fatigue', 'urosepsis', 'blood phosphorus increased', 'hypersensitivity', 'nocturia', 'blood urea increased', 'hypovolaemia', 'dyslipidaemia', 'serum potassium increased', 'rash generalised', 'asthenia', 'nausea', 'dry mouth', 'convulsion', 'tight foreskin', 'angioedema', 'loss of consciousness', 'dehydration', 'urethral disorder', 'fracture', 'polymorphic light eruption', 'dizziness', 'sunburn', 'urticaria', 'vaginal infection', 'recurrent infection', 'breast disorder', 'abdominal pain', 'urine output increased', 'hypoglycaemia', 'low density lipoprotein increased', 'rash erythematous', 'malnutrition', 'multiple fractures', 'nervous system disorder', 'blood phosphate increased', 'rash', 'infection', 'renal failure acute', 'prurigo', 'erythema', 'vulvovaginitis', 'orthostatic hypotension', 'kidney infection', 'urinary tract infection', 'urinary tract disorder', 'photosensitivity', 'hyperkalaemia']",93
What are the side effects of tadalafil?,reverse,tadalafil,"['somnolence', 'ventricular arrhythmia', 'gastrointestinal pain', 'myalgia', 'abdominal discomfort', 'gastrointestinal disorder', 'cough', 'retinal vascular occlusion', 'amnesia transient', 'dermatitis', 'priapism', 'migraine', 'paraesthesia', 'syncope', 'hot flush', 'cardiovascular disorder', 'arthralgia', 'renal failure', 'abdominal pain lower', 'palpitations', 'hyperhidrosis', 'liver function test abnormal', 'headache', 'dysphagia', 'spontaneous penile erection', 'colour blindness acquired', 'angiopathy', 'pain in extremity', 'vaginal haemorrhage', 'erection prolonged', 'renal impairment', 'pruritus', 'non-cardiac chest pain', 'vertigo', 'metrorrhagia', 'sinus bradycardia', 'blindness', 'tinnitus', 'nasal congestion', 'retinal artery occlusion', 'hypertension', 'oedema', 'shock', 'stevens-johnson syndrome', 'epistaxis', 'gastritis', 'diarrhoea', 'upper respiratory tract infection', 'sudden cardiac death', 'limb discomfort', 'pain', 'viral diarrhoea', 'discomfort', 'menopausal symptoms', 'mediastinal disorder', 'gastrooesophageal reflux disease', 'vision blurred', 'neck pain', 'pharyngitis', 'cerebrovascular accident', 'eye pain', 'amnesia', 'aion', 'immune system disorder', 'lacrimation', 'conjunctival hyperaemia', 'infarction', 'haematuria', 'musculoskeletal discomfort', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'hypotension', 'angina pectoris', 'haemoglobin', 'pulmonary hypertension', 'constipation', 'haematospermia', 'fatigue', 'color vision change', 'rhinitis', 'arteritic anterior ischaemic optic neuropathy', 'unspecified visual loss', 'flushing', 'optic ischaemic neuropathy', 'acute coronary syndrome', 'angina unstable', 'transient ischaemic attack', 'hypersensitivity', 'respiratory tract infection', 'vomiting', 'oesophagitis', 'bone disorder', 'retinal vein occlusion', 'cardiac disorder', 'asthenia', 'rectal haemorrhage', 'muscle spasms', 'nausea', 'dry mouth', 'convulsion', 'dyspepsia', 'scotoma', 'erythema multiforme', 'sinus congestion', 'penile haemorrhage', 'angioedema', 'loss of consciousness', 'eye disorder', 'sudden hearing loss', 'urethral disorder', 'dyspnoea', 'dizziness', 'urticaria', 'haemorrhage', 'breast disorder', 'hearing impaired', 'conjunctivitis', 'ear and labyrinth disorders', 'abdominal pain', 'face oedema', 'myocardial infarction', 'insomnia', 'loose stools', 'upset stomach', 'sweating', 'tachycardia', 'musculoskeletal stiffness', 'influenza', 'therapeutic response unexpected', 'mental disorder', 'gastroenteritis', 'nervous system disorder', 'dermatitis exfoliative', 'menometrorrhagia', 'lacrimation increased', 'rash', 'connective tissue disorder', 'deafness', 'erection increased', 'infection', 'swelling', 'hypoaesthesia', 'oedema peripheral', 'chest pain', 'haemorrhoidal haemorrhage', 'orthostatic hypotension', 'urinary tract infection', 'urinary tract disorder', 'abdominal pain upper', 'bronchitis', 'back pain', 'uterine haemorrhage', 'menorrhagia', 'nasopharyngitis', 'transient global amnesia', 'infestation nos', 'infestation']",157
Show me side effects associated with saxagliptin,reverse,saxagliptin,"['immunodeficiency', 'gastroenteritis', 'blood triglycerides increased', 'dyslipidaemia', 'pancreatitis', 'pancreatitis acute', 'anaphylactic shock', 'gastrointestinal pain', 'myalgia', 'sinusitis', 'asthenia', 'gastrointestinal disorder', 'nausea', 'dermatitis', 'rash', 'blood creatine phosphokinase increased', 'dyspepsia', 'infection', 'immune system disorder', 'oedema peripheral', 'angioedema', 'blood creatinine increased', 'arthralgia', 'thrombocytopenia', 'musculoskeletal discomfort', 'fracture', 'flatulence', 'dizziness', 'headache', 'opportunistic infection', 'skin disorder', 'urinary tract infection', 'idiopathic thrombocytopenic purpura', 'malnutrition', 'unspecified disorder of skin and subcutaneous tissue', 'erectile dysfunction', 'urticaria', 'generalized urticaria', 'fatigue', 'tuberculosis', 'purpura', 'renal failure chronic', 'hypoglycemic reaction', 'abdominal pain', 'hypoglycaemia', 'hypertriglyceridaemia', 'lymphopenia', 'nasopharyngitis', 'pruritus', 'salmonella sepsis', 'face oedema', 'hypersensitivity', 'upper respiratory tract infection', 'infestation nos', 'infestation', 'multiple fractures', 'vomiting', 'gastritis']",58
What adverse events does romidepsin cause?,reverse,romidepsin,"['ventricular arrhythmia', 'hyperglycaemia', 'gastrointestinal pain', 'gastrointestinal disorder', 'cough', 'dermatitis', 'hypokalaemia', 'death', 'hyperuricaemia', 'syncope', 'chills', 'decreased appetite', 'hyperbilirubinaemia', 'headache', 'cellulitis', 'febrile neutropenia', 'weight decreased', 'neoplasm malignant', 'anorexia', 'pruritus', 'alanine aminotransferase increased', 'hypocalcaemia', 'cardiogenic shock', 'oedema', 'shock', 'anaemia', 'dysgeusia', 'diarrhoea', 'found dead (cause undetermined)', 'catheter related infection', 'mediastinal disorder', 'hypomagnesaemia', 'pulmonary embolism', 'hypermagnesaemia', 'acute respiratory distress syndrome', 'hypotension', 'myocardial ischaemia', 'constipation', 'disease progression', 'fatigue', 'multi-organ failure', 'mycosis fungoides', 'hypersensitivity', 'hyponatraemia', 'vomiting', 'device related infection', 'body temperature increased', 'pneumonia', 'hypoalbuminaemia', 'cardiac disorder', 'asthenia', 'central line infection', 'nausea', 'blood uric acid increased', 'aspartate aminotransferase increased', 'loss of consciousness', 'septic shock', 'dehydration', 'dyspnoea', 'dizziness', 'sepsis', 'abdominal pain', 'cutaneous t-cell lymphoma', 'lymphopenia', 'arrhythmia supraventricular', 'malnutrition', 'tachycardia', 'neutropenia', 'blood and lymphatic system disorders', 'candida sepsis', 'nervous system disorder', 'dermatitis exfoliative', 'leukopenia', 'infection', 'oedema peripheral', 'chest pain', 'renal failure acute', 'thrombocytopenia', 'cardiopulmonary failure', 'deep vein thrombosis', 'stomatitis', 'hypophosphataemia']",82
What are the side effects of griseofulvin?,reverse,griseofulvin,"['diarrhoea', 'confusional state', 'hepatitis', 'protein urine present', 'nephrotic syndrome', 'leukopenia', 'asthenia', 'nausea', 'dermatitis', 'feeling abnormal', 'hepatic enzyme increased', 'rash', 'paraesthesia', 'dyspepsia', 'erythema multiforme', 'angioedema', 'oral candidiasis', 'agranulocytosis', 'erythema', 'neuropathy', 'hyperbilirubinaemia', 'headache', 'dizziness', 'systemic lupus erythematosus', 'urticaria', 'fatigue', 'neuropathy peripheral', 'proteinuria', 'gastrointestinal haemorrhage', 'coagulopathy', 'epigastric distress', 'nephrosis', 'hypersensitivity', 'insomnia', 'candida infection', 'vomiting']",36
List all side effects of pralatrexate,reverse,pralatrexate,"['diarrhoea', 'vomiting', 'body temperature increased', 'tachycardia', 'gastrointestinal pain', 'leukopenia', 'cardio-respiratory arrest', 'asthenia', 'tumour lysis syndrome', 'cough', 'nausea', 'dermatitis', 'hypokalaemia', 'pancytopenia', 'rash', 'night sweats', 'dehydration', 'thrombocytopenia', 'decreased appetite', 'dyspnoea', 'liver function test abnormal', 'laryngeal pain', 'pain in extremity', 'constipation', 'fatigue', 'back pain', 'sepsis', 'renal failure chronic', 'neoplasm malignant', 'abdominal pain', 'anorexia', 'pruritus', 'pharyngolaryngeal pain', 'toxic epidermal necrolysis', 'upper respiratory tract infection', 'oedema', 'epistaxis', 'anaemia', 'neutropenia']",39
What adverse events does nitrous cause?,reverse,nitrous,"['confusional state', 'somnolence', 'vascular resistance pulmonary increased', 'leukopenia', 'nausea', 'euphoric mood', 'feeling abnormal', 'convulsion', 'pancytopenia', 'bone marrow depression', 'occupational exposures', 'drowsiness', 'hypoxia', 'pregnancy', 'anaemia megaloblastic', 'thrombocytopenia', 'neuropathy', 'headache', 'dizziness', 'hypotension', 'asphyxia', 'intracranial pressure increased', 'arrhythmia', 'neuropathy peripheral', 'excitation cerebral', 'vitamin b12 deficiency', 'vomiting', 'central nervous system stimulation']",28
Show me side effects associated with trans,reverse,trans,"['haematocrit decreased', 'body temperature increased', 'anaphylactic shock', 'myalgia', 'discomfort', 'asthenia', 'ill-defined disorder', 'nausea', 'nephritis', 'dermatitis', 'feeling abnormal', 'convulsion', 'vasculitis', 'rash', 'pulmonary embolism', 'cardiac arrest', 'fatal outcomes', 'angioedema', 'polyneuropathy', 'anaphylactoid reaction', 'arthritis', 'chills', 'periorbital swelling', 'myocardial rupture', 'musculoskeletal discomfort', 'bronchospasm', 'dyspnoea', 'headache', 'bradycardia', 'cerebral haemorrhage', 'non-cardiogenic pulmonary oedema', 'respiratory arrest', 'hypotension', 'angina pectoris', 'haemoglobin', 'malaise', 'urticaria', 'haemorrhage', 'ventricular fibrillation', 'back pain', 'splenic rupture', 'pruritus', 'eye swelling', 'cardiac failure', 'flushing', 'guillain-barre syndrome', 'recurrent pulmonary embolism', 'hypersensitivity', 'serum sickness', 'musculoskeletal pain', 'shock', 'tachycardia']",52
What are the side effects of bromhexine?,reverse,bromhexine,"['diarrhoea', 'rash', 'bronchospasm', 'pruritus', 'skin disorder', 'unspecified disorder of skin and subcutaneous tissue', 'anaphylactic shock', 'immune system disorder', 'hypersensitivity', 'urticaria', 'angioedema', 'abdominal pain upper', 'gastrointestinal disorder', 'nausea', 'vomiting', 'dermatitis']",16
